sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
1,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37,0,0,7091385.37
1,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47,0,0,8982421.47
1,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49
0,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49
0,30-39,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66
1,40-49,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023,0,0,9624023
0,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22,0,0,3641522.22
1,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26,0,0,16842040.26
0,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38,0,0,1271097.38
