Dose,sex,ageband_at_study_entry,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,50-59,,0,3,1,0,0,0,1977.32,407.77,5778.56,654.21,16.56,3645.01,0,0,2412.68,0,0,2412.68,0,0,2412.68
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,320038.77,0,0,304833.31,0,0,300080.9,0,0,300080.9,0,0,300080.9
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,368132.03,0,0,348155.87,0,0,341970.36,0,0,341970.36,0,0,341970.36
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,488175.08,0,0,466215.65,0,0,455190.28,0,0,455190.28,0,0,455190.28
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,886423.17,0,0,847398.25,0,0,811664.59,0,0,811664.59,0,0,811664.59
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,1236113.05,0,0,1161520.02,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,2807006.71,0,0,2641888.67,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04
2,0,50-59,Pfizer,1,0,0,0,0,0,0,0,2208792.16,0,0,2208792.16,0,0,2208792.16,0,0,2208792.16,0,0,2208792.16
0,0,40-49,,0,2,1,0,0,0,1398.81,169.4,5052.98,698.64,17.69,3892.58,0,0,2566.55,0,0,2566.55,0,0,2566.55
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,477788.38,0,0,466215.65,0,0,455190.28,0,0,455190.28,0,0,455190.28
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,516231.12,0,0,502747.47,0,0,489950.26,0,0,489950.26,0,0,489950.26
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,598828.1,0,0,580760.01,0,0,566119,0,0,566119,0,0,566119
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,1295541.56,0,0,1213840.74,0,0,1213840.74,0,0,1213840.74,0,0,1213840.74
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,3062189.14,0,0,2641888.67,0,0,2641888.67,0,0,2641888.67,0,0,2641888.67
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,4210510.06,0,0,3454777.49,0,0,3454777.49,0,0,3454777.49,0,0,3454777.49
0,1,70-79,,0,0,0,0,0,0,0,0,13992.76,0,0,13992.76,0,0,13992.76,0,0,13992.76,0,0,13992.76
1,1,70-79,Pfizer,1,0,0,0,0,0,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29,0,0,1796484.29
1,1,70-79,Pfizer,2,0,0,0,0,0,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78
1,1,70-79,Pfizer,3,0,0,0,0,0,0,0,2694726.44,0,0,2694726.44,0,0,2694726.44,0,0,2694726.44,0,0,2694726.44
0,1,30-39,,0,3,1,0,0,0,3384.45,697.96,9890.8,1120.06,28.36,6240.55,0,0,4129.22,0,0,4129.22,0,0,4129.22
1,1,30-39,Moderna,1,0,0,0,0,0,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71
0,1,40-49,,0,2,0,0,0,0,1522.89,184.43,5501.2,0,0,2807.01,0,0,2807.01,0,0,2807.01,0,0,2807.01
0,1,20-29,,0,1,0,0,0,0,1242.47,31.46,6922.62,0,0,4577.89,0,0,4577.89,0,0,4577.89,0,0,4577.89
0,0,80+,,0,1,0,0,0,0,2909.43,73.66,16210.31,0,0,10680.64,0,0,10680.64,0,0,10680.64,0,0,10680.64
1,0,80+,Pfizer,1,0,0,0,0,0,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
1,0,80+,Pfizer,2,0,0,0,0,0,0,0,712890.59,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
1,0,80+,Pfizer,3,0,0,0,0,0,0,0,787931.71,0,0,756945.63,0,0,756945.63,0,0,756945.63,0,0,756945.63
2,0,80+,Pfizer,1,0,0,0,0,0,0,0,836871.57,0,0,836871.57,0,0,836871.57,0,0,836871.57,0,0,836871.57
