Dose,sex,ageband_at_study_entry,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,50-59,,0,8,2,0,0,0,1553.98,670.9,3061.97,387.44,46.92,1399.58,0,0,714.48,0,0,714.48,0,0,714.48
0,1,20-29,,0,7,0,0,0,0,2229.02,896.18,4592.63,0,0,1172.13,0,0,1172.13,0,0,1172.13,0,0,1172.13
0,0,70-79,,0,1,0,0,0,0,550.5,13.94,3067.18,0,0,2030.05,0,0,2030.05,0,0,2030.05,0,0,2030.05
1,0,70-79,AstraZeneca,1,0,0,0,0,0,0,0,211516.99,0,0,209217.89,0,0,209217.89,0,0,209217.89,0,0,209217.89
1,0,70-79,AstraZeneca,2,0,0,0,0,0,0,0,213528.24,0,0,211185.46,0,0,211185.46,0,0,211185.46,0,0,211185.46
1,0,70-79,AstraZeneca,3,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,4,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,5,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,6,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,7,0,0,0,0,0,0,0,213867.18,0,0,211516.99,0,0,211516.99,0,0,211516.99,0,0,211516.99
1,0,70-79,AstraZeneca,8,0,0,0,0,0,0,0,215578.12,0,0,213190.38,0,0,213190.38,0,0,213190.38,0,0,213190.38
1,0,70-79,AstraZeneca,9,0,0,0,0,0,0,0,244530.53,0,0,241462.94,0,0,241462.94,0,0,241462.94,0,0,241462.94
0,0,0-4,,0,0,0,0,0,0,0,0,7512.48,0,0,7512.48,0,0,7512.48,0,0,7512.48,0,0,7512.48
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,90670.47,0,0,87377.64,0,0,85438.38,0,0,85438.38,0,0,85438.38
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,102852.15,0,0,98635.67,0,0,96171.54,0,0,96171.54,0,0,96171.54
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,133932.73,0,0,127833.32,0,0,124525.25,0,0,124525.25,0,0,124525.25
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,253263.76,0,0,243646.15,0,0,231904.17,0,0,231904.17,0,0,231904.17
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,373230.81,0,0,359296.86,0,0,335164.98,0,0,335164.98,0,0,335164.98
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,632564.89,0,0,604198.75,0,0,552198.04,0,0,552198.04,0,0,552198.04
2,0,50-59,Pfizer,1,0,0,0,0,0,0,0,409532.89,0,0,392817.27,0,0,392817.27,0,0,392817.27,0,0,392817.27
0,0,40-49,,0,8,1,0,0,0,1486.15,641.61,2928.3,185.4,4.69,1033.01,0,0,683.18,0,0,683.18,0,0,683.18
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,121603.18,0,0,116453.17,0,0,115752.85,0,0,115752.85,0,0,115752.85
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,138049.51,0,0,131450.07,0,0,130558.45,0,0,130558.45,0,0,130558.45
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,173629.28,0,0,163912.8,0,0,162725.03,0,0,162725.03,0,0,162725.03
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,375310.09,0,0,346365.87,0,0,346365.87,0,0,346365.87,0,0,346365.87
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,869266.59,0,0,736264.05,0,0,736264.05,0,0,736264.05,0,0,736264.05
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,1320944.33,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25
0,1,70-79,,0,0,0,0,0,0,0,0,4479.86,0,0,4479.86,0,0,4479.86,0,0,4479.86,0,0,4479.86
1,1,70-79,Pfizer,1,0,0,0,0,0,0,0,536798.1,0,0,536798.1,0,0,536798.1,0,0,536798.1,0,0,536798.1
1,1,70-79,Pfizer,2,0,0,0,0,0,0,0,561401.34,0,0,561401.34,0,0,561401.34,0,0,561401.34,0,0,561401.34
1,1,70-79,Pfizer,3,0,0,0,0,0,0,0,644671.4,0,0,644671.4,0,0,644671.4,0,0,644671.4,0,0,644671.4
1,1,20-29,AstraZeneca,1,0,0,0,0,0,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86
1,1,20-29,AstraZeneca,2,0,0,0,0,0,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86
1,1,20-29,AstraZeneca,3,0,0,0,0,0,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86
1,1,20-29,AstraZeneca,4,0,0,0,0,0,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86
1,1,20-29,AstraZeneca,5,0,0,0,0,0,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86,0,0,2749720.86
1,1,20-29,AstraZeneca,6,0,0,0,0,0,0,0,3454777.49,0,0,3454777.49,0,0,3454777.49,0,0,3454777.49,0,0,3454777.49
1,1,20-29,AstraZeneca,7,0,0,0,0,0,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2
1,1,20-29,AstraZeneca,8,0,0,0,0,0,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2
1,1,20-29,AstraZeneca,9,0,0,0,0,0,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2
1,1,20-29,AstraZeneca,10,0,0,0,0,0,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2
1,1,20-29,AstraZeneca,11,0,0,0,0,0,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2,0,0,3849609.2
1,1,20-29,AstraZeneca,12,0,0,0,0,0,0,0,4646080.07,0,0,4646080.07,0,0,4646080.07,0,0,4646080.07,0,0,4646080.07
0,0,50-59,,0,1,0,0,0,0,20612.3,521.86,114844.4,0,0,75271.69,0,0,75271.69,0,0,75271.69,0,0,75271.69
0,0,40-49,,0,0,0,0,0,0,0,0,24430.88,0,0,24430.88,0,0,24430.88,0,0,24430.88,0,0,24430.88
0,0,70-79,,0,1,1,1,1,1,967.29,24.49,5389.41,967.29,24.49,5389.41,967.29,24.49,5389.41,967.29,24.49,5389.41,967.29,24.49,5389.41
1,0,70-79,AstraZeneca,1,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,2,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,3,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,4,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,5,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,6,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,7,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
1,0,70-79,AstraZeneca,8,0,0,0,0,0,0,0,552198.04,0,0,552198.04,0,0,552198.04,0,0,552198.04,0,0,552198.04
1,0,70-79,AstraZeneca,9,0,0,0,0,0,0,0,647770.78,0,0,647770.78,0,0,647770.78,0,0,647770.78,0,0,647770.78
1,0,70-79,AstraZeneca,10,0,0,0,0,0,0,0,740309.46,0,0,740309.46,0,0,740309.46,0,0,740309.46,0,0,740309.46
1,0,70-79,AstraZeneca,11,0,0,0,0,0,0,0,769921.84,0,0,769921.84,0,0,769921.84,0,0,769921.84,0,0,769921.84
1,0,70-79,AstraZeneca,12,0,0,0,0,0,0,0,874911.18,0,0,874911.18,0,0,874911.18,0,0,874911.18,0,0,874911.18
2,0,70-79,AstraZeneca,1,0,0,0,0,0,0,0,1213840.74,0,0,1213840.74,0,0,1213840.74,0,0,1213840.74,0,0,1213840.74
0,0,60-69,,0,7,2,1,0,0,2002.92,805.28,4126.78,571.96,69.27,2066.13,285.95,7.24,1593.19,0,0,1053.05,0,0,1053.05
1,0,60-69,Pfizer,1,0,0,0,0,0,0,0,140496.69,0,0,140496.69,0,0,138475.15,0,0,138475.15,0,0,138475.15
1,0,60-69,Pfizer,2,0,0,0,0,0,0,0,141381.24,0,0,141381.24,0,0,139334.36,0,0,139334.36,0,0,139334.36
1,0,60-69,Pfizer,3,0,0,0,0,0,0,0,150880.54,0,0,150880.54,0,0,148551.62,0,0,148551.62,0,0,148551.62
1,0,60-69,Pfizer,4,0,0,0,0,0,0,0,209543.27,0,0,209543.27,0,0,206650.8,0,0,206650.8,0,0,206650.8
2,0,40-49,Pfizer,1,0,0,0,0,0,0,0,373230.81,0,0,373230.81,0,0,366131.31,0,0,366131.31,0,0,366131.31
2,0,40-49,Pfizer,2,0,0,0,0,0,0,0,407058.37,0,0,407058.37,0,0,398628.17,0,0,398628.17,0,0,398628.17
2,0,40-49,Pfizer,3,0,0,0,0,0,0,0,418435.78,0,0,418435.78,0,0,409532.89,0,0,409532.89,0,0,409532.89
2,0,40-49,Pfizer,4,0,0,0,0,0,0,0,418435.78,0,0,418435.78,0,0,409532.89,0,0,409532.89,0,0,409532.89
2,0,40-49,Pfizer,5,0,0,0,0,0,0,0,422370.92,0,0,422370.92,0,0,413301.6,0,0,413301.6,0,0,413301.6
2,0,40-49,Pfizer,6,0,0,0,0,0,0,0,461425.76,0,0,461425.76,0,0,450623.15,0,0,450623.15,0,0,450623.15
2,0,40-49,Pfizer,7,0,0,0,0,0,0,0,486412.72,0,0,486412.72,0,0,474423.67,0,0,474423.67,0,0,474423.67
2,0,40-49,Pfizer,8,0,0,0,0,0,0,0,518216.62,0,0,518216.62,0,0,510364.86,0,0,510364.86,0,0,510364.86
2,0,40-49,Pfizer,9,0,0,0,0,0,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62,0,0,543291.62
2,0,40-49,Pfizer,10,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
2,0,40-49,Pfizer,11,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
2,0,40-49,Pfizer,12,0,0,0,0,0,0,0,554470.46,0,0,554470.46,0,0,554470.46,0,0,554470.46,0,0,554470.46
2,0,40-49,Pfizer,13,0,0,0,0,0,0,0,580760.01,0,0,580760.01,0,0,580760.01,0,0,580760.01,0,0,580760.01
2,0,40-49,Pfizer,14,0,0,0,0,0,0,0,583274.12,0,0,583274.12,0,0,583274.12,0,0,583274.12,0,0,583274.12
2,0,40-49,Pfizer,15,0,0,0,0,0,0,0,588368.22,0,0,588368.22,0,0,588368.22,0,0,588368.22,0,0,588368.22
2,0,40-49,Pfizer,16,0,0,0,0,0,0,0,654059.82,0,0,654059.82,0,0,654059.82,0,0,654059.82,0,0,654059.82
2,0,40-49,Pfizer,17,0,0,0,0,0,0,0,955576.75,0,0,955576.75,0,0,955576.75,0,0,955576.75,0,0,955576.75
2,0,40-49,Pfizer,18,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
2,0,40-49,Pfizer,19,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
