sex,Dose,type_vax,week_fup,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,,0,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,CV,1,0,0,0,0,4557.65,641.98,32356.25,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,1,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,2,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,1,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,COVCANCER,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,0,,0,COVCANCER,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,0,,0,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,1,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,2,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,3,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,4,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,5,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,0,,0,COVHIV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,COVCKD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,0,,0,COVCKD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,COVDIAB,2,0,0,0,0,13477.86,3370.7,53891.76,0,0,,0,0,,0,0,,0,0,
0,0,,0,COVDIAB,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,1,COVDIAB,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,2,COVDIAB,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,0,,0,IMMUNOSUPPR,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,0,,0,IMMUNOSUPPR,1,0,0,0,0,7687.86,1082.9,54578.63,0,0,,0,0,,0,0,,0,0,
0,0,,0,any_risk_factors,1,0,0,0,0,1722.96,242.69,12231.86,0,0,,0,0,,0,0,,0,0,
1,0,,0,any_risk_factors,2,0,0,0,0,4140.45,1035.49,16555.75,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,1,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
1,1,Pfizer,2,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,1,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,2,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,3,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,4,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
0,1,Pfizer,5,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,CV,1,0,0,0,0,1800.24,253.58,12780.49,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,1,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,2,CV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,COVCANCER,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,1,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,2,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,3,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,4,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,5,COVCOPD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,COVHIV,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,COVCKD,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,COVDIAB,2,0,0,0,0,7350.57,1838.31,29391.55,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,1,COVDIAB,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,2,COVDIAB,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,IMMUNOSUPPR,1,0,0,0,0,3592.86,506.08,25506.89,0,0,,0,0,,0,0,,0,0,
both_sexes,0,,0,any_risk_factors,3,0,0,0,0,2821.04,909.83,8747.01,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,1,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,2,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,3,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,4,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
both_sexes,1,Pfizer,5,any_risk_factors,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,
