sex,Dose,type_vax,week_fup,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,0,CV,3,2,1,1,1,613.48,126.51,1792.84,408.91,49.52,1477.11,204.43,5.18,1139.01,204.43,5.18,1139.01,204.43,5.18,1139.01
1,1,Pfizer,1,CV,0,0,0,0,0,0,0,72283.43,0,0,70951.2,0,0,69920.25,0,0,69920.25,0,0,69920.25
1,1,Pfizer,2,CV,0,0,0,0,0,0,0,73626.41,0,0,72244.68,0,0,71176.08,0,0,71176.08,0,0,71176.08
1,1,Pfizer,3,CV,0,0,0,0,0,0,0,82965.72,0,0,81608.92,0,0,80247.96,0,0,80247.96,0,0,80247.96
0,0,,0,CV,6,3,2,2,2,1096.81,402.51,2387.29,547.25,112.86,1599.3,364.46,44.14,1316.55,364.46,44.14,1316.55,364.46,44.14,1316.55
0,1,AstraZeneca,1,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,2,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,3,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,4,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,5,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,6,CV,0,0,0,0,0,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06,0,0,291637.06
0,1,AstraZeneca,7,CV,0,0,0,0,0,0,0,300080.9,0,0,300080.9,0,0,300080.9,0,0,300080.9,0,0,300080.9
0,1,AstraZeneca,8,CV,0,0,0,0,0,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34,0,0,311169.34
0,1,AstraZeneca,9,CV,0,0,0,0,0,0,0,341104.61,0,0,341104.61,0,0,341104.61,0,0,341104.61,0,0,341104.61
0,1,AstraZeneca,10,CV,0,0,0,0,0,0,0,374267.56,0,0,374267.56,0,0,374267.56,0,0,374267.56,0,0,374267.56
0,1,AstraZeneca,11,CV,0,0,0,0,0,0,0,413301.6,0,0,413301.6,0,0,413301.6,0,0,413301.6,0,0,413301.6
0,1,AstraZeneca,12,CV,0,0,0,0,0,0,0,497182,0,0,497182,0,0,497182,0,0,497182,0,0,497182
0,2,AstraZeneca,1,CV,0,0,0,0,0,0,0,606920.37,0,0,606920.37,0,0,606920.37,0,0,606920.37,0,0,606920.37
1,1,Pfizer,4,CV,0,0,0,0,0,0,0,232304,0,0,226828.83,0,0,218019.94,0,0,218019.94,0,0,218019.94
1,2,Pfizer,1,CV,0,0,0,0,0,0,0,100549.49,0,0,100026.97,0,0,99509.84,0,0,99509.84,0,0,99509.84
1,2,Pfizer,2,CV,0,0,0,0,0,0,0,103325.4,0,0,102773.7,0,0,102227.86,0,0,102227.86,0,0,102227.86
1,2,Pfizer,3,CV,0,0,0,0,0,0,0,103883.05,0,0,103325.4,0,0,102773.7,0,0,102773.7,0,0,102773.7
1,2,Pfizer,4,CV,0,0,0,0,0,0,0,104365.86,0,0,103803.02,0,0,103246.22,0,0,103246.22,0,0,103246.22
1,2,Pfizer,5,CV,0,0,0,0,0,0,0,107702.9,0,0,107103.59,0,0,106510.93,0,0,106510.93,0,0,106510.93
1,2,Pfizer,6,CV,0,0,0,0,0,0,0,117570.96,0,0,116857.17,0,0,116152,0,0,116152,0,0,116152
1,2,Pfizer,7,CV,0,0,0,0,0,0,0,128198.21,0,0,127712.15,0,0,126870.36,0,0,126870.36,0,0,126870.36
1,2,Pfizer,8,CV,0,0,0,0,0,0,0,149707.02,0,0,149707.02,0,0,148551.62,0,0,148551.62,0,0,148551.62
1,2,Pfizer,9,CV,0,0,0,0,0,0,0,181097.21,0,0,181097.21,0,0,180854.12,0,0,180854.12,0,0,180854.12
1,2,Pfizer,10,CV,0,0,0,0,0,0,0,250439.26,0,0,250439.26,0,0,250439.26,0,0,250439.26,0,0,250439.26
1,2,Pfizer,11,CV,0,0,0,0,0,0,0,348155.87,0,0,348155.87,0,0,348155.87,0,0,348155.87,0,0,348155.87
1,2,Pfizer,12,CV,0,0,0,0,0,0,0,408291.89,0,0,408291.89,0,0,408291.89,0,0,408291.89,0,0,408291.89
1,2,Pfizer,13,CV,0,0,0,0,0,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53,0,0,506527.53
1,2,Pfizer,14,CV,0,0,0,0,0,0,0,910380.55,0,0,910380.55,0,0,910380.55,0,0,910380.55,0,0,910380.55
1,2,Pfizer,15,CV,0,0,0,0,0,0,0,1247558.54,0,0,1247558.54,0,0,1247558.54,0,0,1247558.54,0,0,1247558.54
1,2,Pfizer,16,CV,0,0,0,0,0,0,0,1480618.92,0,0,1480618.92,0,0,1480618.92,0,0,1480618.92,0,0,1480618.92
1,2,Pfizer,17,CV,0,0,0,0,0,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06
1,2,Pfizer,18,CV,0,0,0,0,0,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49,0,0,2072866.49
1,2,Pfizer,19,CV,0,0,0,0,0,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78
1,2,Pfizer,20,CV,0,0,0,0,0,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78,0,0,2138671.78
1,2,Pfizer,21,CV,0,0,0,0,0,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75,0,0,2406005.75
0,1,Pfizer,1,CV,0,0,0,0,0,0,0,60016.18,0,0,59094.88,0,0,58734.23,0,0,58734.23,0,0,58734.23
0,1,Pfizer,2,CV,0,0,0,0,0,0,0,61104.91,0,0,60150.14,0,0,59776.54,0,0,59776.54,0,0,59776.54
0,1,Pfizer,3,CV,0,0,0,0,0,0,0,68813.24,0,0,67604.78,0,0,67133.19,0,0,67133.19,0,0,67133.19
0,2,Pfizer,1,CV,0,0,0,0,0,0,0,81215.38,0,0,80874.14,0,0,80535.76,0,0,80535.76,0,0,80535.76
0,2,Pfizer,2,CV,0,0,0,0,0,0,0,83068.02,0,0,82711.06,0,0,82357.17,0,0,82357.17,0,0,82357.17
0,2,Pfizer,3,CV,0,0,0,0,0,0,0,83479.75,0,0,83119.26,0,0,82761.87,0,0,82761.87,0,0,82761.87
0,2,Pfizer,4,CV,0,0,0,0,0,0,0,83687.16,0,0,83324.87,0,0,82965.72,0,0,82965.72,0,0,82965.72
