sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,January,2020,50-59,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,50-59,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,50-59,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,50-59,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,50-59,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,50-59,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,50-59,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,50-59,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,50-59,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,50-59,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,0,0,0,0,0,0,0,0,0,0,0,0
0,November,2020,50-59,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,5247,0,0,0,0,0,0,0,0,0,0,0,0
0,December,2020,50-59,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,50-59,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,5056,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,50-59,4254,4254,4254,4254,4254,4254,4254,4254,4254,4254,4254,4254,4254,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,4365,4365,4365,4365,4365,4365,4365,4365,4365,4365,4365,4365,4365,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,50-59,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,3744,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,70-79,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,3596,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,70-79,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,70-79,3540,3540,3540,3540,3540,3540,3540,3540,3540,3540,3540,3540,3540,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,70-79,3390,3390,3390,3390,3390,3390,3390,3390,3390,3390,3390,3390,3390,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2020,70-79,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,3472,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2020,70-79,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,3329,0,0,0,0,0,0,0,0,0,0,0,0
1,July,2020,70-79,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,3359,0,0,0,0,0,0,0,0,0,0,0,0
1,August,2020,70-79,3320,3320,3320,3320,3320,3320,3320,3320,3320,3320,3320,3320,3320,0,0,0,0,0,0,0,0,0,0,0,0
1,September,2020,70-79,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161,3161,0,0,0,0,0,0,0,0,0,0,0,0
1,October,2020,70-79,3214,3214,3214,3214,3214,3214,3214,3214,3214,3214,3214,3214,3214,0,0,0,0,0,0,0,0,0,0,0,0
1,November,2020,70-79,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,0,0,0,0,0,0,0,0,0,0,0,0
1,December,2020,70-79,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,3080,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,70-79,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,70-79,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,2703,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,2858,2858,2858,2858,2858,2858,2858,2858,2858,2858,2858,2858,2858,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,1693,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2020,30-39,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,2749,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2020,30-39,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2020,30-39,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697,2697,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2020,30-39,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,0,0,0,0,0,0,0,0,0,0,0,0
