sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,January,2020,50-59,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2020,50-59,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2020,50-59,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2020,50-59,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2020,50-59,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2020,50-59,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,0,0,0,0,0,0,0,0,0,0,0,0
0,July,2020,50-59,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,0,0,0,0,0,0,0,0,0,0,0,0
0,August,2020,50-59,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,0,0,0,0,0,0,0,0,0,0,0,0
0,September,2020,50-59,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,0,0,0,0,0,0,0,0,0,0,0,0
0,October,2020,50-59,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,0,0,0,0,0,0,0,0,0,0,0,0
