sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,April,2021,50-59,Pfizer,0,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,-3388,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,Pfizer,0,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,-3534,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,Pfizer,0,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,-1078,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,Moderna,0,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,-436,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,Moderna,0,-447,-447,-447,-447,-447,-447,-447,-447,-447,-447,-447,-447,-447,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,30-39,Moderna,0,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,80+,Pfizer,0,408,408,408,408,408,408,408,408,408,408,408,408,408,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,80+,Pfizer,0,719,719,719,719,719,719,719,719,719,719,719,719,719,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,50-59,Pfizer,1,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,50-59,Pfizer,1,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,Pfizer,1,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,Pfizer,0,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,-2668,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,Pfizer,0,-987,-987,-987,-987,-987,-987,-987,-987,-987,-987,-987,-987,-987,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,50-59,Pfizer,0,147,147,147,147,147,147,147,147,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,50-59,Pfizer,0,317,317,317,317,317,317,317,317,317,317,317,317,317,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,Pfizer,0,414,414,414,414,414,414,414,414,414,414,414,414,414,0,0,0,0,0,0,0,0,0,0,0,0
