Dose,type_vax,week_fup,sex,riskfactor,ACUASEARTHRITIS_broad_b,DM_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM_broad,lb_DM_broad,ub_DM_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,0,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,0,0,0,COVCKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,,,Inf,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,0,0,0,COVCOPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,73626.41,0,0,36813.2,0,0,36813.2,0,0,36813.2,0,0,36813.2
0,0,0,0,COVDIAB,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8365.78,211.8,46611.15,0,0,29019.24,8450.95,213.96,47085.67,8450.95,213.96,47085.67,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,31502.53,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,122710.68,0,0,29019.24,0,0,29019.24,0,0,29019.24,0,0,29019.24
0,0,0,0,COVHIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03,0,0,368132.03
0,0,0,0,COVOBES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf
0,0,0,0,COVSICKLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf,,,Inf
0,0,0,0,CV,1,0,1,1,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,3814.62,96.58,21253.71,0,0,13676.04,3985.27,100.9,22204.5,3985.27,100.9,22204.5,0,0,13676.04,0,0,13676.04,0,0,13676.04,0,0,13676.04,0,0,13676.04,3822.21,96.77,21295.97,8270.12,1001.55,29874.53,0,0,14203.7,0,0,14203.7,0,0,13676.04,0,0,63584.86,3707.37,93.86,20656.14,3822.21,96.77,21295.97,0,0,14203.7,3974.43,100.62,22144.1
0,0,0,0,IMMUNOSUPPR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,35206.77,0,0,38929.88,0,0,38929.88,0,0,35206.77,0,0,92033.01,0,0,35206.77,0,0,35206.77,0,0,38929.88,0,0,38929.88
0,0,0,0,any_risk_factors,1,0,1,1,0,0,1,2,0,0,0,0,1,1,0,1,0,0,0,2103.49,53.26,11719.9,0,0,7637.68,2154.36,54.54,12003.32,2154.36,54.54,12003.32,0,0,7637.68,0,0,7637.68,0,0,7637.68,0,0,7637.68,0,0,7637.68,2105.79,53.31,11732.73,4394.78,532.23,15875.45,0,0,7799.5,0,0,7799.5,0,0,7637.68,0,0,21926.17,2070.46,52.42,11535.87,2105.79,53.31,11732.73,0,0,7799.5,2151.19,54.46,11985.65
0,0,0,1,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,184066.01,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41
