sex,month,Ageband,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b
0,2020-01,20-29,582,582,582,582,582,0,0,0,0
0,2020-02,20-29,517,517,517,517,517,0,0,0,0
0,2020-03,20-29,527,527,527,527,527,0,0,0,0
0,2020-04,20-29,510,510,510,510,510,0,0,0,0
0,2020-05,20-29,527,527,527,527,527,0,0,0,0
0,2020-06,20-29,495,495,495,495,495,0,0,0,0
0,2020-07,20-29,496,496,496,496,496,0,0,0,0
0,2020-08,20-29,513,513,513,513,513,0,0,0,0
0,2020-09,20-29,510,510,510,510,510,0,0,0,0
0,2020-10,20-29,527,527,527,527,527,0,0,0,0
0,2020-11,20-29,510,510,510,510,510,0,0,0,0
0,2020-12,20-29,501,501,501,501,501,0,0,0,0
0,2021-01,20-29,496,492,496,496,496,1,0,0,0
0,2021-02,20-29,424,396,424,424,424,0,0,0,0
0,2021-03,20-29,465,434,465,465,465,0,0,0,0
0,2021-04,20-29,450,420,450,450,450,0,0,0,0
0,2021-05,20-29,442,392,442,442,442,1,0,0,0
1,2020-01,40-49,1024,1024,1024,1024,1024,0,0,0,0
1,2020-02,40-49,928,928,928,928,928,0,0,0,0
1,2020-03,40-49,988,988,988,988,988,0,0,0,0
1,2020-04,40-49,930,930,930,930,930,0,0,0,0
1,2020-05,40-49,941,941,941,941,941,0,0,0,0
1,2020-06,40-49,900,900,900,900,900,0,0,0,0
1,2020-07,40-49,930,930,930,930,930,0,0,0,0
1,2020-08,40-49,930,930,930,930,930,0,0,0,0
1,2020-09,40-49,900,900,900,900,900,0,0,0,0
1,2020-10,40-49,930,930,930,930,930,0,0,0,0
1,2020-11,40-49,900,900,900,900,900,0,0,0,0
1,2020-12,40-49,856,856,856,856,856,0,0,0,0
0,2020-01,80+,651,651,651,651,651,0,0,0,0
0,2020-02,80+,609,609,609,609,609,0,0,0,0
0,2020-03,80+,656,656,656,656,656,0,0,0,0
0,2020-04,80+,637,637,637,637,637,0,0,0,0
0,2020-05,80+,651,651,651,651,651,0,0,0,0
0,2020-06,80+,615,615,615,615,615,0,0,0,0
0,2020-07,80+,620,620,620,620,620,0,0,0,0
0,2020-08,80+,620,620,620,620,620,0,0,0,0
0,2020-09,80+,603,603,603,603,603,0,0,0,0
0,2020-10,80+,619,619,619,619,619,0,0,0,0
1,2020-01,70-79,527,527,527,527,527,0,0,0,0
1,2020-02,70-79,515,515,515,515,515,0,0,0,0
1,2020-03,70-79,558,558,558,558,558,0,0,0,0
1,2020-04,70-79,532,532,532,532,532,0,0,0,0
1,2020-05,70-79,527,527,527,527,527,0,0,0,0
1,2020-06,70-79,510,510,510,510,510,0,0,0,0
1,2020-07,70-79,532,532,532,532,532,0,0,0,0
1,2020-08,70-79,522,522,522,522,522,0,0,0,0
1,2020-09,70-79,479,479,479,479,479,0,0,0,0
1,2020-10,70-79,465,465,465,465,465,0,0,0,0
1,2020-11,70-79,450,450,450,450,450,0,0,0,0
1,2020-12,70-79,465,465,465,465,465,0,0,0,0
1,2021-01,70-79,465,465,465,465,465,0,0,0,0
1,2021-02,70-79,406,406,406,406,406,0,0,0,0
1,2021-03,70-79,458,458,458,458,458,0,0,0,0
1,2021-04,70-79,420,420,420,420,420,0,0,0,0
1,2021-05,70-79,434,434,434,434,434,0,0,0,0
0,2020-11,80+,540,540,540,540,540,0,0,0,0
0,2020-12,80+,558,558,558,558,558,0,0,0,0
0,2021-01,80+,558,558,558,558,558,0,0,0,0
0,2021-02,80+,479,479,479,479,479,0,0,0,0
0,2021-03,80+,527,527,527,527,527,0,0,0,0
0,2021-04,80+,510,510,510,510,510,0,0,0,0
0,2021-05,80+,545,545,545,545,545,0,0,0,0
0,2020-01,30-39,828,828,828,828,828,0,0,0,0
0,2020-02,30-39,783,783,783,783,783,0,0,0,0
0,2020-03,30-39,811,811,811,811,811,0,0,0,0
0,2020-04,30-39,780,780,780,780,780,0,0,0,0
0,2020-05,30-39,806,806,806,806,806,0,0,0,0
0,2020-06,30-39,780,780,780,780,780,0,0,0,0
0,2020-07,30-39,806,806,806,806,806,0,0,0,0
0,2020-08,30-39,806,806,806,806,806,0,0,0,0
0,2020-09,30-39,780,780,780,780,780,0,0,0,0
0,2020-10,30-39,806,806,806,806,806,0,0,0,0
0,2020-11,30-39,780,780,780,780,780,0,0,0,0
0,2020-12,30-39,832,832,832,832,832,0,0,0,0
0,2021-01,30-39,837,837,837,837,837,0,0,0,0
0,2021-02,30-39,780,780,780,780,780,0,0,0,0
0,2021-03,30-39,868,868,868,868,868,0,0,0,0
0,2021-04,30-39,840,837,840,840,840,1,0,0,0
0,2021-05,30-39,891,860,891,891,891,0,0,0,0
1,2021-01,40-49,799,799,799,799,799,0,0,0,0
1,2021-02,40-49,700,700,700,700,700,0,0,0,0
1,2021-03,40-49,775,775,775,775,775,0,0,0,0
1,2021-04,40-49,750,724,750,750,750,1,0,0,0
1,2021-05,40-49,791,760,791,791,791,0,0,0,0
0,2020-01,70-79,868,868,868,868,868,0,0,0,0
0,2020-02,70-79,815,815,815,815,815,0,0,0,0
0,2020-03,70-79,894,894,894,894,894,0,0,0,0
0,2020-04,70-79,840,840,840,840,840,0,0,0,0
0,2020-05,70-79,868,868,868,868,868,0,0,0,0
0,2020-06,70-79,848,848,848,848,848,0,0,0,0
0,2020-07,70-79,899,899,899,899,899,0,0,0,0
0,2020-08,70-79,899,899,899,899,899,0,0,0,0
0,2020-09,70-79,867,867,867,867,867,0,0,0,0
0,2020-10,70-79,874,874,874,874,874,0,0,0,0
0,2020-11,70-79,820,800,820,820,820,1,0,0,0
0,2020-12,70-79,862,831,862,862,862,0,0,0,0
0,2021-01,70-79,899,852,899,899,899,1,0,0,0
0,2021-02,70-79,812,756,812,812,812,0,0,0,0
0,2021-03,70-79,870,808,870,870,870,0,0,0,0
0,2021-04,70-79,840,780,840,840,840,0,0,0,0
0,2021-05,70-79,877,815,877,877,877,0,0,0,0
1,2020-01,60-69,814,814,814,814,814,0,0,0,0
1,2020-02,60-69,732,732,732,732,732,0,0,0,0
1,2020-03,60-69,775,775,775,775,775,0,0,0,0
1,2020-04,60-69,750,750,750,750,750,0,0,0,0
1,2020-05,60-69,770,770,770,770,770,0,0,0,0
1,2020-06,60-69,750,750,750,750,750,0,0,0,0
1,2020-07,60-69,756,756,756,756,756,0,0,0,0
1,2020-08,60-69,758,758,758,758,758,0,0,0,0
1,2020-09,60-69,750,750,750,750,750,0,0,0,0
1,2020-10,60-69,748,748,748,748,748,0,0,0,0
1,2020-11,60-69,720,720,720,720,720,0,0,0,0
1,2020-12,60-69,770,754,770,770,770,1,0,0,0
1,2021-01,60-69,775,744,775,775,775,0,0,0,0
1,2021-02,60-69,718,690,718,718,718,0,0,0,0
1,2021-03,60-69,733,702,733,733,733,0,0,0,0
