sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
1,40-49,2020-10,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-11,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,40-49,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,40-49,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,40-49,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,40-49,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,40-49,2021-04,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-06,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
1,60-69,2020-12,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0
1,60-69,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,60-69,2021-02,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0
1,60-69,2021-03,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0
1,60-69,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-05,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-06,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-07,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-08,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-09,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-10,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-11,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,50-59,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,50-59,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,50-59,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-09,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-10,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-11,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-12,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-01,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-02,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-03,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0
1,70-79,2021-04,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0
