 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,18,""
Person years of follow-up,PY,5,""
Month of first diagnosis,01-2021,3,16.667
Month of first diagnosis,02-2021,1,5.556
Month of first diagnosis,03-2021,1,5.556
Month of first diagnosis,04-2021,2,11.111
Month of first diagnosis,05-2020,1,5.556
Month of first diagnosis,06-2020,1,5.556
Month of first diagnosis,09-2020,1,5.556
Month of first diagnosis,10-2020,2,11.111
Month of first diagnosis,11-2020,3,16.667
Month of first diagnosis,12-2020,3,16.667
Age in years,Min,22,""
Age in years,P25,43,""
Age in years,P50,56,""
Age in years,Mean,55,""
Age in years,P75,69,""
Age in years,Max,85,""
Age in categories,0-11,0,0%
Age in categories,12-17,0,0%
Age in categories,18-19,0,0%
Age in categories,20-29,2,11.111%
Age in categories,30-39,2,11.111%
Age in categories,40-49,3,16.667%
Age in categories,50-59,4,22.222%
Age in categories,60-69,2,11.111%
Age in categories,70-79,3,16.667%
Age in categories,>=80,2,11.111%
At risk population at January 1-2020,Cardiovascular disease,1,5.556%
At risk population at January 1-2020,Cancer,0,0%
At risk population at January 1-2020,Chronic lung disease,0,0%
At risk population at January 1-2020,HIV,0,0%
At risk population at January 1-2020,Chronic kidney disease,0,0%
At risk population at January 1-2020,Diabetes,3,16.667%
At risk population at January 1-2020,Severe obesity,0,0%
At risk population at January 1-2020,Sickle cell disease,0,0%
At risk population at January 1-2020,Use of immunosuppressants,1,5.556%
