DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_narrow,January,11922,0,0,11301.49
TEST,MIS_narrow,February,11082,0,0,12158.12
TEST,MIS_narrow,March,11776,0,0,11441.6
TEST,MIS_narrow,April,11317,0,0,11905.66
TEST,MIS_narrow,May,11598,0,0,11617.2
TEST,MIS_narrow,June,11139,0,0,12095.91
TEST,MIS_narrow,July,11403,0,0,11815.87
TEST,MIS_narrow,August,11360,0,0,11860.59
TEST,MIS_narrow,September,10923,0,0,12335.1
TEST,MIS_narrow,October,11163,0,0,12069.9
TEST,MIS_narrow,November,10565,0,0,12753.08
TEST,MIS_narrow,December,10654,0,0,12646.55
TEST,MIS_KD_narrow,January,11922,0,0,11301.49
TEST,MIS_KD_narrow,February,11082,0,0,12158.12
TEST,MIS_KD_narrow,March,11776,0,0,11441.6
TEST,MIS_KD_narrow,April,11317,0,0,11905.66
TEST,MIS_KD_narrow,May,11598,0,0,11617.2
TEST,MIS_KD_narrow,June,11139,0,0,12095.91
TEST,MIS_KD_narrow,July,11403,0,0,11815.87
TEST,MIS_KD_narrow,August,11360,0,0,11860.59
TEST,MIS_KD_narrow,September,10923,0,0,12335.1
TEST,MIS_KD_narrow,October,11163,0,0,12069.9
TEST,MIS_KD_narrow,November,10565,0,0,12753.08
TEST,MIS_KD_narrow,December,10654,0,0,12646.55
