DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,KD_narrow,Female,20-29,75,0,0,1796484.29
TEST,KD_narrow,Male,20-29,129,0,0,1044467.61
TEST,KD_narrow,Male,30-39,151,0,0,892293.52
TEST,KD_narrow,Female,40-49,164,0,0,821562.94
TEST,KD_narrow,Male,40-49,177,0,0,761222.16
TEST,KD_narrow,Female,50-59,215,0,0,626680.57
TEST,KD_narrow,Male,50-59,322,0,0,418435.78
TEST,KD_narrow,Male,60-69,121,0,0,1113523.32
TEST,KD_narrow,Female,70-79,240,0,0,561401.34
TEST,KD_narrow,Male,70-79,199,0,0,677066.95
TEST,KD_narrow,Male,80+,143,0,0,942212.04
TEST,MIS_KD_narrow,Female,20-29,75,0,0,1796484.29
TEST,MIS_KD_narrow,Male,20-29,129,0,0,1044467.61
TEST,MIS_KD_narrow,Male,30-39,151,0,0,892293.52
TEST,MIS_KD_narrow,Female,40-49,164,0,0,821562.94
TEST,MIS_KD_narrow,Male,40-49,177,0,0,761222.16
TEST,MIS_KD_narrow,Female,50-59,215,0,0,626680.57
TEST,MIS_KD_narrow,Male,50-59,322,0,0,418435.78
TEST,MIS_KD_narrow,Male,60-69,121,0,0,1113523.32
TEST,MIS_KD_narrow,Female,70-79,240,0,0,561401.34
TEST,MIS_KD_narrow,Male,70-79,199,0,0,677066.95
TEST,MIS_KD_narrow,Male,80+,143,0,0,942212.04
TEST,MIS_narrow,Female,20-29,75,0,0,1796484.29
TEST,MIS_narrow,Male,20-29,129,0,0,1044467.61
TEST,MIS_narrow,Male,30-39,151,0,0,892293.52
TEST,MIS_narrow,Female,40-49,164,0,0,821562.94
TEST,MIS_narrow,Male,40-49,177,0,0,761222.16
TEST,MIS_narrow,Female,50-59,215,0,0,626680.57
TEST,MIS_narrow,Male,50-59,322,0,0,418435.78
TEST,MIS_narrow,Male,60-69,121,0,0,1113523.32
TEST,MIS_narrow,Female,70-79,240,0,0,561401.34
TEST,MIS_narrow,Male,70-79,199,0,0,677066.95
TEST,MIS_narrow,Male,80+,143,0,0,942212.04
