DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,KD_narrow,Female,0-11,4601,7938.49,200.99,44230.44
TEST,KD_narrow,Male,0-11,3566,0,0,37783.6
TEST,KD_narrow,Female,12-17,4920,0,0,27385.43
TEST,KD_narrow,Male,12-17,4506,0,0,29901.54
TEST,KD_narrow,Female,18-19,811,0,0,166136.03
TEST,KD_narrow,Male,18-19,1868,0,0,72128.65
TEST,KD_narrow,Female,20-29,7152,0,0,18838.97
TEST,KD_narrow,Male,20-29,5404,0,0,24932.7
TEST,KD_narrow,Female,30-39,12531,0,0,10752.24
TEST,KD_narrow,Male,30-39,7333,0,0,18373.97
TEST,KD_narrow,Female,40-49,11128,0,0,12107.87
TEST,KD_narrow,Male,40-49,13569,0,0,9929.72
TEST,KD_narrow,Female,50-59,18429,0,0,7311.1
TEST,KD_narrow,Male,50-59,11421,0,0,11797.24
TEST,KD_narrow,Female,60-69,10350,0,0,13018
TEST,KD_narrow,Male,60-69,11763,0,0,11454.25
TEST,KD_narrow,Female,70-79,14505,0,0,9288.96
TEST,KD_narrow,Male,70-79,7984,0,0,16875.79
TEST,KD_narrow,Female,80+,8816,0,0,15283.16
TEST,KD_narrow,Male,80+,6664,0,0,20218.54
TEST,MIS_KD_narrow,Female,0-11,4601,7938.49,200.99,44230.44
TEST,MIS_KD_narrow,Male,0-11,3566,0,0,37783.6
TEST,MIS_KD_narrow,Female,12-17,4920,0,0,27385.43
TEST,MIS_KD_narrow,Male,12-17,4506,0,0,29901.54
TEST,MIS_KD_narrow,Female,18-19,811,0,0,166136.03
TEST,MIS_KD_narrow,Male,18-19,1868,0,0,72128.65
TEST,MIS_KD_narrow,Female,20-29,7152,0,0,18838.97
TEST,MIS_KD_narrow,Male,20-29,5404,0,0,24932.7
TEST,MIS_KD_narrow,Female,30-39,12531,0,0,10752.24
TEST,MIS_KD_narrow,Male,30-39,7333,0,0,18373.97
TEST,MIS_KD_narrow,Female,40-49,11128,0,0,12107.87
TEST,MIS_KD_narrow,Male,40-49,13569,0,0,9929.72
TEST,MIS_KD_narrow,Female,50-59,18429,0,0,7311.1
TEST,MIS_KD_narrow,Male,50-59,11421,0,0,11797.24
TEST,MIS_KD_narrow,Female,60-69,10350,0,0,13018
TEST,MIS_KD_narrow,Male,60-69,11763,0,0,11454.25
TEST,MIS_KD_narrow,Female,70-79,14505,0,0,9288.96
TEST,MIS_KD_narrow,Male,70-79,7984,0,0,16875.79
TEST,MIS_KD_narrow,Female,80+,8816,0,0,15283.16
TEST,MIS_KD_narrow,Male,80+,6664,0,0,20218.54
TEST,MIS_narrow,Female,0-11,5027,0,0,26802.53
TEST,MIS_narrow,Male,0-11,3566,0,0,37783.6
TEST,MIS_narrow,Female,12-17,4920,0,0,27385.43
TEST,MIS_narrow,Male,12-17,4506,0,0,29901.54
TEST,MIS_narrow,Female,18-19,811,0,0,166136.03
TEST,MIS_narrow,Male,18-19,1868,0,0,72128.65
TEST,MIS_narrow,Female,20-29,7152,0,0,18838.97
TEST,MIS_narrow,Male,20-29,5404,0,0,24932.7
TEST,MIS_narrow,Female,30-39,12531,0,0,10752.24
TEST,MIS_narrow,Male,30-39,7333,0,0,18373.97
TEST,MIS_narrow,Female,40-49,11128,0,0,12107.87
TEST,MIS_narrow,Male,40-49,13569,0,0,9929.72
TEST,MIS_narrow,Female,50-59,18429,0,0,7311.1
TEST,MIS_narrow,Male,50-59,11421,0,0,11797.24
TEST,MIS_narrow,Female,60-69,10350,0,0,13018
TEST,MIS_narrow,Male,60-69,11763,0,0,11454.25
TEST,MIS_narrow,Female,70-79,14505,0,0,9288.96
TEST,MIS_narrow,Male,70-79,8451,0,0,15943.24
TEST,MIS_narrow,Female,80+,8816,0,0,15283.16
TEST,MIS_narrow,Male,80+,6664,0,0,20218.54
