DAP,Event,Coding_system,First_4_digits_of_code,meaning_of_event,sum
TEST,ACUASEARTHRITIS,ICD9,2740,emergency_room_diagnosis,1
TEST,ACUASEARTHRITIS,ICD9,7169,emergency_room_diagnosis,1
TEST,DM1,ICD9,250,exemption,1
TEST,HF,ICD9,4280,emergency_room_diagnosis,8
TEST,HF,ICD9,402,exemption,1
TEST,CAD,ICD9,4107,emergency_room_diagnosis,2
TEST,CAD,ICD9,4109,emergency_room_diagnosis,2
TEST,GENCONV,ICD9,3459,emergency_room_diagnosis,4
TEST,ANAPHYL,ICD9,9953,emergency_room_diagnosis,1
TEST,ANAPHYL,ICD9,785.5,emergency_room_diagnosis,1
TEST,MISCC,ICD9,446.1,emergency_room_diagnosis,4
TEST,MISCC,ICD9,785.5,emergency_room_diagnosis,1
TEST,MIS,ICD10,U10.9,emergency_room_diagnosis,2
TEST,MIS,ICD9,785.5,emergency_room_diagnosis,1
TEST,Ischstroke,ICD9,4349,emergency_room_diagnosis,2
TEST,Ischstroke,ICD9,4359,emergency_room_diagnosis,2
TEST,ArterialNoTP,ICD9,4107,emergency_room_diagnosis,1
TEST,ArterialNoTP,ICD9,4109,emergency_room_diagnosis,1
TEST,ArterialNoTP,ICD9,4349,emergency_room_diagnosis,1
TEST,ArterialVTENoTP,ICD9,4107,emergency_room_diagnosis,1
TEST,ArterialVTENoTP,ICD9,4109,emergency_room_diagnosis,1
TEST,ArterialVTENoTP,ICD9,4349,emergency_room_diagnosis,1
