DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,ArterialNoTP,50-59,Female,366,0,0,368132.03
TEST,ArterialNoTP,60+,Female,366,0,0,368132.03
TEST,ArterialNoTP,60+,Male,1098,0,0,122710.68
TEST,ArterialNoTP,80+,Female,366,0,0,368132.03
TEST,ArterialNoTP,80+,Male,1098,0,0,122710.68
TEST,ArterialVTENoTP,50-59,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,60+,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,60+,Male,1098,0,0,122710.68
TEST,ArterialVTENoTP,80+,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,80+,Male,1098,0,0,122710.68
TEST,CAD_narrow,50-59,Female,366,0,0,368132.03
TEST,CAD_narrow,60+,Female,366,0,0,368132.03
TEST,CAD_narrow,60+,Male,1098,0,0,122710.68
TEST,CAD_narrow,80+,Female,366,0,0,368132.03
TEST,CAD_narrow,80+,Male,1098,0,0,122710.68
TEST,GENCONV_narrow,50-59,Female,366,0,0,368132.03
TEST,GENCONV_narrow,60+,Female,366,0,0,368132.03
TEST,GENCONV_narrow,60+,Male,1098,0,0,122710.68
TEST,GENCONV_narrow,80+,Female,366,0,0,368132.03
TEST,GENCONV_narrow,80+,Male,1098,0,0,122710.68
TEST,HF_narrow,50-59,Female,366,0,0,368132.03
TEST,HF_narrow,60+,Female,366,0,0,368132.03
TEST,HF_narrow,60+,Male,1098,0,0,122710.68
TEST,HF_narrow,80+,Female,366,0,0,368132.03
TEST,HF_narrow,80+,Male,1098,0,0,122710.68
TEST,Ischstroke_narrow,50-59,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,60+,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,60+,Male,1098,0,0,122710.68
TEST,Ischstroke_narrow,80+,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,80+,Male,1098,0,0,122710.68
TEST,KD_narrow,50-59,Female,366,0,0,368132.03
TEST,KD_narrow,60+,Female,366,0,0,368132.03
TEST,KD_narrow,60+,Male,1098,0,0,122710.68
TEST,KD_narrow,80+,Female,366,0,0,368132.03
TEST,KD_narrow,80+,Male,1098,0,0,122710.68
TEST,MIS_KD_narrow,50-59,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,60+,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,60+,Male,1098,0,0,122710.68
TEST,MIS_KD_narrow,80+,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,80+,Male,1098,0,0,122710.68
TEST,MIS_narrow,50-59,Female,366,0,0,368132.03
TEST,MIS_narrow,60+,Female,366,0,0,368132.03
TEST,MIS_narrow,60+,Male,1098,0,0,122710.68
TEST,MIS_narrow,80+,Female,366,0,0,368132.03
TEST,MIS_narrow,80+,Male,1098,0,0,122710.68
TEST,VTENoTP,50-59,Female,366,0,0,368132.03
TEST,VTENoTP,60+,Female,366,0,0,368132.03
TEST,VTENoTP,60+,Male,1098,0,0,122710.68
TEST,VTENoTP,80+,Female,366,0,0,368132.03
TEST,VTENoTP,80+,Male,1098,0,0,122710.68
TEST,VTE_narrow,50-59,Female,366,0,0,368132.03
TEST,VTE_narrow,60+,Female,366,0,0,368132.03
TEST,VTE_narrow,60+,Male,1098,0,0,122710.68
TEST,VTE_narrow,80+,Female,366,0,0,368132.03
TEST,VTE_narrow,80+,Male,1098,0,0,122710.68
