meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
emergency_room_diagnosis,ICD9,42731,5847
exemption,ICD9,427,1106
emergency_room_diagnosis,ICD9,42741,31
emergency_room_diagnosis,ICD9,4270,1050
emergency_room_diagnosis,ICD9,42760,789
emergency_room_diagnosis,ICD9,4260,500
emergency_room_diagnosis,ICD9,4275,992
emergency_room_diagnosis,ICD9,42732,579
emergency_room_diagnosis,ICD9,4271,225
emergency_room_diagnosis,ICD9,7850,245
emergency_room_diagnosis,ICD9,42612,280
emergency_room_diagnosis,ICD9,42761,74
emergency_room_diagnosis,ICD9,4279,21
emergency_room_diagnosis,ICD9,4267,1
exemption,ICD9,426,47
emergency_room_diagnosis,ICD9,42781,18
emergency_room_diagnosis,ICD9,4272,83
emergency_room_diagnosis,ICD9,42789,112
"","",4271,2
emergency_room_diagnosis,ICD9,42610,23
"","",42760,1
emergency_room_diagnosis,ICD9,4266,7
emergency_room_diagnosis,ICD9,42650,2
emergency_room_diagnosis,ICD9,42611,3
emergency_room_diagnosis,ICD9,42654,2
emergency_room_diagnosis,ICD9,42769,6
"","",42731,10
emergency_room_diagnosis,ICD9,4269,2
emergency_room_diagnosis,ICD9,42682,2
emergency_room_diagnosis,ICD9,42613,1
"","",42612,1
"","",7850,2
"","",42654,1
"","",4270,1
"","",4275,2
"","",42741,1
"","",4260,1
emergency_room_diagnosis,ICD9,4263,1
