datasource,week,vx_manufacturer,dose,birth_cohort,AESI,IR,lb,ub
ARS,0,none,no_dose,1990+,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,1940-1949,ACUASEARTHRITIS_broad,5.19,0.73,36.85
ARS,0,none,no_dose,1950-1959,ACUASEARTHRITIS_broad,8.95,2.24,35.79
ARS,0,none,no_dose,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,2,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,1,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,1,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,1,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,1,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,1,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,2,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,2,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,5,Pfizer,1,1960-1969,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,1,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,5,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,1,AstraZeneca,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,2,AstraZeneca,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,1,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,1,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,5,Pfizer,1,<1940,ACUASEARTHRITIS_broad,0,0,0
ARS,1,AstraZeneca,1,1940-1949,ACUASEARTHRITIS_broad,0,0,0
ARS,2,AstraZeneca,1,1940-1949,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,5,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,6,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,7,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,8,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,9,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,10,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,11,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,12,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,13,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,14,Pfizer,1,1970-1979,ACUASEARTHRITIS_broad,0,0,0
ARS,6,Pfizer,1,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,2,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,2,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,2,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,2,1980-1989,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,ACUASEARTHRITIS_broad,1.77,0.57,5.49
ARS,1,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,ACUASEARTHRITIS_broad,0,0,0
ARS,0,none,no_dose,1990+,HF_narrow,0,0,0
ARS,0,none,no_dose,1970-1979,HF_narrow,0,0,0
ARS,0,none,no_dose,<1940,HF_narrow,6.79,0.96,48.2
ARS,0,none,no_dose,1940-1949,HF_narrow,0,0,0
ARS,0,none,no_dose,1950-1959,HF_narrow,0,0,0
ARS,0,none,no_dose,1960-1969,HF_narrow,0,0,0
ARS,0,none,no_dose,1980-1989,HF_narrow,0,0,0
ARS,1,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,2,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,1,Pfizer,2,1970-1979,HF_narrow,0,0,0
ARS,1,Pfizer,1,1960-1969,HF_narrow,0,0,0
ARS,1,Pfizer,1,<1940,HF_narrow,0,0,0
ARS,2,Pfizer,1,1960-1969,HF_narrow,0,0,0
ARS,3,Pfizer,1,1960-1969,HF_narrow,0,0,0
ARS,4,Pfizer,1,1960-1969,HF_narrow,0,0,0
ARS,1,Pfizer,2,1960-1969,HF_narrow,0,0,0
ARS,2,Pfizer,2,1960-1969,HF_narrow,0,0,0
ARS,5,Pfizer,1,1960-1969,HF_narrow,0,0,0
ARS,2,Pfizer,1,<1940,HF_narrow,0,0,0
ARS,1,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,2,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,3,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,4,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,5,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,1,AstraZeneca,1,1970-1979,HF_narrow,0,0,0
ARS,2,AstraZeneca,1,1970-1979,HF_narrow,0,0,0
ARS,3,Pfizer,1,<1940,HF_narrow,0,0,0
ARS,4,Pfizer,1,<1940,HF_narrow,0,0,0
ARS,5,Pfizer,1,<1940,HF_narrow,0,0,0
ARS,1,AstraZeneca,1,1940-1949,HF_narrow,0,0,0
ARS,2,AstraZeneca,1,1940-1949,HF_narrow,0,0,0
ARS,3,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,4,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,5,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,6,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,7,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,8,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,9,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,10,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,11,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,12,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,13,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,14,Pfizer,1,1970-1979,HF_narrow,0,0,0
ARS,6,Pfizer,1,1980-1989,HF_narrow,0,0,0
ARS,1,Pfizer,2,1980-1989,HF_narrow,0,0,0
ARS,2,Pfizer,2,1980-1989,HF_narrow,0,0,0
ARS,3,Pfizer,2,1980-1989,HF_narrow,0,0,0
ARS,4,Pfizer,2,1980-1989,HF_narrow,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,HF_narrow,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,HF_narrow,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,HF_narrow,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,HF_narrow,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,HF_narrow,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,HF_narrow,0,0,0
ARS,0,none,no_dose,1990+,CAD_narrow,0,0,0
ARS,0,none,no_dose,1970-1979,CAD_narrow,0,0,0
ARS,0,none,no_dose,<1940,CAD_narrow,6.54,0.92,46.43
ARS,0,none,no_dose,1940-1949,CAD_narrow,0,0,0
ARS,0,none,no_dose,1950-1959,CAD_narrow,0,0,0
ARS,0,none,no_dose,1960-1969,CAD_narrow,0,0,0
ARS,0,none,no_dose,1980-1989,CAD_narrow,0,0,0
ARS,1,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,2,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,1,Pfizer,2,1970-1979,CAD_narrow,0,0,0
ARS,1,Pfizer,1,1960-1969,CAD_narrow,0,0,0
ARS,1,Pfizer,1,<1940,CAD_narrow,0,0,0
ARS,2,Pfizer,1,1960-1969,CAD_narrow,0,0,0
ARS,3,Pfizer,1,1960-1969,CAD_narrow,0,0,0
ARS,4,Pfizer,1,1960-1969,CAD_narrow,0,0,0
ARS,1,Pfizer,2,1960-1969,CAD_narrow,0,0,0
ARS,2,Pfizer,2,1960-1969,CAD_narrow,0,0,0
ARS,5,Pfizer,1,1960-1969,CAD_narrow,0,0,0
ARS,2,Pfizer,1,<1940,CAD_narrow,0,0,0
ARS,1,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,2,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,3,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,4,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,5,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,1,AstraZeneca,1,1970-1979,CAD_narrow,0,0,0
ARS,2,AstraZeneca,1,1970-1979,CAD_narrow,0,0,0
ARS,3,Pfizer,1,<1940,CAD_narrow,0,0,0
ARS,4,Pfizer,1,<1940,CAD_narrow,0,0,0
ARS,5,Pfizer,1,<1940,CAD_narrow,0,0,0
ARS,1,AstraZeneca,1,1940-1949,CAD_narrow,0,0,0
ARS,2,AstraZeneca,1,1940-1949,CAD_narrow,0,0,0
ARS,3,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,4,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,5,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,6,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,7,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,8,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,9,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,10,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,11,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,12,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,13,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,14,Pfizer,1,1970-1979,CAD_narrow,0,0,0
ARS,6,Pfizer,1,1980-1989,CAD_narrow,0,0,0
ARS,1,Pfizer,2,1980-1989,CAD_narrow,0,0,0
ARS,2,Pfizer,2,1980-1989,CAD_narrow,0,0,0
ARS,3,Pfizer,2,1980-1989,CAD_narrow,0,0,0
ARS,4,Pfizer,2,1980-1989,CAD_narrow,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,CAD_narrow,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,CAD_narrow,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,CAD_narrow,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,CAD_narrow,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,CAD_narrow,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,CAD_narrow,0,0,0
ARS,0,none,no_dose,1990+,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1970-1979,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,<1940,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1940-1949,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1950-1959,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1960-1969,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1980-1989,GENCONV_narrow,0,0,0
ARS,1,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,2,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,1,Pfizer,2,1970-1979,GENCONV_narrow,0,0,0
ARS,1,Pfizer,1,1960-1969,GENCONV_narrow,0,0,0
ARS,1,Pfizer,1,<1940,GENCONV_narrow,0,0,0
ARS,2,Pfizer,1,1960-1969,GENCONV_narrow,0,0,0
ARS,3,Pfizer,1,1960-1969,GENCONV_narrow,0,0,0
ARS,4,Pfizer,1,1960-1969,GENCONV_narrow,0,0,0
ARS,1,Pfizer,2,1960-1969,GENCONV_narrow,0,0,0
ARS,2,Pfizer,2,1960-1969,GENCONV_narrow,0,0,0
ARS,5,Pfizer,1,1960-1969,GENCONV_narrow,0,0,0
ARS,2,Pfizer,1,<1940,GENCONV_narrow,0,0,0
ARS,1,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,2,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,3,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,4,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,5,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,1,AstraZeneca,1,1970-1979,GENCONV_narrow,0,0,0
ARS,2,AstraZeneca,1,1970-1979,GENCONV_narrow,0,0,0
ARS,3,Pfizer,1,<1940,GENCONV_narrow,0,0,0
ARS,4,Pfizer,1,<1940,GENCONV_narrow,0,0,0
ARS,5,Pfizer,1,<1940,GENCONV_narrow,0,0,0
ARS,1,AstraZeneca,1,1940-1949,GENCONV_narrow,0,0,0
ARS,2,AstraZeneca,1,1940-1949,GENCONV_narrow,0,0,0
ARS,3,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,4,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,5,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,6,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,7,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,8,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,9,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,10,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,11,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,12,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,13,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,14,Pfizer,1,1970-1979,GENCONV_narrow,0,0,0
ARS,6,Pfizer,1,1980-1989,GENCONV_narrow,0,0,0
ARS,1,Pfizer,2,1980-1989,GENCONV_narrow,0,0,0
ARS,2,Pfizer,2,1980-1989,GENCONV_narrow,0,0,0
ARS,3,Pfizer,2,1980-1989,GENCONV_narrow,0,0,0
ARS,4,Pfizer,2,1980-1989,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,1,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,2,AstraZeneca,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,6,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,7,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,8,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,9,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,10,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,11,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,12,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,13,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,14,Pfizer,1,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,3,Pfizer,2,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,4,Pfizer,2,all_birth_cohorts,GENCONV_narrow,0,0,0
ARS,0,none,no_dose,1990+,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,1970-1979,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,<1940,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,1940-1949,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,1950-1959,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,1960-1969,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,1980-1989,ANAPHYL_broad,5.4,0.76,38.34
ARS,1,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,2,1970-1979,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,1,1960-1969,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,1,<1940,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,1,1960-1969,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,1,1960-1969,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,1,1960-1969,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,2,1960-1969,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,2,1960-1969,ANAPHYL_broad,0,0,0
ARS,5,Pfizer,1,1960-1969,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,1,<1940,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,5,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,1,AstraZeneca,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,2,AstraZeneca,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,1,<1940,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,1,<1940,ANAPHYL_broad,0,0,0
ARS,5,Pfizer,1,<1940,ANAPHYL_broad,0,0,0
ARS,1,AstraZeneca,1,1940-1949,ANAPHYL_broad,0,0,0
ARS,2,AstraZeneca,1,1940-1949,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,5,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,6,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,7,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,8,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,9,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,10,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,11,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,12,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,13,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,14,Pfizer,1,1970-1979,ANAPHYL_broad,0,0,0
ARS,6,Pfizer,1,1980-1989,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,2,1980-1989,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,2,1980-1989,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,2,1980-1989,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,2,1980-1989,ANAPHYL_broad,0,0,0
ARS,0,none,no_dose,all_birth_cohorts,ANAPHYL_broad,0.59,0.08,4.19
ARS,1,Pfizer,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,1,Pfizer,2,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,3,Pfizer,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,4,Pfizer,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,2,Pfizer,2,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,5,Pfizer,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
ARS,1,AstraZeneca,1,all_birth_cohorts,ANAPHYL_broad,0,0,0
