datasource,week,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200106,none,no_dose,40-49,L1,0,0,0,315541.74
TEST,20200106,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200106,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200106,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200106,none,no_dose,60-69,L1,0,0,0,374267.56
TEST,20200106,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200106,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200106,none,no_dose,30-39,L1,0,0,0,447628.98
TEST,20200106,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200106,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200113,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200113,none,no_dose,40-49,L1,0,0,0,319280.38
TEST,20200113,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200113,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200113,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200113,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200113,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200113,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200113,none,no_dose,30-39,L1,0,0,0,464608.01
TEST,20200113,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200113,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200120,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200120,none,no_dose,40-49,L1,0,0,0,320800.77
TEST,20200120,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200120,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200120,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200120,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200120,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200120,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200120,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200120,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200120,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200127,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200127,none,no_dose,40-49,L1,0,0,0,320800.77
TEST,20200127,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200127,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200127,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200127,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200127,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200127,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200127,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200127,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200127,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200203,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200203,none,no_dose,40-49,L1,0,0,0,320800.77
TEST,20200203,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200203,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200203,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200203,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200203,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200203,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200203,none,no_dose,30-39,L1,0,0,0,469464.54
TEST,20200203,none,no_dose,5-11,L1,0,0,0,1013055.05
TEST,20200203,none,no_dose,0-4,L1,0,0,0,4812011.5
TEST,20200210,none,no_dose,18-24,L1,0,0,0,874911.18
TEST,20200210,none,no_dose,40-49,L1,0,0,0,326238.07
TEST,20200210,none,no_dose,80+,L1,0,0,0,520217.46
TEST,20200210,none,no_dose,70-79,L1,0,0,0,427734.36
TEST,20200210,none,no_dose,25-29,L1,0,0,0,1480618.92
TEST,20200210,none,no_dose,60-69,L1,0,0,0,377412.67
TEST,20200210,none,no_dose,50-59,L1,0,0,0,274972.09
TEST,20200210,none,no_dose,12-17,L1,0,0,0,874911.18
TEST,20200210,none,no_dose,30-39,L1,0,0,0,469464.54
