datasource,week,vx_manufacturer,dose,birth_cohort,COVID,Numerator,IR,lb,ub,ageband
TEST,20200106,none,no_dose,1960-1969,L1,0,0,0,52203.15,50-59
TEST,20200106,none,no_dose,1970-1979,L1,0,0,0,58734.23,40-49
TEST,20200106,none,no_dose,1940-1949,L1,0,0,0,80200.19,70-79
TEST,20200106,none,no_dose,1980-1989,L1,0,0,0,90366.41,30-39
TEST,20200106,none,no_dose,1990+,L1,0,0,0,44146.89,<30
TEST,20200106,none,no_dose,<1940,L1,0,0,0,85546.87,80+
TEST,20200106,none,no_dose,1950-1959,L1,0,0,0,61692.46,60-69
TEST,20200113,none,no_dose,1960-1969,L1,0,0,0,52304.47,50-59
TEST,20200113,none,no_dose,1970-1979,L1,0,0,0,58965.57,40-49
TEST,20200113,none,no_dose,1940-1949,L1,0,0,0,80295.78,70-79
TEST,20200113,none,no_dose,1980-1989,L1,0,0,0,90366.41,30-39
TEST,20200113,none,no_dose,1990+,L1,0,0,0,44161.36,<30
TEST,20200113,none,no_dose,<1940,L1,0,0,0,86535.85,80+
TEST,20200113,none,no_dose,1950-1959,L1,0,0,0,61692.46,60-69
TEST,20200120,none,no_dose,1960-1969,L1,0,0,0,52304.47,50-59
TEST,20200120,none,no_dose,1970-1979,L1,0,0,0,59043.09,40-49
TEST,20200120,none,no_dose,1940-1949,L1,0,0,0,80535.76,70-79
TEST,20200120,none,no_dose,1980-1989,L1,0,0,0,90670.47,30-39
TEST,20200120,none,no_dose,1990+,L1,0,0,0,44306.58,<30
TEST,20200120,none,no_dose,<1940,L1,0,0,0,86702.91,80+
TEST,20200120,none,no_dose,1950-1959,L1,0,0,0,61692.46,60-69
TEST,20200127,none,no_dose,1960-1969,L1,0,0,0,52304.47,50-59
TEST,20200127,none,no_dose,1970-1979,L1,0,0,0,59043.09,40-49
TEST,20200127,none,no_dose,1940-1949,L1,0,0,0,80535.76,70-79
TEST,20200127,none,no_dose,1980-1989,L1,0,0,0,90792.67,30-39
TEST,20200127,none,no_dose,1990+,L1,0,0,0,44350.34,<30
TEST,20200127,none,no_dose,<1940,L1,0,0,0,86814.64,80+
TEST,20200127,none,no_dose,1950-1959,L1,0,0,0,61692.46,60-69
TEST,20200203,none,no_dose,1960-1969,L1,0,0,0,52304.47,50-59
TEST,20200203,none,no_dose,1970-1979,L1,0,0,0,59120.81,40-49
TEST,20200203,none,no_dose,1940-1949,L1,0,0,0,80535.76,70-79
TEST,20200203,none,no_dose,1980-1989,L1,0,0,0,91161.25,30-39
TEST,20200203,none,no_dose,1990+,L1,0,0,0,44350.34,<30
TEST,20200203,none,no_dose,<1940,L1,0,0,0,87095.23,80+
TEST,20200203,none,no_dose,1950-1959,L1,0,0,0,61692.46,60-69
TEST,20200210,none,no_dose,1960-1969,L1,0,0,0,52446.99,50-59
TEST,20200210,none,no_dose,1970-1979,L1,0,0,0,59224.76,40-49
TEST,20200210,none,no_dose,1940-1949,L1,0,0,0,80825.63,70-79
TEST,20200210,none,no_dose,1980-1989,L1,0,0,0,91346.66,30-39
TEST,20200210,none,no_dose,1990+,L1,0,0,0,44350.34,<30
TEST,20200210,none,no_dose,<1940,L1,0,0,0,87095.23,80+
TEST,20200210,none,no_dose,1950-1959,L1,0,0,0,61947.73,60-69
TEST,20200217,none,no_dose,1960-1969,L1,0,0,0,52549.27,50-59
TEST,20200217,none,no_dose,1970-1979,L1,0,0,0,59224.76,40-49
TEST,20200217,none,no_dose,1940-1949,L1,0,0,0,80874.14,70-79
TEST,20200217,none,no_dose,1980-1989,L1,0,0,0,91657.36,30-39
TEST,20200217,none,no_dose,1990+,L1,0,0,0,44350.34,<30
TEST,20200217,none,no_dose,<1940,L1,0,0,0,87321.01,80+
TEST,20200217,none,no_dose,1950-1959,L1,0,0,0,62291.41,60-69
TEST,20200224,none,no_dose,1960-1969,L1,0,0,0,52590.29,50-59
TEST,20200224,none,no_dose,1970-1979,L1,0,0,0,59224.76,40-49
TEST,20200224,none,no_dose,1940-1949,L1,0,0,0,80874.14,70-79
TEST,20200224,none,no_dose,1980-1989,L1,0,0,0,91657.36,30-39
TEST,20200224,none,no_dose,1990+,L1,0,0,0,44350.34,<30
TEST,20200224,none,no_dose,<1940,L1,0,0,0,87947.99,80+
TEST,20200224,none,no_dose,1950-1959,L1,0,0,0,62291.41,60-69
TEST,20200302,none,no_dose,1960-1969,L1,0,0,0,52672.53,50-59
TEST,20200302,none,no_dose,1970-1979,L1,0,0,0,59276.87,40-49
TEST,20200302,none,no_dose,1940-1949,L1,0,0,0,81068.79,70-79
TEST,20200302,none,no_dose,1980-1989,L1,0,0,0,91657.36,30-39
TEST,20200302,none,no_dose,1990+,L1,0,0,0,44555.66,<30
