datasource,week,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,L1,0,0,0,17530.1
TEST,20200113,none,no_dose,CV,L1,0,0,0,17612.59
TEST,20200120,none,no_dose,CV,L1,0,0,0,17672.66
TEST,20200127,none,no_dose,CV,L1,0,0,0,17737.8
TEST,20200203,none,no_dose,CV,L1,0,0,0,17798.72
TEST,20200210,none,no_dose,CV,L1,0,0,0,17838.78
TEST,20200217,none,no_dose,CV,L1,0,0,0,17871.91
TEST,20200224,none,no_dose,CV,L1,0,0,0,17893.27
TEST,20200302,none,no_dose,CV,L1,0,0,0,17938.53
TEST,20200309,none,no_dose,CV,L1,0,0,0,18000.84
TEST,20200316,none,no_dose,CV,L1,0,0,0,18039.41
TEST,20200323,none,no_dose,CV,L1,0,0,0,18061.17
TEST,20200330,none,no_dose,CV,L1,0,0,0,18109.72
TEST,20200406,none,no_dose,CV,L1,0,0,0,18148.75
TEST,20200413,none,no_dose,CV,L1,0,0,0,18175.68
TEST,20200420,none,no_dose,CV,L1,1,4934.48,124.93,27493.15
TEST,20200427,none,no_dose,CV,L1,0,0,0,18227.32
TEST,20200504,none,no_dose,CV,L1,0,0,0,18266.85
TEST,20200511,none,no_dose,CV,L1,0,0,0,18346.45
TEST,20200518,none,no_dose,CV,L1,0,0,0,18416.67
TEST,20200525,none,no_dose,CV,L1,1,5001.37,126.62,27865.85
TEST,20200601,none,no_dose,CV,L1,1,5002.74,126.66,27873.48
TEST,20200608,none,no_dose,CV,L1,0,0,0,18472.21
TEST,20200615,none,no_dose,CV,L1,0,0,0,18484.88
TEST,20200622,none,no_dose,CV,L1,1,5032.38,127.41,28038.62
TEST,20200629,none,no_dose,CV,L1,0,0,0,18635.73
TEST,20200706,none,no_dose,CV,L1,0,0,0,18674.47
TEST,20200713,none,no_dose,CV,L1,0,0,0,18728.99
TEST,20200720,none,no_dose,CV,L1,0,0,0,18752.45
TEST,20200727,none,no_dose,CV,L1,0,0,0,18815.29
TEST,20200803,none,no_dose,CV,L1,0,0,0,18836.34
TEST,20200810,none,no_dose,CV,L1,0,0,0,18862.71
TEST,20200817,none,no_dose,CV,L1,0,0,0,18960.92
TEST,20200824,none,no_dose,CV,L1,0,0,0,19014.44
TEST,20200831,none,no_dose,CV,L1,0,0,0,19052.08
TEST,20200907,none,no_dose,CV,L1,0,0,0,19076.36
