datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,CV,L1,1,1800.24,45.58,10030.28
TEST,1,Pfizer,1,CV,L1,0,0,0,10364332.47
TEST,2,Pfizer,1,CV,L1,0,0,0,44912107.35
TEST,0,none,no_dose,COVCANCER,L1,0,0,0,48292.59
TEST,0,none,no_dose,COVCOPD,L1,0,0,0,21865.68
TEST,1,Pfizer,1,COVCOPD,L1,0,0,0,19248046.01
TEST,2,Pfizer,1,COVCOPD,L1,0,0,0,19248046.01
TEST,3,Pfizer,1,COVCOPD,L1,0,0,0,19248046.01
TEST,4,Pfizer,1,COVCOPD,L1,0,0,0,19248046.01
TEST,5,Pfizer,1,COVCOPD,L1,0,0,0,67368161.03
TEST,0,none,no_dose,COVHIV,L1,0,0,0,288514.61
TEST,0,none,no_dose,COVCKD,L1,0,0,0,144257.3
TEST,0,none,no_dose,COVDIAB,L1,3,11028.08,2274.26,32228.73
TEST,1,Pfizer,1,COVDIAB,L1,0,0,0,13473632.21
TEST,2,Pfizer,1,COVDIAB,L1,0,0,0,44912107.35
TEST,0,none,no_dose,IMMUNOSUPPR,L1,1,3592.86,90.96,20018.13
TEST,0,none,no_dose,any_risk_factors,L1,4,3761.59,1024.91,9631.15
TEST,1,Pfizer,1,any_risk_factors,L1,0,0,0,5858100.96
TEST,2,Pfizer,1,any_risk_factors,L1,0,0,0,13473632.21
TEST,3,Pfizer,1,any_risk_factors,L1,0,0,0,19248046.01
TEST,4,Pfizer,1,any_risk_factors,L1,0,0,0,19248046.01
TEST,5,Pfizer,1,any_risk_factors,L1,0,0,0,67368161.03
TEST,0,none,no_dose,CV,L2,0,0,0,6602.78
TEST,1,Pfizer,1,CV,L2,0,0,0,10364332.47
TEST,2,Pfizer,1,CV,L2,0,0,0,44912107.35
TEST,0,none,no_dose,COVCANCER,L2,0,0,0,48292.59
TEST,0,none,no_dose,COVCOPD,L2,0,0,0,21865.68
TEST,1,Pfizer,1,COVCOPD,L2,0,0,0,19248046.01
TEST,2,Pfizer,1,COVCOPD,L2,0,0,0,19248046.01
TEST,3,Pfizer,1,COVCOPD,L2,0,0,0,19248046.01
TEST,4,Pfizer,1,COVCOPD,L2,0,0,0,19248046.01
TEST,5,Pfizer,1,COVCOPD,L2,0,0,0,67368161.03
TEST,0,none,no_dose,COVHIV,L2,0,0,0,288514.61
TEST,0,none,no_dose,COVCKD,L2,0,0,0,144257.3
TEST,0,none,no_dose,COVDIAB,L2,1,3585.1,90.77,19974.9
TEST,1,Pfizer,1,COVDIAB,L2,0,0,0,13473632.21
TEST,2,Pfizer,1,COVDIAB,L2,0,0,0,44912107.35
TEST,0,none,no_dose,IMMUNOSUPPR,L2,0,0,0,13142.44
TEST,0,none,no_dose,any_risk_factors,L2,1,932.28,23.6,5194.35
TEST,1,Pfizer,1,any_risk_factors,L2,0,0,0,5858100.96
TEST,2,Pfizer,1,any_risk_factors,L2,0,0,0,13473632.21
TEST,3,Pfizer,1,any_risk_factors,L2,0,0,0,19248046.01
TEST,4,Pfizer,1,any_risk_factors,L2,0,0,0,19248046.01
TEST,5,Pfizer,1,any_risk_factors,L2,0,0,0,67368161.03
TEST,0,none,no_dose,CV,L3,0,0,0,6602.78
TEST,1,Pfizer,1,CV,L3,0,0,0,10364332.47
TEST,2,Pfizer,1,CV,L3,0,0,0,44912107.35
TEST,0,none,no_dose,COVCANCER,L3,0,0,0,48292.59
TEST,0,none,no_dose,COVCOPD,L3,0,0,0,21865.68
TEST,1,Pfizer,1,COVCOPD,L3,0,0,0,19248046.01
TEST,2,Pfizer,1,COVCOPD,L3,0,0,0,19248046.01
TEST,3,Pfizer,1,COVCOPD,L3,0,0,0,19248046.01
TEST,4,Pfizer,1,COVCOPD,L3,0,0,0,19248046.01
TEST,5,Pfizer,1,COVCOPD,L3,0,0,0,67368161.03
TEST,0,none,no_dose,COVHIV,L3,0,0,0,288514.61
TEST,0,none,no_dose,COVCKD,L3,0,0,0,144257.3
TEST,0,none,no_dose,COVDIAB,L3,1,3585.1,90.77,19974.9
TEST,1,Pfizer,1,COVDIAB,L3,0,0,0,13473632.21
TEST,2,Pfizer,1,COVDIAB,L3,0,0,0,44912107.35
TEST,0,none,no_dose,IMMUNOSUPPR,L3,0,0,0,13142.44
TEST,0,none,no_dose,any_risk_factors,L3,1,932.28,23.6,5194.35
TEST,1,Pfizer,1,any_risk_factors,L3,0,0,0,5858100.96
TEST,2,Pfizer,1,any_risk_factors,L3,0,0,0,13473632.21
TEST,3,Pfizer,1,any_risk_factors,L3,0,0,0,19248046.01
TEST,4,Pfizer,1,any_risk_factors,L3,0,0,0,19248046.01
TEST,5,Pfizer,1,any_risk_factors,L3,0,0,0,67368161.03
TEST,0,none,no_dose,CV,L4,0,0,0,6602.78
TEST,1,Pfizer,1,CV,L4,0,0,0,10364332.47
TEST,2,Pfizer,1,CV,L4,0,0,0,44912107.35
TEST,0,none,no_dose,COVCANCER,L4,0,0,0,48292.59
TEST,0,none,no_dose,COVCOPD,L4,0,0,0,21865.68
TEST,1,Pfizer,1,COVCOPD,L4,0,0,0,19248046.01
TEST,2,Pfizer,1,COVCOPD,L4,0,0,0,19248046.01
TEST,3,Pfizer,1,COVCOPD,L4,0,0,0,19248046.01
TEST,4,Pfizer,1,COVCOPD,L4,0,0,0,19248046.01
TEST,5,Pfizer,1,COVCOPD,L4,0,0,0,67368161.03
TEST,0,none,no_dose,COVHIV,L4,0,0,0,288514.61
TEST,0,none,no_dose,COVCKD,L4,0,0,0,144257.3
TEST,0,none,no_dose,COVDIAB,L4,1,3585.1,90.77,19974.9
TEST,1,Pfizer,1,COVDIAB,L4,0,0,0,13473632.21
TEST,2,Pfizer,1,COVDIAB,L4,0,0,0,44912107.35
TEST,0,none,no_dose,IMMUNOSUPPR,L4,0,0,0,13142.44
TEST,0,none,no_dose,any_risk_factors,L4,1,932.28,23.6,5194.35
TEST,1,Pfizer,1,any_risk_factors,L4,0,0,0,5858100.96
TEST,2,Pfizer,1,any_risk_factors,L4,0,0,0,13473632.21
TEST,3,Pfizer,1,any_risk_factors,L4,0,0,0,19248046.01
TEST,4,Pfizer,1,any_risk_factors,L4,0,0,0,19248046.01
TEST,5,Pfizer,1,any_risk_factors,L4,0,0,0,67368161.03
TEST,0,none,no_dose,CV,L5,0,0,0,6602.78
TEST,1,Pfizer,1,CV,L5,0,0,0,10364332.47
TEST,2,Pfizer,1,CV,L5,0,0,0,44912107.35
TEST,0,none,no_dose,COVCANCER,L5,0,0,0,48292.59
TEST,0,none,no_dose,COVCOPD,L5,0,0,0,21865.68
TEST,1,Pfizer,1,COVCOPD,L5,0,0,0,19248046.01
TEST,2,Pfizer,1,COVCOPD,L5,0,0,0,19248046.01
TEST,3,Pfizer,1,COVCOPD,L5,0,0,0,19248046.01
TEST,4,Pfizer,1,COVCOPD,L5,0,0,0,19248046.01
TEST,5,Pfizer,1,COVCOPD,L5,0,0,0,67368161.03
TEST,0,none,no_dose,COVHIV,L5,0,0,0,288514.61
TEST,0,none,no_dose,COVCKD,L5,0,0,0,144257.3
TEST,0,none,no_dose,COVDIAB,L5,1,3585.1,90.77,19974.9
TEST,1,Pfizer,1,COVDIAB,L5,0,0,0,13473632.21
TEST,2,Pfizer,1,COVDIAB,L5,0,0,0,44912107.35
TEST,0,none,no_dose,IMMUNOSUPPR,L5,0,0,0,13142.44
TEST,0,none,no_dose,any_risk_factors,L5,1,932.28,23.6,5194.35
TEST,1,Pfizer,1,any_risk_factors,L5,0,0,0,5858100.96
TEST,2,Pfizer,1,any_risk_factors,L5,0,0,0,13473632.21
TEST,3,Pfizer,1,any_risk_factors,L5,0,0,0,19248046.01
TEST,4,Pfizer,1,any_risk_factors,L5,0,0,0,19248046.01
TEST,5,Pfizer,1,any_risk_factors,L5,0,0,0,67368161.03
