datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,CV,L1,2,625.01,75.69,2257.75
TEST,1,Pfizer,1,CV,L1,0,0,0,100026.97
TEST,2,Pfizer,1,CV,L1,0,0,0,101995.7
TEST,3,Pfizer,1,CV,L1,0,0,0,116958.61
TEST,1,Pfizer,2,CV,L1,0,0,0,139623.13
TEST,2,Pfizer,2,CV,L1,0,0,0,146931.65
TEST,3,Pfizer,2,CV,L1,0,0,0,148061.89
TEST,4,Pfizer,2,CV,L1,0,0,0,148715.59
TEST,5,Pfizer,2,CV,L1,0,0,0,156670.14
TEST,6,Pfizer,2,CV,L1,0,0,0,172517.7
TEST,7,Pfizer,2,CV,L1,0,0,0,182322.49
TEST,8,Pfizer,2,CV,L1,0,0,0,206650.8
TEST,9,Pfizer,2,CV,L1,0,0,0,259607.56
TEST,10,Pfizer,2,CV,L1,0,0,0,361223.38
TEST,11,Pfizer,2,CV,L1,0,0,0,516231.12
TEST,12,Pfizer,2,CV,L1,0,0,0,690955.5
TEST,4,Pfizer,1,CV,L1,0,0,0,329428.66
TEST,5,Pfizer,1,CV,L1,0,0,0,508438.95
TEST,6,Pfizer,1,CV,L1,0,0,0,673681.61
TEST,7,Pfizer,1,CV,L1,0,0,0,1161520.02
TEST,8,Pfizer,1,CV,L1,0,0,0,1283203.07
TEST,9,Pfizer,1,CV,L1,0,0,0,1360972.95
TEST,1,AstraZeneca,1,CV,L1,0,0,0,874911.18
TEST,2,AstraZeneca,1,CV,L1,0,0,0,874911.18
TEST,3,AstraZeneca,1,CV,L1,0,0,0,874911.18
TEST,4,AstraZeneca,1,CV,L1,0,0,0,874911.18
TEST,5,AstraZeneca,1,CV,L1,0,0,0,904270.62
TEST,6,AstraZeneca,1,CV,L1,0,0,0,916573.62
TEST,7,AstraZeneca,1,CV,L1,0,0,0,948847.34
TEST,8,AstraZeneca,1,CV,L1,0,0,0,1060915.92
TEST,9,AstraZeneca,1,CV,L1,0,0,0,1224875.66
TEST,10,AstraZeneca,1,CV,L1,0,0,0,1480618.92
TEST,11,AstraZeneca,1,CV,L1,0,0,0,1604003.83
TEST,12,AstraZeneca,1,CV,L1,0,0,0,1952700.32
TEST,1,AstraZeneca,2,CV,L1,0,0,0,2749720.86
TEST,1,Moderna,1,CV,L1,0,0,0,802001.92
TEST,2,Moderna,1,CV,L1,0,0,0,816583.77
TEST,3,Moderna,1,CV,L1,0,0,0,836871.57
TEST,4,Moderna,1,CV,L1,0,0,0,916573.62
TEST,5,Moderna,1,CV,L1,0,0,0,2694726.44
TEST,1,Moderna,2,CV,L1,0,0,0,1132238
TEST,2,Moderna,2,CV,L1,0,0,0,1171620.19
TEST,3,Moderna,2,CV,L1,0,0,0,1203002.88
TEST,4,Moderna,2,CV,L1,0,0,0,1247558.54
