datasource,week,vx_manufacturer,dose,birth_cohort,percentage,ageband
TEST,20191230,AstraZeneca,1,1940-1949,0,70-79
TEST,20191230,AstraZeneca,1,1950-1959,0,60-69
TEST,20191230,AstraZeneca,1,1960-1969,0,50-59
TEST,20191230,AstraZeneca,1,1970-1979,0,40-49
TEST,20191230,AstraZeneca,1,1980-1989,0,30-39
TEST,20191230,AstraZeneca,1,1990+,0,<30
TEST,20191230,AstraZeneca,1,<1940,0,80+
TEST,20191230,AstraZeneca,1,<1960,0,60+
TEST,20191230,AstraZeneca,1,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,AstraZeneca,2,1940-1949,0,70-79
TEST,20191230,AstraZeneca,2,1950-1959,0,60-69
TEST,20191230,AstraZeneca,2,1960-1969,0,50-59
TEST,20191230,AstraZeneca,2,1970-1979,0,40-49
TEST,20191230,AstraZeneca,2,1980-1989,0,30-39
TEST,20191230,AstraZeneca,2,1990+,0,<30
TEST,20191230,AstraZeneca,2,<1940,0,80+
TEST,20191230,AstraZeneca,2,<1960,0,60+
TEST,20191230,AstraZeneca,2,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,J&J,1,1940-1949,0,70-79
TEST,20191230,J&J,1,1950-1959,0,60-69
TEST,20191230,J&J,1,1960-1969,0,50-59
TEST,20191230,J&J,1,1970-1979,0,40-49
TEST,20191230,J&J,1,1980-1989,0,30-39
TEST,20191230,J&J,1,1990+,0,<30
TEST,20191230,J&J,1,<1940,0,80+
TEST,20191230,J&J,1,<1960,0,60+
TEST,20191230,J&J,1,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,J&J,2,1940-1949,0,70-79
TEST,20191230,J&J,2,1950-1959,0,60-69
TEST,20191230,J&J,2,1960-1969,0,50-59
TEST,20191230,J&J,2,1970-1979,0,40-49
TEST,20191230,J&J,2,1980-1989,0,30-39
TEST,20191230,J&J,2,1990+,0,<30
TEST,20191230,J&J,2,<1940,0,80+
TEST,20191230,J&J,2,<1960,0,60+
TEST,20191230,J&J,2,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,Moderna,1,1940-1949,0,70-79
TEST,20191230,Moderna,1,1950-1959,0,60-69
TEST,20191230,Moderna,1,1960-1969,0,50-59
TEST,20191230,Moderna,1,1970-1979,0,40-49
TEST,20191230,Moderna,1,1980-1989,0,30-39
TEST,20191230,Moderna,1,1990+,0,<30
TEST,20191230,Moderna,1,<1940,0,80+
TEST,20191230,Moderna,1,<1960,0,60+
TEST,20191230,Moderna,1,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,Moderna,2,1940-1949,0,70-79
TEST,20191230,Moderna,2,1950-1959,0,60-69
TEST,20191230,Moderna,2,1960-1969,0,50-59
TEST,20191230,Moderna,2,1970-1979,0,40-49
TEST,20191230,Moderna,2,1980-1989,0,30-39
TEST,20191230,Moderna,2,1990+,0,<30
TEST,20191230,Moderna,2,<1940,0,80+
TEST,20191230,Moderna,2,<1960,0,60+
TEST,20191230,Moderna,2,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,Pfizer,1,1940-1949,0,70-79
TEST,20191230,Pfizer,1,1950-1959,0,60-69
TEST,20191230,Pfizer,1,1960-1969,0,50-59
TEST,20191230,Pfizer,1,1970-1979,0,40-49
TEST,20191230,Pfizer,1,1980-1989,0,30-39
TEST,20191230,Pfizer,1,1990+,0,<30
TEST,20191230,Pfizer,1,<1940,0,80+
TEST,20191230,Pfizer,1,<1960,0,60+
TEST,20191230,Pfizer,1,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,Pfizer,2,1940-1949,0,70-79
TEST,20191230,Pfizer,2,1950-1959,0,60-69
TEST,20191230,Pfizer,2,1960-1969,0,50-59
TEST,20191230,Pfizer,2,1970-1979,0,40-49
TEST,20191230,Pfizer,2,1980-1989,0,30-39
TEST,20191230,Pfizer,2,1990+,0,<30
TEST,20191230,Pfizer,2,<1940,0,80+
TEST,20191230,Pfizer,2,<1960,0,60+
TEST,20191230,Pfizer,2,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,UKN,1,1940-1949,0,70-79
TEST,20191230,UKN,1,1950-1959,0,60-69
TEST,20191230,UKN,1,1960-1969,0,50-59
TEST,20191230,UKN,1,1970-1979,0,40-49
TEST,20191230,UKN,1,1980-1989,0,30-39
TEST,20191230,UKN,1,1990+,0,<30
TEST,20191230,UKN,1,<1940,0,80+
TEST,20191230,UKN,1,<1960,0,60+
TEST,20191230,UKN,1,all_birth_cohorts,0,all_birth_cohorts
TEST,20191230,UKN,2,1940-1949,0,70-79
TEST,20191230,UKN,2,1950-1959,0,60-69
TEST,20191230,UKN,2,1960-1969,0,50-59
TEST,20191230,UKN,2,1970-1979,0,40-49
TEST,20191230,UKN,2,1980-1989,0,30-39
TEST,20191230,UKN,2,1990+,0,<30
TEST,20191230,UKN,2,<1940,0,80+
