datasource,week,vx_manufacturer,dose,riskfactor,percentage
TEST,20191230,AstraZeneca,1,CV,0
TEST,20191230,AstraZeneca,1,COVCANCER,0
TEST,20191230,AstraZeneca,1,COVCOPD,0
TEST,20191230,AstraZeneca,1,COVHIV,0
TEST,20191230,AstraZeneca,1,COVCKD,0
TEST,20191230,AstraZeneca,1,COVDIAB,0
TEST,20191230,AstraZeneca,1,COVOBES,0
TEST,20191230,AstraZeneca,1,COVSICKLE,0
TEST,20191230,AstraZeneca,1,IMMUNOSUPPR,0
TEST,20191230,AstraZeneca,1,any_risk_factors,0
TEST,20191230,AstraZeneca,2,CV,0
TEST,20191230,AstraZeneca,2,COVCANCER,0
TEST,20191230,AstraZeneca,2,COVCOPD,0
TEST,20191230,AstraZeneca,2,COVHIV,0
TEST,20191230,AstraZeneca,2,COVCKD,0
TEST,20191230,AstraZeneca,2,COVDIAB,0
TEST,20191230,AstraZeneca,2,COVOBES,0
TEST,20191230,AstraZeneca,2,COVSICKLE,0
TEST,20191230,AstraZeneca,2,IMMUNOSUPPR,0
TEST,20191230,AstraZeneca,2,any_risk_factors,0
TEST,20191230,J&J,1,CV,0
TEST,20191230,J&J,1,COVCANCER,0
TEST,20191230,J&J,1,COVCOPD,0
TEST,20191230,J&J,1,COVHIV,0
TEST,20191230,J&J,1,COVCKD,0
TEST,20191230,J&J,1,COVDIAB,0
TEST,20191230,J&J,1,COVOBES,0
TEST,20191230,J&J,1,COVSICKLE,0
TEST,20191230,J&J,1,IMMUNOSUPPR,0
TEST,20191230,J&J,1,any_risk_factors,0
TEST,20191230,J&J,2,CV,0
TEST,20191230,J&J,2,COVCANCER,0
TEST,20191230,J&J,2,COVCOPD,0
TEST,20191230,J&J,2,COVHIV,0
TEST,20191230,J&J,2,COVCKD,0
TEST,20191230,J&J,2,COVDIAB,0
TEST,20191230,J&J,2,COVOBES,0
TEST,20191230,J&J,2,COVSICKLE,0
TEST,20191230,J&J,2,IMMUNOSUPPR,0
TEST,20191230,J&J,2,any_risk_factors,0
TEST,20191230,Moderna,1,CV,0
TEST,20191230,Moderna,1,COVCANCER,0
TEST,20191230,Moderna,1,COVCOPD,0
TEST,20191230,Moderna,1,COVHIV,0
TEST,20191230,Moderna,1,COVCKD,0
TEST,20191230,Moderna,1,COVDIAB,0
TEST,20191230,Moderna,1,COVOBES,0
TEST,20191230,Moderna,1,COVSICKLE,0
TEST,20191230,Moderna,1,IMMUNOSUPPR,0
TEST,20191230,Moderna,1,any_risk_factors,0
TEST,20191230,Moderna,2,CV,0
TEST,20191230,Moderna,2,COVCANCER,0
TEST,20191230,Moderna,2,COVCOPD,0
TEST,20191230,Moderna,2,COVHIV,0
TEST,20191230,Moderna,2,COVCKD,0
TEST,20191230,Moderna,2,COVDIAB,0
TEST,20191230,Moderna,2,COVOBES,0
TEST,20191230,Moderna,2,COVSICKLE,0
TEST,20191230,Moderna,2,IMMUNOSUPPR,0
TEST,20191230,Moderna,2,any_risk_factors,0
