datasource,week_since_vaccination,vx_manufacturer,dose,ageband,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,0-4,ACUASEARTHRITIS_broad,0,0,0,97212.35
TEST,0,none,no_dose,5-11,ACUASEARTHRITIS_broad,0,0,0,19375.37
TEST,0,none,no_dose,12-17,ACUASEARTHRITIS_broad,0,0,0,17161.68
TEST,0,none,no_dose,18-24,ACUASEARTHRITIS_broad,0,0,0,17864.8
TEST,0,none,no_dose,25-29,ACUASEARTHRITIS_broad,0,0,0,28317.85
TEST,0,none,no_dose,30-39,ACUASEARTHRITIS_broad,0,0,0,8979.43
TEST,0,none,no_dose,40-49,ACUASEARTHRITIS_broad,0,0,0,6506.8
TEST,0,none,no_dose,50-59,ACUASEARTHRITIS_broad,0,0,0,5398.09
TEST,0,none,no_dose,60-69,ACUASEARTHRITIS_broad,1,2029.17,51.37,11305.79
TEST,0,none,no_dose,70-79,ACUASEARTHRITIS_broad,1,2362.85,59.82,13164.98
TEST,0,none,no_dose,80+,ACUASEARTHRITIS_broad,0,0,0,10599.14
TEST,0,none,no_dose,all_birth_cohorts,ACUASEARTHRITIS_broad,2,539.78,65.37,1949.87
TEST,0,none,no_dose,0-59,ACUASEARTHRITIS_broad,0,0,0,1511.12
TEST,0,none,no_dose,60+,ACUASEARTHRITIS_broad,2,1582.2,191.61,5715.44
TEST,1,AstraZeneca,1,0-4,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,5-11,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,12-17,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,18-24,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,25-29,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,30-39,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,40-49,ACUASEARTHRITIS_broad,0,0,0,19248046.01
TEST,1,AstraZeneca,1,50-59,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,60-69,ACUASEARTHRITIS_broad,0,0,0,0
TEST,1,AstraZeneca,1,70-79,ACUASEARTHRITIS_broad,0,0,0,16842040.26
TEST,1,AstraZeneca,1,80+,ACUASEARTHRITIS_broad,0,0,0,0
