datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,AESI,Numerator,IR,lb,ub,ageband
TEST,0,none,no_dose,1940-1949,ADEM_broad,0,0,0,1627.31,70-79
TEST,0,none,no_dose,1950-1959,ADEM_broad,0,0,0,1235.92,60-69
TEST,0,none,no_dose,1960-1969,ADEM_broad,0,0,0,1026.12,50-59
TEST,0,none,no_dose,1970-1979,ADEM_broad,0,0,0,1172.74,40-49
TEST,0,none,no_dose,1980-1989,ADEM_broad,0,0,0,1783.43,30-39
TEST,0,none,no_dose,1990+,ADEM_broad,1,238.98,6.05,1331.54,<30
TEST,0,none,no_dose,<1940,ADEM_broad,0,0,0,1760.36,80+
TEST,0,none,no_dose,<1960,ADEM_broad,0,0,0,502.09,60+
TEST,0,none,no_dose,>1960,ADEM_broad,1,76.96,1.95,428.81,
TEST,0,none,no_dose,all_birth_cohorts,ADEM_broad,1,49.16,1.24,273.92,all_birth_cohorts
TEST,1,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,300750.72,70-79
TEST,1,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,377412.67,60-69
TEST,1,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,583274.12,50-59
TEST,1,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,874911.18,40-49
TEST,1,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,4812011.5,30-39
TEST,1,AstraZeneca,1,1990+,ADEM_broad,0,0,0,4812011.5,<30
TEST,1,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,1,AstraZeneca,1,<1960,ADEM_broad,0,0,0,167374.31,60+
TEST,1,AstraZeneca,1,>1960,ADEM_broad,0,0,0,305524.54,
TEST,1,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,108135.09,all_birth_cohorts
TEST,2,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,150375.36,70-79
TEST,2,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,188706.33,60-69
TEST,2,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,291637.06,50-59
TEST,2,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,437455.59,40-49
TEST,2,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,2406005.75,30-39
TEST,2,AstraZeneca,1,1990+,ADEM_broad,0,0,0,2406005.75,<30
TEST,2,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,2,AstraZeneca,1,<1960,ADEM_broad,0,0,0,83687.16,60+
TEST,2,AstraZeneca,1,>1960,ADEM_broad,0,0,0,152762.27,
TEST,2,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,54067.54,all_birth_cohorts
TEST,3,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,100250.24,70-79
TEST,3,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,125804.22,60-69
TEST,3,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,194424.71,50-59
TEST,3,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,291637.06,40-49
TEST,3,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,1604003.83,30-39
TEST,3,AstraZeneca,1,1990+,ADEM_broad,0,0,0,1604003.83,<30
TEST,3,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,3,AstraZeneca,1,<1960,ADEM_broad,0,0,0,55791.44,60+
TEST,3,AstraZeneca,1,>1960,ADEM_broad,0,0,0,101841.51,
TEST,3,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,36045.03,all_birth_cohorts
TEST,4,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,75187.68,70-79
TEST,4,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,94353.17,60-69
TEST,4,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,146293.51,50-59
TEST,4,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,218727.8,40-49
TEST,4,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,1203002.88,30-39
TEST,4,AstraZeneca,1,1990+,ADEM_broad,0,0,0,1213840.74,<30
TEST,4,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,4,AstraZeneca,1,<1960,ADEM_broad,0,0,0,41843.58,60+
TEST,4,AstraZeneca,1,>1960,ADEM_broad,0,0,0,76554.73,
TEST,4,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,27055.49,all_birth_cohorts
