datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,AESI,Numerator,IR,lb,ub,ageband
TEST,0,none,no_dose,1940-1949,ADEM_broad,0,0,0,474.73,70-79
TEST,0,none,no_dose,1950-1959,ADEM_broad,0,0,0,398.54,60-69
TEST,0,none,no_dose,1960-1969,ADEM_broad,0,0,0,299.51,50-59
TEST,0,none,no_dose,1970-1979,ADEM_broad,1,86.75,2.2,483.34,40-49
TEST,0,none,no_dose,1980-1989,ADEM_broad,0,0,0,491.45,30-39
TEST,0,none,no_dose,1990+,ADEM_broad,0,0,0,242.63,<30
TEST,0,none,no_dose,<1940,ADEM_broad,0,0,0,549.57,80+
TEST,0,none,no_dose,<1960,ADEM_broad,0,0,0,155.4,60+
TEST,0,none,no_dose,>1960,ADEM_broad,1,21.48,0.54,119.68,
TEST,0,none,no_dose,all_birth_cohorts,ADEM_broad,1,14.23,0.36,79.26,all_birth_cohorts
TEST,1,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,67774.81,70-79
TEST,1,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,121823.08,60-69
TEST,1,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,200500.48,50-59
TEST,1,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,256640.61,40-49
TEST,1,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,677066.95,30-39
TEST,1,AstraZeneca,1,1990+,ADEM_broad,0,0,0,874911.18,<30
TEST,1,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,1,AstraZeneca,1,<1960,ADEM_broad,0,0,0,43547.62,60+
TEST,1,AstraZeneca,1,>1960,ADEM_broad,0,0,0,86926.66,
TEST,1,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,29012.99,all_birth_cohorts
TEST,2,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,33972.85,70-79
TEST,2,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,60966.66,60-69
TEST,2,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,100549.49,50-59
TEST,2,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,128320.31,40-49
TEST,2,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,343715.11,30-39
TEST,2,AstraZeneca,1,1990+,ADEM_broad,0,0,0,437455.59,<30
TEST,2,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,2,AstraZeneca,1,<1960,ADEM_broad,0,0,0,21816.11,60+
TEST,2,AstraZeneca,1,>1960,ADEM_broad,0,0,0,43603.99,
TEST,2,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,14540.94,all_birth_cohorts
TEST,3,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,22682.88,70-79
TEST,3,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,40718.14,60-69
TEST,3,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,67200.16,50-59
TEST,3,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,85546.87,40-49
TEST,3,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,231904.17,30-39
TEST,3,AstraZeneca,1,1990+,ADEM_broad,0,0,0,291637.06,<30
TEST,3,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,3,AstraZeneca,1,<1960,ADEM_broad,0,0,0,14567.66,60+
TEST,3,AstraZeneca,1,>1960,ADEM_broad,0,0,0,29144.78,
TEST,3,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,9712.83,all_birth_cohorts
TEST,4,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,17025.06,70-79
TEST,4,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,30601.03,60-69
TEST,4,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,50519.81,50-59
TEST,4,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,64343.99,40-49
TEST,4,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,174982.24,30-39
TEST,4,AstraZeneca,1,1990+,ADEM_broad,0,0,0,218727.8,<30
TEST,4,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,4,AstraZeneca,1,<1960,ADEM_broad,0,0,0,10939.05,60+
TEST,4,AstraZeneca,1,>1960,ADEM_broad,0,0,0,21919.04,
TEST,4,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,7297.24,all_birth_cohorts
TEST,5,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,13626.25,70-79
TEST,5,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,24722.26,60-69
TEST,5,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,41191.17,50-59
TEST,5,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,51901.51,40-49
TEST,5,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,141827.71,30-39
TEST,5,AstraZeneca,1,1990+,ADEM_broad,0,0,0,174982.24,<30
TEST,5,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,5,AstraZeneca,1,<1960,ADEM_broad,0,0,0,8784.48,60+
TEST,5,AstraZeneca,1,>1960,ADEM_broad,0,0,0,17758.84,
TEST,5,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,5877.27,all_birth_cohorts
TEST,6,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,11358.65,70-79
TEST,6,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,20967.37,60-69
TEST,6,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,35635.1,50-59
TEST,6,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,43759.77,40-49
TEST,6,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,120515.49,30-39
TEST,6,AstraZeneca,1,1990+,ADEM_broad,0,0,0,147413.92,<30
TEST,6,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,6,AstraZeneca,1,<1960,ADEM_broad,0,0,0,7367.47,60+
TEST,6,AstraZeneca,1,>1960,ADEM_broad,0,0,0,15152.53,
TEST,6,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,4957.19,all_birth_cohorts
TEST,7,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,9738.1,70-79
TEST,7,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,18620.28,60-69
TEST,7,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,31747.48,50-59
TEST,7,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,37985.99,40-49
TEST,7,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,104771.63,30-39
TEST,7,AstraZeneca,1,1990+,ADEM_broad,0,0,0,127833.32,<30
TEST,7,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,7,AstraZeneca,1,<1960,ADEM_broad,0,0,0,6394.09,60+
TEST,7,AstraZeneca,1,>1960,ADEM_broad,0,0,0,13299.41,
TEST,7,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,4318.06,all_birth_cohorts
TEST,8,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,8526.54,70-79
TEST,8,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,17441.6,60-69
TEST,8,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,28845.28,50-59
TEST,8,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,33709.36,40-49
TEST,8,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,92665.97,30-39
TEST,8,AstraZeneca,1,1990+,ADEM_broad,0,0,0,113128.73,<30
TEST,8,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,8,AstraZeneca,1,<1960,ADEM_broad,0,0,0,5726.88,60+
TEST,8,AstraZeneca,1,>1960,ADEM_broad,0,0,0,11909.87,
TEST,8,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,3867.29,all_birth_cohorts
TEST,9,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,7678.6,70-79
TEST,9,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,16572.73,60-69
TEST,9,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,26429.25,50-59
TEST,9,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,30339.19,40-49
TEST,9,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,83376.44,30-39
TEST,9,AstraZeneca,1,1990+,ADEM_broad,0,0,0,101764.59,<30
TEST,9,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,9,AstraZeneca,1,<1960,ADEM_broad,0,0,0,5247.35,60+
TEST,9,AstraZeneca,1,>1960,ADEM_broad,0,0,0,10797.04,
TEST,9,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,3531.2,all_birth_cohorts
TEST,10,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,7063.13,70-79
TEST,10,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,15888.72,60-69
TEST,10,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,24422.03,50-59
TEST,10,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,27598.59,40-49
TEST,10,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,75822.35,30-39
TEST,10,AstraZeneca,1,1990+,ADEM_broad,0,0,0,92729.75,<30
TEST,10,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,10,AstraZeneca,1,<1960,ADEM_broad,0,0,0,4889.55,60+
TEST,10,AstraZeneca,1,>1960,ADEM_broad,0,0,0,9886,
TEST,10,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,3271.49,all_birth_cohorts
TEST,11,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,6570.26,70-79
TEST,11,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,15335.34,60-69
TEST,11,AstraZeneca,1,1960-1969,ADEM_broad,0,0,0,22721.13,50-59
TEST,11,AstraZeneca,1,1970-1979,ADEM_broad,0,0,0,25345.43,40-49
TEST,11,AstraZeneca,1,1980-1989,ADEM_broad,0,0,0,69523.39,30-39
TEST,11,AstraZeneca,1,1990+,ADEM_broad,0,0,0,85330.16,<30
TEST,11,AstraZeneca,1,<1940,ADEM_broad,0,0,0,0,80+
TEST,11,AstraZeneca,1,<1960,ADEM_broad,0,0,0,4599.61,60+
TEST,11,AstraZeneca,1,>1960,ADEM_broad,0,0,0,9126.62,
TEST,11,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,3058.3,all_birth_cohorts
TEST,12,AstraZeneca,1,1940-1949,ADEM_broad,0,0,0,6215.35,70-79
TEST,12,AstraZeneca,1,1950-1959,ADEM_broad,0,0,0,14947.45,60-69
