Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,5,6931,56,66,70,62,20,93
TEST,Pfizer,4,4976,77,82,84,78,15,96
TEST,Moderna,6,668,37,38,47,42,20,59
TEST,Pfizer,6,4894,40,51,57,48,15,84
TEST,Pfizer,3,2121,85,88,90,85,34,96
TEST,Pfizer,1,1734,36,53,64,53,21,91
TEST,AstraZeneca,3,3960,55,76,78,66,35,79
TEST,Moderna,3,727,60,69,73,65,31,83
TEST,AstraZeneca,4,4714,70,73,75,71,27,79
TEST,Moderna,5,1748,57,58,66,57,20,79
TEST,Pfizer,2,1151,40,52,61,51,21,92
TEST,AstraZeneca,5,3129,60,63,68,62,29,78
TEST,J&J,6,467,59,60,62,61,59,66
TEST,J&J,5,436,60,63,65,63,59,68
TEST,AstraZeneca,2,2095,41,47,51,44,24,54
TEST,Moderna,4,781,52,64,70,61,40,74
TEST,AstraZeneca,6,205,54,60,61,58,48,68
TEST,J&J,4,323,74,74,75,75,71,79
TEST,Moderna,1,111,29,42,54,42,21,62
TEST,Moderna,2,200,37,46,54,45,28,61
