sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,50-59,2020,66993,66993,66993,66993,66993,66993,66993,66993,66993,66993,66993,0,0,0,0,0,0,0,0,0,0,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2,0,0,2011.2
0,50-59,2021,23490,23490,23490,23490,23490,23490,23490,23490,23490,23490,23490,0,0,0,0,0,0,0,0,0,0,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9,0,0,5735.9
1,70-79,2020,39896,39896,39896,39896,39896,39896,39896,39896,39896,39896,39896,0,0,0,0,0,0,0,0,0,0,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19,0,0,3377.19
1,70-79,2021,11359,11359,11359,11359,11359,11359,11359,11359,11359,11359,11359,0,0,0,0,0,0,0,0,0,0,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64,0,0,11861.64
1,30-39,2020,31066,31066,31066,31066,31066,31066,31066,31066,31066,31066,31066,0,0,0,0,0,0,0,0,0,0,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1,0,0,4337.1
1,30-39,2021,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,0,0,0,0,0,0,0,0,0,0,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83,0,0,10858.83
1,40-49,2020,51643,51643,51643,51643,51643,51643,51643,51079,51643,51643,51643,0,0,0,0,0,0,1,0,0,0,0,0,2608.99,0,0,2608.99,0,0,2608.99,0,0,2608.99,0,0,2608.99,0,0,2608.99,715.07,18.1,3984.11,0,0,2608.99,0,0,2608.99,0,0,2608.99
1,40-49,2021,20036,20036,20036,20036,20036,20036,20036,19671,20036,20036,20036,0,0,0,0,0,0,1,0,0,0,0,0,6724.71,0,0,6724.71,0,0,6724.71,0,0,6724.71,0,0,6724.71,0,0,6724.71,1856.79,47.01,10345.4,0,0,6724.71,0,0,6724.71,0,0,6724.71
1,25-29,2020,17560,17560,17560,17560,17560,17560,17560,17560,17560,17560,17560,0,0,0,0,0,0,0,0,0,0,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91,0,0,7672.91
1,25-29,2021,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,0,0,0,0,0,0,0,0,0,0,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95,0,0,16695.95
0,80+,2020,48180,48180,48180,48180,48180,48180,48180,48180,48180,48180,48180,0,0,0,0,0,0,0,0,0,0,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52,0,0,2796.52
0,80+,2021,11834,11834,11834,11834,11834,11834,11834,11834,11834,11834,11834,0,0,0,0,0,0,0,0,0,0,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53,0,0,11385.53
0,40-49,2020,58624,58624,58624,58624,58624,58624,58624,58624,58624,58624,58624,0,0,0,0,0,0,0,0,0,0,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31,0,0,2298.31
0,40-49,2021,22688,22688,22688,22688,22688,22688,22688,22688,22688,22688,22688,0,0,0,0,0,0,0,0,0,0,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66,0,0,5938.66
1,50-59,2020,65917,65917,65917,65917,65917,65917,65917,65551,65917,65917,65917,0,0,0,0,0,0,0,0,0,0,0,0,2044.03,0,0,2044.03,0,0,2044.03,0,0,2044.03,0,0,2044.03,0,0,2044.03,0,0,2055.44,0,0,2044.03,0,0,2044.03,0,0,2044.03
1,50-59,2021,25413,25413,25413,25413,25413,25413,25413,25256,25413,25413,25413,0,0,0,0,0,0,0,0,0,0,0,0,5301.87,0,0,5301.87,0,0,5301.87,0,0,5301.87,0,0,5301.87,0,0,5301.87,0,0,5334.82,0,0,5301.87,0,0,5301.87,0,0,5301.87
0,70-79,2020,46884,46884,46884,46884,46884,46884,46884,46884,46884,46884,46884,0,0,0,0,0,0,0,0,0,0,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82,0,0,2873.82
0,70-79,2021,14046,14046,14046,14046,14006,14046,14006,14046,14046,14046,14046,0,0,0,1,0,1,0,0,0,0,0,0,9592.5,0,0,9592.5,0,0,9592.5,2607.81,66.02,14529.79,0,0,9592.5,2607.81,66.02,14529.79,0,0,9592.5,0,0,9592.5,0,0,9592.5,0,0,9592.5
0,30-39,2020,39251,39251,39251,39251,39251,39251,39251,39251,39251,39251,39251,0,0,0,0,0,0,0,0,0,0,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69,0,0,3432.69
