sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98,0,0,32958.98
1,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42,0,0,63765.42
1,30-39,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83,0,0,612437.83
0,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73,0,0,12813.73
0,50-59,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25,0,0,1095417.25
0,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15,0,0,49390.15
1,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92,0,0,42409.92
1,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6,0,0,35729.6
0,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02,0,0,122599.02
0,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72,0,0,32918.72
1,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,152589.27,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,152589.27,0,0,143642.13
0,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42,0,0,37762.42
1,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58,0,0,70542.58
1,25-29,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54,0,0,1028521.54
1,80+,Pfizer,0,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,18173.23,0,0,18173.23,0,0,18173.23,4935.81,124.96,27500.58,0,0,18173.23,4935.81,124.96,27500.58,0,0,18173.23,0,0,18173.23,0,0,18173.23,0,0,18173.23,0,0,18173.23,0,0,18173.23
0,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27,0,0,50425.27
1,50-59,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8,0,0,107188.8
1,60-69,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22,0,0,103246.22
1,70-79,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89,0,0,632564.89
1,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92,0,0,118605.92
0,60-69,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17,0,0,83739.17
0,25-29,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38,0,0,319280.38
0,30-39,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45,0,0,124640.45
