sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,May,2021,50-59,Pfizer,0,699,699,699,699,699,699,699,699,699,699,699,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,Pfizer,0,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,1798,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,Pfizer,0,156,156,156,156,156,156,156,156,156,156,156,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,Pfizer,0,683,683,683,683,683,683,683,683,683,683,683,0,0,0,0,0,0,0,0,0,0
1,June,2021,30-39,Moderna,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0
0,April,2021,80+,Pfizer,0,2461,2461,2461,2461,2461,2461,2461,2461,2461,2461,2461,0,0,0,0,0,0,0,0,0,0
0,May,2021,80+,Pfizer,0,3107,3107,3107,3107,3107,3107,3107,3107,3107,3107,3107,0,0,0,0,0,0,0,0,0,0
0,June,2021,80+,Pfizer,0,3009,3009,3009,3009,3009,3009,3009,3009,3009,3009,3009,0,0,0,0,0,0,0,0,0,0
0,March,2021,80+,Pfizer,0,719,719,719,719,719,719,719,719,719,719,719,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,Pfizer,1,94,94,94,94,94,94,94,94,94,94,94,0,0,0,0,0,0,0,0,0,0
1,June,2021,70-79,Pfizer,0,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,1017,0,0,0,0,0,0,0,0,0,0
0,January,2021,50-59,Pfizer,0,147,147,147,147,147,147,147,147,147,147,147,0,0,0,0,0,0,0,0,0,0
0,February,2021,50-59,Pfizer,0,317,317,317,317,317,317,317,317,317,317,317,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,Pfizer,0,414,414,414,414,414,414,414,414,414,414,414,0,0,0,0,0,0,0,0,0,0
0,April,2021,50-59,Pfizer,0,431,431,431,431,431,431,431,431,431,431,431,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,Pfizer,0,864,864,864,864,864,864,864,864,864,864,864,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,AstraZeneca,0,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,AstraZeneca,0,733,733,733,733,733,733,733,733,733,733,733,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,AstraZeneca,0,995,995,995,995,995,995,995,995,995,995,995,0,0,0,0,0,0,0,0,0,0
1,June,2021,70-79,AstraZeneca,0,960,960,960,960,960,960,960,960,960,960,960,0,0,0,0,0,0,0,0,0,0
0,March,2021,60-69,Moderna,0,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,Moderna,0,183,183,183,183,183,183,183,183,183,183,183,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,Moderna,0,316,316,316,316,316,316,316,316,316,316,316,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,Moderna,0,360,360,360,360,360,360,360,360,360,360,360,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,Moderna,0,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,Pfizer,0,706,706,706,706,706,706,706,659,706,706,706,0,0,0,0,0,0,0,0,0,0
