sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,2020,66993,66993,66993,66993,66993,66993,66993,66993,66993,66993,66993,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,23490,23490,23490,23490,23490,23490,23490,23490,23490,23490,23490,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,39896,39896,39896,39896,39896,39896,39896,39896,39896,39896,39896,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,11359,11359,11359,11359,11359,11359,11359,11359,11359,11359,11359,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,31066,31066,31066,31066,31066,31066,31066,31066,31066,31066,31066,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,12408,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,51643,51643,51643,51643,51643,51643,51643,51079,51643,51643,51643,0,0,0,0,0,0,1,0,0,0
1,40-49,2021,20036,20036,20036,20036,20036,20036,20036,19671,20036,20036,20036,0,0,0,0,0,0,1,0,0,0
1,25-29,2020,17560,17560,17560,17560,17560,17560,17560,17560,17560,17560,17560,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,8070,0,0,0,0,0,0,0,0,0,0
0,80+,2020,48180,48180,48180,48180,48180,48180,48180,48180,48180,48180,48180,0,0,0,0,0,0,0,0,0,0
0,80+,2021,11834,11834,11834,11834,11834,11834,11834,11834,11834,11834,11834,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,58624,58624,58624,58624,58624,58624,58624,58624,58624,58624,58624,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,22688,22688,22688,22688,22688,22688,22688,22688,22688,22688,22688,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,65917,65917,65917,65917,65917,65917,65917,65551,65917,65917,65917,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,25413,25413,25413,25413,25413,25413,25413,25256,25413,25413,25413,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,46884,46884,46884,46884,46884,46884,46884,46884,46884,46884,46884,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,14046,14046,14046,14046,14046,14046,14046,14046,14046,14046,14046,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,39251,39251,39251,39251,39251,39251,39251,39251,39251,39251,39251,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,13486,13486,13486,13486,13486,13486,13486,13486,13486,13486,13486,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,6296,0,0,0,0,0,0,0,0,0,0
1,5-11,2020,16610,16610,16610,16610,16610,16610,16610,16610,16610,16610,16610,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,52541,52541,52541,52541,52541,52541,52541,52541,52541,52541,52541,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,17789,17789,17789,17789,17789,17789,17789,17789,17789,17789,17789,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,56149,56149,56149,56149,56149,56149,56149,56149,56149,56149,56149,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,18045,18045,18045,18045,18045,18045,18045,18045,18045,18045,18045,0,0,0,0,0,0,0,0,0,0
0,18-24,2020,15701,15701,15701,15701,15701,15701,15701,15701,15701,15701,15701,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,5943,0,0,0,0,0,0,0,0,0,0
0,25-29,2020,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,20057,0,0,0,0,0,0,0,0,0,0
0,25-29,2021,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,8340,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,15554,15554,15554,15554,15554,15554,15554,15554,15554,15554,15554,0,0,0,0,0,0,0,0,0,0
0,0-4,2020,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,4085,0,0,0,0,0,0,0,0,0,0
1,80+,2020,36867,36867,36867,36867,36867,36867,36867,36867,36867,36867,36867,0,0,0,0,0,0,0,0,0,0
1,80+,2021,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,8359,0,0,0,0,0,0,0,0,0,0
0,0-4,2021,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,14558,14558,14558,14558,14558,14558,14558,14558,14558,14558,14558,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,5879,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,17710,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,7757,7757,7757,7757,7757,7757,7757,7757,7757,7757,7757,0,0,0,0,0,0,0,0,0,0
1,18-24,2020,16957,16957,16957,16957,16957,16957,16957,16957,16957,16957,16957,0,0,0,0,0,0,0,0,0,0
1,18-24,2021,6823,6823,6823,6823,6823,6823,6823,6823,6823,6823,6823,0,0,0,0,0,0,0,0,0,0
