Dose,sex,ageband_at_study_entry,type_vax,week_fup,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
0,0,50-59,,0,0,0,0,0,0,0,0,0,0,0,2020,62250,61821,62236,62250,62250,62250,3,1,0,0,0
0,0,50-59,,0,0,0,0,0,0,0,0,0,0,0,2021,22509,21510,22077,22509,22509,22509,4,2,0,0,0
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,506,471,492,506,506,506,0,0,0,0,0
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,453,418,439,453,453,453,0,0,0,0,0
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,335,310,323,335,335,335,0,0,0,0,0
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,175,161,168,175,175,175,0,0,0,0,0
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,126,112,119,126,126,126,0,0,0,0,0
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,58,48,51,58,58,58,0,0,0,0,0
0,0,40-49,,0,0,0,0,0,0,0,0,0,0,0,2020,61797,61523,61580,61797,61797,61797,2,1,0,0,0
0,0,40-49,,0,0,0,0,0,0,0,0,0,0,0,2021,22924,22483,22698,22924,22924,22924,3,1,0,0,0
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,358,344,351,358,358,358,0,0,0,0,0
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,322,308,315,322,322,322,0,0,0,0,0
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,280,267,274,280,280,280,0,0,0,0,0
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,126,119,126,126,126,126,0,0,0,0,0
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,58,51,58,58,58,58,0,0,0,0,0
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,46,39,46,46,46,46,0,0,0,0,0
0,1,70-79,,0,1,0,0,0,0,0,0,0,0,1,2020,11886,11886,11886,11886,11886,11886,0,0,0,0,0
0,1,70-79,,0,1,0,0,0,0,0,0,0,0,1,2021,3577,3577,3577,3577,3577,3577,0,0,0,0,0
1,1,70-79,Pfizer,1,1,0,0,0,0,0,0,0,0,1,2021,83,83,83,83,83,83,0,0,0,0,0
1,1,70-79,Pfizer,2,1,0,0,0,0,0,0,0,0,1,2021,77,77,77,77,77,77,0,0,0,0,0
1,1,70-79,Pfizer,3,1,0,0,0,0,0,0,0,0,1,2021,67,67,67,67,67,67,0,0,0,0,0
0,0,50-59,,0,0,1,0,0,0,0,0,0,1,1,2020,326,326,326,326,326,326,0,0,0,0,0
0,1,30-39,,0,0,0,0,0,0,0,0,0,0,0,2020,37834,37580,37814,37834,37834,37834,3,1,0,0,0
0,1,30-39,,0,0,0,0,0,0,0,0,0,0,0,2021,15544,14998,15537,15544,15544,15544,1,0,0,0,0
1,1,30-39,Moderna,1,0,0,0,0,0,0,0,0,0,0,2021,48,48,48,48,48,48,0,0,0,0,0
0,1,40-49,,0,0,0,0,0,0,0,0,0,0,0,2020,53317,53285,53317,53317,53317,53317,2,0,0,0,0
0,1,40-49,,0,0,0,0,0,0,0,0,0,0,0,2021,20115,19546,20115,20115,20115,20115,3,0,0,0,0
0,1,25-29,,0,0,0,0,0,0,0,0,0,0,0,2020,17439,17404,17439,17439,17439,17439,1,0,0,0,0
0,1,25-29,,0,0,0,0,0,0,0,0,0,0,0,2021,7748,7567,7748,7748,7748,7748,0,0,0,0,0
0,0,80+,,0,0,0,0,0,0,0,0,0,0,0,2020,15906,15845,15906,15906,15906,15906,1,0,0,0,0
0,0,80+,,0,0,0,0,0,0,0,0,0,0,0,2021,3680,3506,3617,3617,3617,3617,1,1,1,1,1
1,0,80+,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,252,245,252,252,252,252,0,0,0,0,0
1,0,80+,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,252,245,252,252,252,252,0,0,0,0,0
1,0,80+,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,227,220,227,227,227,227,0,0,0,0,0
2,0,80+,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,7,0,0,0,0,0,0,0,0,0,0,2021,217,217,217,217,217,217,0,0,0,0,0
2,0,80+,Pfizer,8,0,0,0,0,0,0,0,0,0,0,2021,209,209,209,209,209,209,0,0,0,0,0
2,0,80+,Pfizer,9,0,0,0,0,0,0,0,0,0,0,2021,184,184,184,184,184,184,0,0,0,0,0
0,0,80+,,0,1,0,0,0,0,0,0,0,0,1,2020,18914,18914,18914,18914,18914,18914,0,0,0,0,0
0,0,80+,,0,1,0,0,0,0,0,0,0,0,1,2021,5083,5083,5083,5083,5083,5083,0,0,0,0,0
1,0,80+,Pfizer,1,1,0,0,0,0,0,0,0,0,1,2021,287,287,287,287,287,287,0,0,0,0,0
1,0,80+,Pfizer,2,1,0,0,0,0,0,0,0,0,1,2021,287,287,287,287,287,287,0,0,0,0,0
1,0,80+,Pfizer,3,1,0,0,0,0,0,0,0,0,1,2021,269,269,269,269,269,269,0,0,0,0,0
2,0,80+,Pfizer,1,1,0,0,0,0,0,0,0,0,1,2021,231,231,231,231,231,231,0,0,0,0,0
2,0,80+,Pfizer,2,1,0,0,0,0,0,0,0,0,1,2021,224,224,224,224,224,224,0,0,0,0,0
2,0,80+,Pfizer,3,1,0,0,0,0,0,0,0,0,1,2021,224,224,224,224,224,224,0,0,0,0,0
2,0,80+,Pfizer,4,1,0,0,0,0,0,0,0,0,1,2021,224,224,224,224,224,224,0,0,0,0,0
2,0,80+,Pfizer,5,1,0,0,0,0,0,0,0,0,1,2021,224,224,224,224,224,224,0,0,0,0,0
2,0,80+,Pfizer,6,1,0,0,0,0,0,0,0,0,1,2021,224,224,224,224,224,224,0,0,0,0,0
2,0,80+,Pfizer,7,1,0,0,0,0,0,0,0,0,1,2021,220,220,220,220,220,220,0,0,0,0,0
2,0,80+,Pfizer,8,1,0,0,0,0,0,0,0,0,1,2021,208,208,208,208,208,208,0,0,0,0,0
2,0,80+,Pfizer,9,1,0,0,0,0,0,0,0,0,1,2021,157,157,157,157,157,157,0,0,0,0,0
2,0,80+,Pfizer,10,1,0,0,0,0,0,0,0,0,1,2021,119,119,119,119,119,119,0,0,0,0,0
2,0,80+,Pfizer,11,1,0,0,0,0,0,0,0,0,1,2021,94,94,94,94,94,94,0,0,0,0,0
2,0,80+,Pfizer,12,1,0,0,0,0,0,0,0,0,1,2021,80,80,80,80,80,80,0,0,0,0,0
0,1,50-59,,0,0,0,0,0,0,0,0,0,0,0,2020,62651,62636,62651,62651,62651,62651,1,0,0,0,0
0,1,50-59,,0,0,0,0,0,0,0,0,0,0,0,2021,24466,24121,24302,24466,24466,24466,2,2,0,0,0
0,1,60-69,,0,1,0,1,0,0,0,0,0,0,1,2020,1464,1464,1464,1464,1464,1464,0,0,0,0,0
0,1,60-69,,0,1,0,1,0,0,0,0,0,0,1,2021,499,499,499,499,499,499,0,0,0,0,0
1,1,60-69,Pfizer,1,1,0,1,0,0,0,0,0,0,1,2021,7,7,7,7,7,7,0,0,0,0,0
1,1,60-69,Pfizer,2,1,0,1,0,0,0,0,0,0,1,2021,7,7,7,7,7,7,0,0,0,0,0
1,1,60-69,Pfizer,3,1,0,1,0,0,0,0,0,0,1,2021,8,8,8,8,8,8,0,0,0,0,0
2,1,60-69,Pfizer,1,1,0,1,0,0,0,0,0,0,1,2021,7,7,7,7,7,7,0,0,0,0,0
2,1,60-69,Pfizer,2,1,0,1,0,0,0,0,0,0,1,2021,7,7,7,7,7,7,0,0,0,0,0
