sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,2020-01,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-02,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-03,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-04,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-05,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-06,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-07,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-08,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-09,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-10,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-11,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-12,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-01,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-02,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-03,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-04,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-05,4129,4129,4129,4129,4129,4129,4129,4129,4129,4129,4129,4129,4129,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-01,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-02,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,4553,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-03,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,4840,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-04,4591,4591,4591,4591,4591,4591,4591,4591,4591,4591,4591,4591,4591,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-05,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,4662,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-06,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-07,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,4547,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-08,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,4526,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-09,4351,4351,4351,4351,4351,4351,4351,4351,4351,4351,4351,4351,4351,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-10,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,4432,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-11,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,4260,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020-12,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,4383,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021-01,4296,4296,4296,4296,4296,4296,4296,4296,4296,4296,4296,4296,4296,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021-02,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,3771,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021-03,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,3258,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021-04,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-01,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,6273,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-02,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-03,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-04,5965,5965,5965,5965,5965,5965,5965,5965,5965,5965,5965,5965,5965,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-05,6108,6108,6108,6108,6108,6108,6108,6108,6108,6108,6108,6108,6108,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-06,5744,5744,5744,5744,5744,5744,5744,5744,5744,5744,5744,5744,5744,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-07,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-08,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-09,5619,5619,5619,5619,5619,5619,5619,5619,5619,5619,5619,5619,5619,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-10,5765,5765,5765,5765,5765,5765,5765,5765,5765,5765,5765,5765,5765,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-11,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020-12,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,5464,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-01,5193,5193,5193,5193,5193,5193,5193,5193,5193,5193,5193,5193,5193,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-02,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-03,4570,4570,4570,4570,4570,4570,4570,4570,4570,4570,4570,4570,4570,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-04,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-05,4183,4183,4183,4183,4183,4183,4183,4183,4183,4183,4183,4183,4183,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021-06,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-06,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-01,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-02,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-03,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718,4718,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-04,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,4501,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-05,4588,4588,4588,4588,4588,4588,4588,4588,4588,4588,4588,4588,4588,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-06,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,4416,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-07,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,4514,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-08,4493,4493,4493,4493,4493,4493,4493,4493,4493,4493,4493,4493,4493,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-09,4313,4313,4313,4313,4313,4313,4313,4313,4313,4313,4313,4313,4313,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-10,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,4386,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-11,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,4224,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-12,4338,4338,4338,4338,4338,4338,4338,4338,4338,4338,4338,4338,4338,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-01,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-02,3679,3679,3679,3679,3679,3679,3679,3679,3679,3679,3679,3679,3679,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020-01,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,4034,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020-02,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020-03,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,3946,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020-04,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020-05,3852,3852,3852,3852,3852,3852,3852,3852,3852,3852,3852,3852,3852,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-01,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-02,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,1131,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-03,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-04,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-05,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-06,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-07,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-08,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-09,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,1170,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-10,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-11,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,1126,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020-12,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,1116,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-01,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,1113,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-02,980,980,980,980,980,980,980,980,980,980,980,980,980,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-03,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,1085,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-04,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-05,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021-06,960,960,960,960,960,960,960,960,960,960,960,960,960,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-01,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-02,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-03,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,5995,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020-04,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,5780,0,0,0,0,0,0,0,0,0,0,0,0
