sex,ageband_at_1_jan_2021,type_vax_1,history_covid,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,Pfizer,0,2021-05,743,743,743,743,743,743,743,743,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-06,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-04,188,188,188,188,188,188,188,188,188,188,188,188,188,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-05,776,776,776,776,776,776,776,776,776,776,776,776,776,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-06,93,93,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-04,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-05,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-06,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-03,840,840,840,840,840,840,840,840,840,840,840,840,840,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021-06,94,94,94,94,94,94,94,94,94,94,94,94,94,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021-06,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,1107,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-01,190,190,190,190,190,190,190,190,190,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-02,352,352,352,352,352,352,352,352,352,352,352,352,352,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-03,445,445,445,445,445,445,445,445,445,445,445,445,445,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,0,2021-04,461,461,461,461,461,461,461,461,461,461,461,461,461,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021-06,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-03,74,74,74,74,74,74,74,74,74,74,74,74,74,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-04,845,845,845,845,845,845,845,845,845,845,845,845,845,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-05,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,1148,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021-06,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,1110,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-05,999,999,999,999,999,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021-06,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,2276,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-03,60,60,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-04,211,211,211,211,211,211,211,211,211,211,211,211,211,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-05,370,370,370,370,370,370,370,370,370,370,370,370,370,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021-06,420,420,420,420,420,420,420,420,420,420,420,420,420,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-03,47,47,47,47,47,47,47,47,47,47,47,47,47,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-04,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,1015,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-05,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021-06,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021-05,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021-06,764,764,764,764,764,764,764,717,764,764,764,717,764,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-05,712,712,712,712,712,712,712,712,712,712,712,712,712,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021-06,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-05,258,258,258,258,258,258,258,258,258,258,258,258,258,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021-06,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,1417,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,Moderna,0,2021-06,86,86,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-03,574,574,574,574,565,574,565,574,574,574,574,574,574,0,0,0,1,0,1,0,0,0,0,0,0
1,80+,Pfizer,0,2021-04,1810,1810,1810,1810,1805,1810,1805,1810,1810,1810,1810,1810,1810,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-05,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021-06,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,2370,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-05,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,1005,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-06,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-03,223,223,223,223,223,223,223,223,223,223,223,223,223,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-04,264,264,264,264,264,264,264,264,264,264,264,264,264,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-05,319,319,319,319,319,319,319,319,319,319,319,319,319,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021-06,415,415,415,415,415,415,415,415,415,415,415,415,415,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021-05,433,433,433,433,433,433,433,433,433,433,433,433,433,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021-06,809,809,809,809,809,809,809,809,809,809,809,809,809,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,J&J,0,2021-06,114,114,114,114,114,114,114,114,114,114,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-03,63,63,63,63,63,63,63,63,63,63,63,63,63,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-04,199,199,199,199,199,199,199,199,199,199,199,199,199,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-05,393,393,393,393,393,393,393,393,393,393,393,393,393,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021-06,476,476,476,476,476,476,476,476,476,476,476,476,476,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,0,2021-04,148,148,148,148,148,148,148,148,148,148,148,148,148,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021-02,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-05,525,525,525,525,525,525,525,525,525,525,525,525,525,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021-06,839,839,839,839,839,839,839,839,839,839,839,839,839,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021-02,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021-03,92,92,92,92,92,92,92,92,92,92,92,92,92,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021-04,60,60,60,60,60,60,60,60,60,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021-05,80,80,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021-06,144,144,144,144,144,144,144,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0
