"",IT-ARS
"",Narrow
ACUASEARTHRITIS,""
2020,0
2021,0
ADEM,""
2020,0
2021,0
AKI,""
2020,8
2021,7
ALI,""
2020,0
2021,0
ANOSMIA,""
2020,0
2021,0
ARD,""
2020,1
2021,0
ARR,""
2020,36
2021,25
BP,""
2020,0
2021,0
CAD,""
2020,10
2021,13
CHILBLAIN,""
2020,0
2021,1
DIC,""
2020,0
2021,0
DM1,""
2020,2
2021,2
ERYTH,""
2020,0
2021,0
GBS,""
2020,0
2021,0
Hemostroke,""
2020,3
2021,4
HF,""
2020,17
2021,17
Ischstroke,""
2020,5
2021,1
KD,""
2020,0
2021,0
MENINGOENC,""
2020,1
2021,0
MICROANGIO,""
2020,0
2021,0
MIS,""
2020,0
2021,0
MISCC,""
2020,0
2021,0
MYOCARD,""
2020,1
2021,1
Myocardalone,""
2020,0
2021,0
NARCOLEPSY,""
2020,0
2021,0
PERICARD,""
2020,1
2021,1
Sinusthrom,""
2020,0
2021,0
SOCV,""
2020,0
2021,0
STRCARD,""
2020,0
2021,0
SUDDENDEAT,""
2020,0
2021,0
TMA,""
2020,0
2021,0
TP,""
2020,0
2021,0
TRANSMYELITIS,""
2020,0
2021,0
VTE,""
2020,5
2021,1
ANAPHYL,""
2020,0
2021,0
GENCONV,""
2020,4
2021,0
COVID_L1plus,""
2020,32
2021,41
COVID_L2plus,""
2020,10
2021,14
COVID_L3plus,""
2020,6
2021,3
COVID_L4plus,""
2020,5
2021,3
COVID_L5plus,""
2020,5
2021,3
