 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,2429,""
Person years of follow-up,PY,3295,""
Age in years,Min,0,""
Age in years,P25,35,""
Age in years,P50,52,""
Age in years,Mean,50,""
Age in years,P75,67,""
Age in years,Max,97,""
Age in categories,0-4,45,1.9%
Age in categories,5-11,100,4.1%
Age in categories,12-17,110,4.5%
Age in categories,18-24,103,4.2%
Age in categories,25-29,114,4.7%
Age in categories,30-39,256,10.5%
Age in categories,40-49,385,15.9%
Age in categories,50-59,420,17.3%
Age in categories,60-69,371,15.3%
Age in categories,70-79,271,11.2%
Age in categories,80+,254,10.5%
Age in categories,60+,896,36.9%
Person years across age categories,0-4,62,1.9%
Person years across age categories,5-11,140,4.2%
Person years across age categories,12-17,140,4.2%
Person years across age categories,18-24,136,4.1%
Person years across age categories,25-29,160,4.9%
Person years across age categories,30-39,344,10.4%
Person years across age categories,40-49,521,15.8%
Person years across age categories,50-59,585,17.8%
Person years across age categories,60-69,507,15.4%
Person years across age categories,70-79,365,11.1%
Person years across age categories,80+,335,10.2%
Person years across age categories,60+,1208,36.7%
Person years across sex,Male,1728,71.1%
Person years across sex,Female,1567,64.5%
At risk population at January 1-2020,Cardiovascular disease,385,15.9%
At risk population at January 1-2020,Cancer,63,2.6%
At risk population at January 1-2020,Chronic lung disease,128,5.3%
At risk population at January 1-2020,HIV,3,0.1%
At risk population at January 1-2020,Chronic kidney disease,14,0.6%
At risk population at January 1-2020,Diabetes,154,6.3%
At risk population at January 1-2020,Severe obesity,3,0.1%
At risk population at January 1-2020,Sickle cell disease,1,0%
At risk population at January 1-2020,Use of immunosuppressants,121,5%
At risk population at January 1-2020,Any risk factors,624,25.7%
