Event,Vaccination,Cases-IT-ARS,IR-IT-ARS,lb-IT-ARS,ub-IT-ARS
AKI,Pre-vaccination,4,174.42,47.52,446.58
AKI,Post-vaccination,1,940.06,23.8,5237.67
AKI,Pfizer dose 1,0,0,0,8030.06
AKI,Pfizer dose 2,0,0,0,14778.58
AKI,Moderna dose 1,1,10793.44,273.27,60137.2
AKI,Moderna dose 2,0,0,0,76251.46
AKI,AstraZeneca dose 1,0,0,0,23355.23
AKI,AstraZeneca dose 2,0,0,0,107359.62
AKI,J&J dose 1,0,0,0,172077.04
ARD,Pre-vaccination,1,43.58,1.1,242.83
ARD,Post-vaccination,0,0,0,3443.74
ARD,Pfizer dose 1,0,0,0,7988.16
ARD,Pfizer dose 2,0,0,0,14643.66
ARD,Moderna dose 1,0,0,0,39316.11
ARD,Moderna dose 2,0,0,0,73909.12
ARD,AstraZeneca dose 1,0,0,0,23355.23
ARD,AstraZeneca dose 2,0,0,0,107359.62
ARD,J&J dose 1,0,0,0,172077.04
ARR,Pre-vaccination,20,882.57,539.1,1363.07
ARR,Post-vaccination,1,967.83,24.5,5392.41
ARR,Pfizer dose 1,1,2249.35,56.95,12532.59
ARR,Pfizer dose 2,0,0,0,15520.83
ARR,Moderna dose 1,0,0,0,40076.24
ARR,Moderna dose 2,0,0,0,76251.46
ARR,AstraZeneca dose 1,0,0,0,23817.63
ARR,AstraZeneca dose 2,0,0,0,107702.9
ARR,J&J dose 1,0,0,0,172077.04
ArterialNoTP,Pre-vaccination,11,482.22,240.72,862.82
ArterialNoTP,Post-vaccination,0,0,0,3489.58
ArterialNoTP,Pfizer dose 1,0,0,0,8154.47
ArterialNoTP,Pfizer dose 2,0,0,0,14919.31
ArterialNoTP,Moderna dose 1,0,0,0,39316.11
ArterialNoTP,Moderna dose 2,0,0,0,73909.12
ArterialNoTP,AstraZeneca dose 1,0,0,0,23355.23
ArterialNoTP,AstraZeneca dose 2,0,0,0,107359.62
ArterialNoTP,J&J dose 1,0,0,0,172077.04
ArterialVTENoTP,Pre-vaccination,14,615.18,336.33,1032.17
ArterialVTENoTP,Post-vaccination,1,952.04,24.1,5304.43
ArterialVTENoTP,Pfizer dose 1,0,0,0,8185.68
ArterialVTENoTP,Pfizer dose 2,0,0,0,15012.4
ArterialVTENoTP,Moderna dose 1,0,0,0,39651.65
ArterialVTENoTP,Moderna dose 2,1,20508.14,519.22,114264.05
ArterialVTENoTP,AstraZeneca dose 1,0,0,0,23584.16
ArterialVTENoTP,AstraZeneca dose 2,0,0,0,107359.62
ArterialVTENoTP,J&J dose 1,0,0,0,172077.04
CAD,Pre-vaccination,7,305.85,122.97,630.17
CAD,Post-vaccination,0,0,0,3474.56
CAD,Pfizer dose 1,0,0,0,8101.03
CAD,Pfizer dose 2,0,0,0,14824.11
CAD,Moderna dose 1,0,0,0,39316.11
CAD,Moderna dose 2,0,0,0,73909.12
CAD,AstraZeneca dose 1,0,0,0,23355.23
CAD,AstraZeneca dose 2,0,0,0,107359.62
CAD,J&J dose 1,0,0,0,172077.04
CHILBLAIN,Pre-vaccination,0,0,0,160.76
CHILBLAIN,Post-vaccination,0,0,0,3443.74
CHILBLAIN,Pfizer dose 1,0,0,0,7988.16
CHILBLAIN,Pfizer dose 2,0,0,0,14643.66
CHILBLAIN,Moderna dose 1,0,0,0,39316.11
CHILBLAIN,Moderna dose 2,0,0,0,73909.12
CHILBLAIN,AstraZeneca dose 1,0,0,0,23355.23
CHILBLAIN,AstraZeneca dose 2,0,0,0,107359.62
CHILBLAIN,J&J dose 1,0,0,0,172077.04
CONTRDIVERTIC,Pre-vaccination,0,0,0,160.76
CONTRDIVERTIC,Post-vaccination,0,0,0,3443.74
CONTRDIVERTIC,Pfizer dose 1,0,0,0,7988.16
CONTRDIVERTIC,Pfizer dose 2,0,0,0,14643.66
CONTRDIVERTIC,Moderna dose 1,0,0,0,39316.11
CONTRDIVERTIC,Moderna dose 2,0,0,0,73909.12
CONTRDIVERTIC,AstraZeneca dose 1,0,0,0,23355.23
