DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MYOCARD_narrow,January,0,0,0,1801
TEST,MYOCARD_narrow,February,0,0,0,1941.19
TEST,MYOCARD_narrow,March,0,0,0,1833.8
TEST,MYOCARD_narrow,April,0,0,0,1910.61
TEST,MYOCARD_narrow,May,0,0,0,1867.55
TEST,MYOCARD_narrow,June,1,528.88,13.39,2946.73
TEST,MYOCARD_narrow,July,0,0,0,1905.56
TEST,MYOCARD_narrow,August,0,0,0,1926.68
TEST,MYOCARD_narrow,September,0,0,0,2017.1
TEST,MYOCARD_narrow,October,0,0,0,1978.57
TEST,MYOCARD_narrow,November,0,0,0,2080.77
TEST,MYOCARD_narrow,December,0,0,0,2060
TEST,PERICARD_narrow,January,0,0,0,1801
TEST,PERICARD_narrow,February,0,0,0,1941.19
TEST,PERICARD_narrow,March,0,0,0,1833.8
TEST,PERICARD_narrow,April,0,0,0,1910.61
TEST,PERICARD_narrow,May,0,0,0,1867.55
TEST,PERICARD_narrow,June,1,528.88,13.39,2946.73
TEST,PERICARD_narrow,July,0,0,0,1905.56
TEST,PERICARD_narrow,August,0,0,0,1926.68
TEST,PERICARD_narrow,September,0,0,0,2017.1
TEST,PERICARD_narrow,October,0,0,0,1978.57
TEST,PERICARD_narrow,November,0,0,0,2080.77
TEST,PERICARD_narrow,December,0,0,0,2060
TEST,MIS_KD_narrow,January,0,0,0,1799.51
TEST,MIS_KD_narrow,February,0,0,0,1939.57
TEST,MIS_KD_narrow,March,0,0,0,1832.25
TEST,MIS_KD_narrow,April,0,0,0,1908.99
TEST,MIS_KD_narrow,May,0,0,0,1865.95
TEST,MIS_KD_narrow,June,0,0,0,1948.89
TEST,MIS_KD_narrow,July,0,0,0,1903.06
TEST,MIS_KD_narrow,August,0,0,0,1924.12
TEST,MIS_KD_narrow,September,0,0,0,2014.39
TEST,MIS_KD_narrow,October,0,0,0,1975.87
TEST,MIS_KD_narrow,November,0,0,0,2077.89
TEST,MIS_KD_narrow,December,0,0,0,2057.07
