DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MYOCARD_narrow,January,65148,0,0,2068.16
TEST,MYOCARD_narrow,February,60577,0,0,2224.22
TEST,MYOCARD_narrow,March,64264,0,0,2096.61
TEST,MYOCARD_narrow,April,61823,0,0,2179.39
TEST,MYOCARD_narrow,May,63302,0,0,2128.47
TEST,MYOCARD_narrow,June,60708,601.65,15.23,3352.18
TEST,MYOCARD_narrow,July,62283,0,0,2163.29
TEST,MYOCARD_narrow,August,61625,0,0,2186.39
TEST,MYOCARD_narrow,September,58954,0,0,2285.45
TEST,MYOCARD_narrow,October,60327,0,0,2233.43
TEST,MYOCARD_narrow,November,57575,0,0,2340.19
TEST,MYOCARD_narrow,December,58343,0,0,2309.38
TEST,MIS_KD_narrow,January,65210,0,0,2066.19
TEST,MIS_KD_narrow,February,60635,0,0,2222.09
TEST,MIS_KD_narrow,March,64326,0,0,2094.59
TEST,MIS_KD_narrow,April,61883,0,0,2177.28
TEST,MIS_KD_narrow,May,63364,0,0,2126.39
TEST,MIS_KD_narrow,June,60782,0,0,2216.71
TEST,MIS_KD_narrow,July,62376,0,0,2160.07
TEST,MIS_KD_narrow,August,61718,0,0,2183.1
TEST,MIS_KD_narrow,September,59044,0,0,2281.96
TEST,MIS_KD_narrow,October,60420,0,0,2230
TEST,MIS_KD_narrow,November,57665,0,0,2336.54
TEST,MIS_KD_narrow,December,58436,0,0,2305.71
