DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,18-24,0,0,0,381689.3
TEST,MIS_KD_narrow,Male,18-24,0,0,0,516231.12
TEST,MIS_KD_narrow,Female,25-29,0,0,0,296123.78
TEST,MIS_KD_narrow,Female,30-39,0,0,0,175666.65
TEST,MIS_KD_narrow,Male,30-39,0,0,0,131965.06
TEST,MIS_KD_narrow,Female,40-49,0,0,0,133270.35
TEST,MIS_KD_narrow,Male,40-49,0,0,0,202003.48
TEST,MIS_KD_narrow,Female,5-11,0,0,0,568507.69
TEST,MIS_KD_narrow,Female,50-59,0,0,0,85276.15
TEST,MIS_KD_narrow,Male,50-59,0,0,0,188971
TEST,MIS_KD_narrow,Female,60-69,0,0,0,128811.02
TEST,MIS_KD_narrow,Male,60-69,0,0,0,1132238
TEST,MIS_KD_narrow,Female,70-79,0,0,0,1141833.24
TEST,MIS_KD_narrow,Male,70-79,0,0,0,650900.11
TEST,MIS_KD_narrow,Female,80+,0,0,0,425035.72
TEST,MIS_KD_narrow,Male,80+,0,0,0,1113523.32
TEST,MYOCARD_narrow,Female,18-24,0,0,0,381689.3
TEST,MYOCARD_narrow,Male,18-24,0,0,0,516231.12
TEST,MYOCARD_narrow,Female,25-29,0,0,0,296123.78
TEST,MYOCARD_narrow,Female,30-39,0,0,0,175666.65
TEST,MYOCARD_narrow,Male,30-39,0,0,0,131965.06
TEST,MYOCARD_narrow,Female,40-49,0,0,0,133270.35
TEST,MYOCARD_narrow,Male,40-49,0,0,0,202003.48
TEST,MYOCARD_narrow,Female,5-11,0,0,0,568507.69
TEST,MYOCARD_narrow,Female,50-59,0,0,0,85276.15
TEST,MYOCARD_narrow,Male,50-59,0,0,0,188971
TEST,MYOCARD_narrow,Female,60-69,0,0,0,128811.02
TEST,MYOCARD_narrow,Male,60-69,0,0,0,1132238
TEST,MYOCARD_narrow,Female,70-79,0,0,0,1141833.24
TEST,MYOCARD_narrow,Male,70-79,0,0,0,650900.11
TEST,MYOCARD_narrow,Female,80+,0,0,0,425035.72
TEST,MYOCARD_narrow,Male,80+,0,0,0,1113523.32
TEST,PERICARD_narrow,Female,18-24,0,0,0,381689.3
TEST,PERICARD_narrow,Male,18-24,0,0,0,516231.12
TEST,PERICARD_narrow,Female,25-29,0,0,0,296123.78
TEST,PERICARD_narrow,Female,30-39,0,0,0,175666.65
TEST,PERICARD_narrow,Male,30-39,0,0,0,131965.06
TEST,PERICARD_narrow,Female,40-49,0,0,0,133270.35
TEST,PERICARD_narrow,Male,40-49,0,0,0,202003.48
TEST,PERICARD_narrow,Female,5-11,0,0,0,568507.69
TEST,PERICARD_narrow,Female,50-59,0,0,0,85276.15
TEST,PERICARD_narrow,Male,50-59,0,0,0,188971
TEST,PERICARD_narrow,Female,60-69,0,0,0,128811.02
TEST,PERICARD_narrow,Male,60-69,0,0,0,1132238
TEST,PERICARD_narrow,Female,70-79,0,0,0,1141833.24
TEST,PERICARD_narrow,Male,70-79,0,0,0,650900.11
TEST,PERICARD_narrow,Female,80+,0,0,0,425035.72
TEST,PERICARD_narrow,Male,80+,0,0,0,1113523.32
