DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,18-24,0,143,0,0,942212.04
TEST,MIS_KD_narrow,Male,18-24,0,66,0,0,2041459.43
TEST,MIS_KD_narrow,Female,25-29,0,54,0,0,2495117.08
TEST,MIS_KD_narrow,Male,25-29,0,131,0,0,1028521.54
TEST,MIS_KD_narrow,Female,30-39,0,315,0,0,427734.36
TEST,MIS_KD_narrow,Male,30-39,0,220,0,0,612437.83
TEST,MIS_KD_narrow,Female,40-49,0,329,0,0,409532.89
TEST,MIS_KD_narrow,Female,40-49,1,102,0,0,1320944.33
TEST,MIS_KD_narrow,Male,40-49,0,594,0,0,226828.83
TEST,MIS_KD_narrow,Female,50-59,0,901,0,0,149540.87
TEST,MIS_KD_narrow,Male,50-59,0,843,0,0,159829.56
TEST,MIS_KD_narrow,Female,60-69,0,1099,0,0,122599.02
TEST,MIS_KD_narrow,Male,60-69,0,1136,0,0,118605.92
TEST,MIS_KD_narrow,Female,70-79,0,638,0,0,211185.46
TEST,MIS_KD_narrow,Male,70-79,0,805,0,0,167374.31
TEST,MIS_KD_narrow,Female,80+,0,291,0,0,463011.42
TEST,MYOCARD_narrow,Female,18-24,0,143,0,0,942212.04
TEST,MYOCARD_narrow,Male,18-24,0,66,0,0,2041459.43
TEST,MYOCARD_narrow,Female,25-29,0,54,0,0,2495117.08
TEST,MYOCARD_narrow,Male,25-29,0,131,0,0,1028521.54
TEST,MYOCARD_narrow,Female,30-39,0,315,0,0,427734.36
TEST,MYOCARD_narrow,Male,30-39,0,220,0,0,612437.83
TEST,MYOCARD_narrow,Female,40-49,0,329,0,0,409532.89
TEST,MYOCARD_narrow,Female,40-49,1,102,0,0,1320944.33
TEST,MYOCARD_narrow,Male,40-49,0,594,0,0,226828.83
TEST,MYOCARD_narrow,Female,50-59,0,901,0,0,149540.87
TEST,MYOCARD_narrow,Male,50-59,0,819,0,0,164513.21
TEST,MYOCARD_narrow,Female,60-69,0,1099,0,0,122599.02
TEST,MYOCARD_narrow,Male,60-69,0,1136,0,0,118605.92
TEST,MYOCARD_narrow,Female,70-79,0,638,0,0,211185.46
TEST,MYOCARD_narrow,Male,70-79,0,805,0,0,167374.31
TEST,MYOCARD_narrow,Female,80+,0,291,0,0,463011.42
TEST,PERICARD_narrow,Female,18-24,0,143,0,0,942212.04
TEST,PERICARD_narrow,Male,18-24,0,66,0,0,2041459.43
TEST,PERICARD_narrow,Female,25-29,0,54,0,0,2495117.08
TEST,PERICARD_narrow,Male,25-29,0,131,0,0,1028521.54
TEST,PERICARD_narrow,Female,30-39,0,315,0,0,427734.36
TEST,PERICARD_narrow,Male,30-39,0,220,0,0,612437.83
TEST,PERICARD_narrow,Female,40-49,0,329,0,0,409532.89
TEST,PERICARD_narrow,Female,40-49,1,102,0,0,1320944.33
TEST,PERICARD_narrow,Male,40-49,0,594,0,0,226828.83
TEST,PERICARD_narrow,Female,50-59,0,901,0,0,149540.87
TEST,PERICARD_narrow,Male,50-59,0,819,0,0,164513.21
TEST,PERICARD_narrow,Female,60-69,0,1099,0,0,122599.02
TEST,PERICARD_narrow,Male,60-69,0,1136,0,0,118605.92
TEST,PERICARD_narrow,Female,70-79,0,638,0,0,211185.46
TEST,PERICARD_narrow,Male,70-79,0,805,0,0,167374.31
TEST,PERICARD_narrow,Female,80+,0,291,0,0,463011.42
