DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,12-17,0,34,0,0,3962833
TEST,MIS_KD_narrow,Male,12-17,0,56,0,0,2406005.75
TEST,MIS_KD_narrow,Female,18-24,0,425,0,0,317026.64
TEST,MIS_KD_narrow,Male,18-24,0,69,0,0,1952700.32
TEST,MIS_KD_narrow,Male,18-24,1,13,0,0,10364332.47
TEST,MIS_KD_narrow,Female,25-29,0,503,0,0,267865.45
TEST,MIS_KD_narrow,Female,25-29,1,80,0,0,1684204.03
TEST,MIS_KD_narrow,Male,25-29,0,359,0,0,375310.09
TEST,MIS_KD_narrow,Female,30-39,0,1006,0,0,133932.73
TEST,MIS_KD_narrow,Female,30-39,1,13,0,0,10364332.47
TEST,MIS_KD_narrow,Male,30-39,1,174,0,0,774346.68
TEST,MIS_KD_narrow,Male,30-39,0,743,0,0,181340.94
TEST,MIS_KD_narrow,Female,40-49,0,2018,0,0,66767.26
TEST,MIS_KD_narrow,Female,40-49,1,154,0,0,874911.18
TEST,MIS_KD_narrow,Male,40-49,0,879,0,0,153283.64
TEST,MIS_KD_narrow,Male,40-49,1,144,0,0,935668.9
TEST,MIS_KD_narrow,Female,50-59,0,3806,0,0,35401.03
TEST,MIS_KD_narrow,Female,50-59,1,123,0,0,1095417.25
TEST,MIS_KD_narrow,Male,50-59,0,1720,0,0,78335.07
TEST,MIS_KD_narrow,Female,60-69,0,3242,0,0,41559.63
TEST,MIS_KD_narrow,Female,60-69,1,91,0,0,1480618.92
TEST,MIS_KD_narrow,Male,60-69,0,3101,0,0,43449.31
TEST,MIS_KD_narrow,Male,60-69,1,69,0,0,1952700.32
TEST,MIS_KD_narrow,Female,70-79,0,2490,0,0,54110.97
TEST,MIS_KD_narrow,Female,70-79,1,70,0,0,1924804.6
TEST,MIS_KD_narrow,Male,70-79,0,1898,0,0,70988.58
TEST,MIS_KD_narrow,Female,80+,0,9354,0,0,14404.14
TEST,MIS_KD_narrow,Female,80+,1,158,0,0,852761.53
TEST,MIS_KD_narrow,Male,80+,0,7194,0,0,18728.99
TEST,MYOCARD_narrow,Female,12-17,0,34,0,0,3962833
TEST,MYOCARD_narrow,Male,12-17,0,56,0,0,2406005.75
TEST,MYOCARD_narrow,Female,18-24,0,425,0,0,317026.64
TEST,MYOCARD_narrow,Male,18-24,0,69,0,0,1952700.32
TEST,MYOCARD_narrow,Male,18-24,1,13,0,0,10364332.47
TEST,MYOCARD_narrow,Female,25-29,0,503,0,0,267865.45
TEST,MYOCARD_narrow,Female,25-29,1,80,0,0,1684204.03
TEST,MYOCARD_narrow,Male,25-29,0,359,0,0,375310.09
TEST,MYOCARD_narrow,Female,30-39,0,1006,0,0,133932.73
TEST,MYOCARD_narrow,Female,30-39,1,13,0,0,10364332.47
TEST,MYOCARD_narrow,Male,30-39,1,174,0,0,774346.68
TEST,MYOCARD_narrow,Male,30-39,0,743,0,0,181340.94
TEST,MYOCARD_narrow,Female,40-49,0,2018,0,0,66767.26
TEST,MYOCARD_narrow,Female,40-49,1,154,0,0,874911.18
TEST,MYOCARD_narrow,Male,40-49,0,824,0,0,163514.95
TEST,MYOCARD_narrow,Male,40-49,1,144,0,0,935668.9
TEST,MYOCARD_narrow,Female,50-59,0,3806,0,0,35401.03
TEST,MYOCARD_narrow,Female,50-59,1,123,0,0,1095417.25
TEST,MYOCARD_narrow,Male,50-59,0,1720,0,0,78335.07
TEST,MYOCARD_narrow,Female,60-69,0,3242,0,0,41559.63
TEST,MYOCARD_narrow,Female,60-69,1,91,0,0,1480618.92
TEST,MYOCARD_narrow,Male,60-69,0,3101,0,0,43449.31
TEST,MYOCARD_narrow,Male,60-69,1,69,0,0,1952700.32
TEST,MYOCARD_narrow,Female,70-79,0,2490,0,0,54110.97
TEST,MYOCARD_narrow,Female,70-79,1,70,0,0,1924804.6
TEST,MYOCARD_narrow,Male,70-79,0,1898,0,0,70988.58
TEST,MYOCARD_narrow,Female,80+,0,9354,0,0,14404.14
TEST,MYOCARD_narrow,Female,80+,1,158,0,0,852761.53
TEST,MYOCARD_narrow,Male,80+,0,7194,0,0,18728.99
