DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,0-4,5533,0,0,24351.4
TEST,MIS_KD_narrow,Male,0-4,7432,0,0,18129.21
TEST,MIS_KD_narrow,Female,5-11,19782,0,0,6811.06
TEST,MIS_KD_narrow,Male,5-11,24188,0,0,5570.38
TEST,MIS_KD_narrow,Female,12-17,20437,0,0,6592.76
TEST,MIS_KD_narrow,Male,12-17,25467,0,0,5290.62
TEST,MIS_KD_narrow,Female,18-24,21644,0,0,6225.11
TEST,MIS_KD_narrow,Male,18-24,23780,0,0,5665.95
TEST,MIS_KD_narrow,Female,25-29,28397,0,0,4744.74
TEST,MIS_KD_narrow,Male,25-29,25630,0,0,5256.98
TEST,MIS_KD_narrow,Female,30-39,54805,0,0,2458.47
TEST,MIS_KD_narrow,Male,30-39,43474,0,0,3099.24
TEST,MIS_KD_narrow,Female,40-49,81312,0,0,1657.03
TEST,MIS_KD_narrow,Male,40-49,71679,0,0,1879.72
TEST,MIS_KD_narrow,Female,50-59,90483,0,0,1489.08
TEST,MIS_KD_narrow,Male,50-59,91330,0,0,1475.27
TEST,MIS_KD_narrow,Female,60-69,74194,0,0,1816
TEST,MIS_KD_narrow,Male,60-69,70330,0,0,1915.77
TEST,MIS_KD_narrow,Female,70-79,60930,0,0,2211.33
TEST,MIS_KD_narrow,Male,70-79,51255,0,0,2628.74
TEST,MIS_KD_narrow,Female,80+,60014,0,0,2245.08
TEST,MIS_KD_narrow,Male,80+,45226,0,0,2979.18
TEST,MYOCARD_narrow,Female,0-4,5533,0,0,24351.4
TEST,MYOCARD_narrow,Male,0-4,7432,0,0,18129.21
TEST,MYOCARD_narrow,Female,5-11,19782,0,0,6811.06
TEST,MYOCARD_narrow,Male,5-11,24188,0,0,5570.38
TEST,MYOCARD_narrow,Female,12-17,20437,0,0,6592.76
TEST,MYOCARD_narrow,Male,12-17,25467,0,0,5290.62
TEST,MYOCARD_narrow,Female,18-24,21644,0,0,6225.11
TEST,MYOCARD_narrow,Male,18-24,23780,0,0,5665.95
TEST,MYOCARD_narrow,Female,25-29,28397,0,0,4744.74
TEST,MYOCARD_narrow,Male,25-29,25630,0,0,5256.98
TEST,MYOCARD_narrow,Female,30-39,54805,0,0,2458.47
TEST,MYOCARD_narrow,Male,30-39,43474,0,0,3099.24
TEST,MYOCARD_narrow,Female,40-49,81312,0,0,1657.03
TEST,MYOCARD_narrow,Male,40-49,70750,1032.51,125.04,3729.78
TEST,MYOCARD_narrow,Female,50-59,90483,0,0,1489.08
TEST,MYOCARD_narrow,Male,50-59,90807,0,0,1483.77
TEST,MYOCARD_narrow,Female,60-69,74194,0,0,1816
TEST,MYOCARD_narrow,Male,60-69,70330,0,0,1915.77
TEST,MYOCARD_narrow,Female,70-79,60930,0,0,2211.33
TEST,MYOCARD_narrow,Male,70-79,51255,0,0,2628.74
TEST,MYOCARD_narrow,Female,80+,60014,0,0,2245.08
TEST,MYOCARD_narrow,Male,80+,45226,0,0,2979.18
