 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,799,67.8%,141,12%,207,17.6%,31,2.6%
Person-years of follow-up,PY,121,64.4%,21,11.2%,43,22.9%,3,1.6%
Month of first vaccination,"",1,"",1,"",2,"",4,""
January 2021,N,41,5.1%,3,2.1%,0,0%,0,0%
February 2021,N,25,3.1%,2,1.4%,23,11.1%,0,0%
March 2021,N,84,10.5%,20,14.2%,43,20.8%,0,0%
April 2021,N,164,20.5%,27,19.1%,63,30.4%,6,19.4%
May 2021,N,203,25.4%,48,34%,72,34.8%,9,29%
June 2021,N,282,35.3%,41,29.1%,6,2.9%,16,51.6%
Age in years,Min,15,"",19,"",26,"",58,""
Age in years,P25,51,"",41,"",56,"",60,""
Age in years,P50,64,"",57,"",66,"",63,""
Age in years,Mean,63,"",54,"",64,"",65,""
Age in years,P75,80,"",66,"",73,"",66,""
Age in years,Max,96,"",83,"",79,"",78,""
Age in categories,12-17,7,0.9%,0,0%,0,0%,0,0%
Age in categories,18-24,16,2%,7,5%,0,0%,0,0%
Age in categories,25-29,19,2.4%,5,3.5%,4,1.9%,0,0%
Age in categories,30-39,48,6%,22,15.6%,6,2.9%,0,0%
Age in categories,40-49,86,10.8%,18,12.8%,21,10.1%,0,0%
Age in categories,50-59,166,20.8%,35,24.8%,30,14.5%,7,22.6%
Age in categories,60-69,159,19.9%,31,22%,57,27.5%,17,54.8%
Age in categories,70-79,95,11.9%,20,14.2%,89,43%,7,22.6%
Age in categories,80+,203,25.4%,3,2.1%,0,0%,0,0%
Person years across age categories,12-17,0,0%,0,0%,0,0%,0,0%
Person years across age categories,18-24,1,0.8%,1,4.5%,0,0%,0,0%
Person years across age categories,25-29,2,1.7%,1,4.5%,1,2.3%,0,0%
Person years across age categories,30-39,6,5%,1,4.5%,1,2.3%,0,0%
Person years across age categories,40-49,11,9.1%,3,13.6%,5,11.6%,0,0%
Person years across age categories,50-59,17,14%,5,22.7%,8,18.6%,1,33.3%
Person years across age categories,60-69,21,17.4%,6,27.3%,8,18.6%,1,33.3%
Person years across age categories,70-79,13,10.7%,4,18.2%,20,46.5%,1,33.3%
Person years across age categories,80+,50,41.3%,1,4.5%,0,0%,0,0%
Person years across sex,Female,429,53.7%,74,52.5%,115,55.6%,18,58.1%
Person years across sex,Male,370,46.3%,67,47.5%,92,44.4%,13,41.9%
COVID-19 diagnosis/test in past year,"N, %",19,2.4%,1,0.7%,4,1.9%,2,6.5%
At risk population at date of vaccination,CV,242,30.3%,31,22%,34,16.4%,3,9.7%
At risk population at date of vaccination,Cancer,38,27%,13,6.3%,4,12.9%,1,0.1%
At risk population at date of vaccination,CLD,38,18.4%,11,35.5%,11,1.4%,2,1.4%
At risk population at date of vaccination,HIV,1,3.2%,2,0.3%,0,0%,0,0%
At risk population at date of vaccination,CKD,1,0.1%,2,1.4%,0,0%,0,0%
At risk population at date of vaccination,Diabetes,90,63.8%,17,8.2%,9,29%,1,0.1%
At risk population at date of vaccination,Obesity,2,1%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sicklecell,1,3.2%,0,0%,0,0%,0,0%
At risk population at date of vaccination,immunosuppressants,55,6.9%,10,7.1%,9,4.3%,0,0%
