DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,AstraZeneca,2020,50,0,0,2135,0
TEST,AstraZeneca,2020,50,0,0,2135,0
TEST,J&J,2020,50,0,0,2135,0
TEST,J&J,2020,50,0,0,2135,0
TEST,Moderna,2020,50,0,0,2135,0
TEST,Moderna,2020,50,0,0,2135,0
TEST,Pfizer,2020,50,0,0,2135,0
TEST,Pfizer,2020,50,0,0,2135,0
TEST,UKN,2020,50,0,0,2135,0
TEST,UKN,2020,50,0,0,2135,0
TEST,AstraZeneca,2020,51,0,0,2127,0
TEST,AstraZeneca,2020,51,0,0,2127,0
TEST,J&J,2020,51,0,0,2127,0
TEST,J&J,2020,51,0,0,2127,0
TEST,Moderna,2020,51,0,0,2127,0
TEST,Moderna,2020,51,0,0,2127,0
TEST,Pfizer,2020,51,0,0,2127,0
TEST,Pfizer,2020,51,0,0,2127,0
TEST,UKN,2020,51,0,0,2127,0
TEST,UKN,2020,51,0,0,2127,0
TEST,AstraZeneca,2020,52,0,0,2121,0
TEST,AstraZeneca,2020,52,0,0,2121,0
TEST,J&J,2020,52,0,0,2121,0
TEST,J&J,2020,52,0,0,2121,0
TEST,Moderna,2020,52,0,0,2121,0
TEST,Moderna,2020,52,0,0,2121,0
TEST,Pfizer,2020,52,2,2,2121,0.1
TEST,Pfizer,2020,52,2,0,2121,0
TEST,UKN,2020,52,0,0,2121,0
TEST,UKN,2020,52,0,0,2121,0
TEST,AstraZeneca,2021,1,0,0,2107,0
TEST,AstraZeneca,2021,1,0,0,2107,0
TEST,J&J,2021,1,0,0,2107,0
TEST,J&J,2021,1,0,0,2107,0
TEST,Moderna,2021,1,0,0,2107,0
TEST,Moderna,2021,1,0,0,2107,0
TEST,Pfizer,2021,1,22,22,2107,1
TEST,Pfizer,2021,1,22,0,2107,0
TEST,UKN,2021,1,0,0,2107,0
TEST,UKN,2021,1,0,0,2107,0
TEST,AstraZeneca,2021,2,0,0,2100,0
TEST,AstraZeneca,2021,2,0,0,2100,0
TEST,J&J,2021,2,0,0,2100,0
TEST,J&J,2021,2,0,0,2100,0
TEST,Moderna,2021,2,0,0,2100,0
TEST,Moderna,2021,2,0,0,2100,0
TEST,Pfizer,2021,2,34,34,2100,1.6
TEST,Pfizer,2021,2,34,0,2100,0
TEST,UKN,2021,2,0,0,2100,0
TEST,UKN,2021,2,0,0,2100,0
TEST,AstraZeneca,2021,3,0,0,2092,0
TEST,AstraZeneca,2021,3,0,0,2092,0
TEST,J&J,2021,3,0,0,2092,0
TEST,J&J,2021,3,0,0,2092,0
TEST,Moderna,2021,3,3,3,2092,0.1
TEST,Moderna,2021,3,3,0,2092,0
TEST,Pfizer,2021,3,42,41,2092,2
TEST,Pfizer,2021,3,42,1,2092,0
TEST,UKN,2021,3,0,0,2092,0
TEST,UKN,2021,3,0,0,2092,0
TEST,AstraZeneca,2021,4,0,0,2082,0
TEST,AstraZeneca,2021,4,0,0,2082,0
TEST,J&J,2021,4,0,0,2082,0
TEST,J&J,2021,4,0,0,2082,0
TEST,Moderna,2021,4,3,3,2082,0.1
TEST,Moderna,2021,4,3,0,2082,0
TEST,Pfizer,2021,4,55,39,2082,1.9
TEST,Pfizer,2021,4,55,16,2082,0.8
TEST,UKN,2021,4,0,0,2082,0
TEST,UKN,2021,4,0,0,2082,0
TEST,AstraZeneca,2021,5,0,0,2079,0
TEST,AstraZeneca,2021,5,0,0,2079,0
TEST,J&J,2021,5,0,0,2079,0
TEST,J&J,2021,5,0,0,2079,0
TEST,Moderna,2021,5,3,3,2079,0.1
TEST,Moderna,2021,5,3,0,2079,0
TEST,Pfizer,2021,5,69,42,2079,2
TEST,Pfizer,2021,5,69,27,2079,1.3
TEST,UKN,2021,5,0,0,2079,0
TEST,UKN,2021,5,0,0,2079,0
TEST,AstraZeneca,2021,6,4,4,2070,0.2
TEST,AstraZeneca,2021,6,4,0,2070,0
