DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,AKI_narrow,0-59,Female,0,0,0,8978.83
TEST,AKI_narrow,0-59,Male,0,0,0,11155.52
TEST,AKI_narrow,12-17,Male,0,0,0,184066.01
TEST,AKI_narrow,18-24,Male,0,0,0,122710.68
TEST,AKI_narrow,25-29,Female,0,0,0,368132.03
TEST,AKI_narrow,25-29,Male,0,0,0,368132.03
TEST,AKI_narrow,30-39,Female,0,0,0,61355.34
TEST,AKI_narrow,30-39,Male,0,0,0,368132.03
TEST,AKI_narrow,40-49,Female,0,0,0,33466.55
TEST,AKI_narrow,40-49,Male,0,0,0,40903.56
TEST,AKI_narrow,50-59,Female,0,0,0,16005.74
TEST,AKI_narrow,50-59,Male,0,0,0,21654.83
TEST,AKI_narrow,60+,Female,1,552.42,13.99,3077.9
TEST,AKI_narrow,60+,Male,2,1254.21,151.89,4530.62
TEST,AKI_narrow,60-69,Female,0,0,0,7669.42
TEST,AKI_narrow,60-69,Male,1,1809.06,45.8,10079.46
TEST,AKI_narrow,70-79,Female,0,0,0,6573.79
TEST,AKI_narrow,70-79,Male,1,1782.92,45.14,9933.82
TEST,AKI_narrow,80+,Female,1,1301.95,32.96,7254.02
TEST,AKI_narrow,80+,Male,0,0,0,7669.42
TEST,ARD_narrow,0-59,Female,0,0,0,8978.83
TEST,ARD_narrow,0-59,Male,0,0,0,11155.52
TEST,ARD_narrow,12-17,Male,0,0,0,184066.01
TEST,ARD_narrow,18-24,Male,0,0,0,122710.68
TEST,ARD_narrow,25-29,Female,0,0,0,368132.03
TEST,ARD_narrow,25-29,Male,0,0,0,368132.03
TEST,ARD_narrow,30-39,Female,0,0,0,61355.34
TEST,ARD_narrow,30-39,Male,0,0,0,368132.03
TEST,ARD_narrow,40-49,Female,0,0,0,33466.55
TEST,ARD_narrow,40-49,Male,0,0,0,40903.56
TEST,ARD_narrow,50-59,Female,0,0,0,16005.74
TEST,ARD_narrow,50-59,Male,0,0,0,21654.83
TEST,ARD_narrow,60+,Female,0,0,0,2033.88
TEST,ARD_narrow,60+,Male,0,0,0,2300.83
TEST,ARD_narrow,60-69,Female,0,0,0,7669.42
TEST,ARD_narrow,60-69,Male,0,0,0,6573.79
TEST,ARD_narrow,70-79,Female,0,0,0,6573.79
TEST,ARD_narrow,70-79,Male,0,0,0,6573.79
TEST,ARD_narrow,80+,Female,0,0,0,4780.94
TEST,ARD_narrow,80+,Male,0,0,0,7669.42
TEST,ARR_narrow,0-59,Female,0,0,0,9203.3
TEST,ARR_narrow,0-59,Male,0,0,0,11504.13
TEST,ARR_narrow,12-17,Male,0,0,0,184066.01
TEST,ARR_narrow,18-24,Male,0,0,0,122710.68
TEST,ARR_narrow,25-29,Female,0,0,0,368132.03
TEST,ARR_narrow,25-29,Male,0,0,0,368132.03
TEST,ARR_narrow,30-39,Female,0,0,0,61355.34
TEST,ARR_narrow,30-39,Male,0,0,0,368132.03
TEST,ARR_narrow,40-49,Female,0,0,0,33466.55
TEST,ARR_narrow,40-49,Male,0,0,0,46016.5
TEST,ARR_narrow,50-59,Female,0,0,0,16733.27
TEST,ARR_narrow,50-59,Male,0,0,0,21654.83
TEST,ARR_narrow,60+,Female,4,2316.25,631.1,5930.53
TEST,ARR_narrow,60+,Male,7,4635.32,1863.64,9550.53
TEST,ARR_narrow,60-69,Female,0,0,0,7669.42
TEST,ARR_narrow,60-69,Male,1,1852.65,46.91,10322.31
TEST,ARR_narrow,70-79,Female,2,3853.46,466.67,13920.01
TEST,ARR_narrow,70-79,Male,3,5786.29,1193.27,16910
TEST,ARR_narrow,80+,Female,2,2751.31,333.2,9938.67
TEST,ARR_narrow,80+,Male,3,6638.5,1369.02,19400.5
TEST,ArterialNoTP,0-59,Female,0,0,0,8978.83
TEST,ArterialNoTP,0-59,Male,0,0,0,11155.52
TEST,ArterialNoTP,12-17,Male,0,0,0,184066.01
TEST,ArterialNoTP,18-24,Male,0,0,0,122710.68
TEST,ArterialNoTP,25-29,Female,0,0,0,368132.03
TEST,ArterialNoTP,25-29,Male,0,0,0,368132.03
TEST,ArterialNoTP,30-39,Female,0,0,0,61355.34
TEST,ArterialNoTP,30-39,Male,0,0,0,368132.03
TEST,ArterialNoTP,40-49,Female,0,0,0,33466.55
TEST,ArterialNoTP,40-49,Male,0,0,0,40903.56
TEST,ArterialNoTP,50-59,Female,0,0,0,16005.74
TEST,ArterialNoTP,50-59,Male,0,0,0,21654.83
TEST,ArterialNoTP,60+,Female,2,1120.74,135.73,4048.51
TEST,ArterialNoTP,60+,Male,1,634.22,16.06,3533.67
TEST,ArterialNoTP,60-69,Female,0,0,0,7669.42
TEST,ArterialNoTP,60-69,Male,1,1836.17,46.49,10230.46
TEST,ArterialNoTP,70-79,Female,1,1824.15,46.18,10163.53
TEST,ArterialNoTP,70-79,Male,0,0,0,6693.31
TEST,ArterialNoTP,80+,Female,1,1323.9,33.52,7376.28
TEST,ArterialNoTP,80+,Male,0,0,0,7669.42
TEST,ArterialVTENoTP,0-59,Female,0,0,0,8978.83
TEST,ArterialVTENoTP,0-59,Male,0,0,0,11155.52
TEST,ArterialVTENoTP,12-17,Male,0,0,0,184066.01
TEST,ArterialVTENoTP,18-24,Male,0,0,0,122710.68
TEST,ArterialVTENoTP,25-29,Female,0,0,0,368132.03
TEST,ArterialVTENoTP,25-29,Male,0,0,0,368132.03
TEST,ArterialVTENoTP,30-39,Female,0,0,0,61355.34
TEST,ArterialVTENoTP,30-39,Male,0,0,0,368132.03
TEST,ArterialVTENoTP,40-49,Female,0,0,0,33466.55
TEST,ArterialVTENoTP,40-49,Male,0,0,0,40903.56
TEST,ArterialVTENoTP,50-59,Female,0,0,0,16005.74
TEST,ArterialVTENoTP,50-59,Male,0,0,0,21654.83
TEST,ArterialVTENoTP,60+,Female,4,2276.16,620.18,5827.88
TEST,ArterialVTENoTP,60+,Male,2,1270.46,153.86,4589.33
TEST,ArterialVTENoTP,60-69,Female,0,0,0,7832.6
TEST,ArterialVTENoTP,60-69,Male,2,3689.21,446.78,13326.69
TEST,ArterialVTENoTP,70-79,Female,3,5544.73,1143.46,16204.06
TEST,ArterialVTENoTP,70-79,Male,0,0,0,6693.31
TEST,ArterialVTENoTP,80+,Female,1,1341.7,33.97,7475.45
TEST,ArterialVTENoTP,80+,Male,0,0,0,7669.42
TEST,CAD_narrow,0-59,Female,0,0,0,8978.83
TEST,CAD_narrow,0-59,Male,0,0,0,11155.52
TEST,CAD_narrow,12-17,Male,0,0,0,184066.01
TEST,CAD_narrow,18-24,Male,0,0,0,122710.68
TEST,CAD_narrow,25-29,Female,0,0,0,368132.03
TEST,CAD_narrow,25-29,Male,0,0,0,368132.03
TEST,CAD_narrow,30-39,Female,0,0,0,61355.34
TEST,CAD_narrow,30-39,Male,0,0,0,368132.03
TEST,CAD_narrow,40-49,Female,0,0,0,33466.55
TEST,CAD_narrow,40-49,Male,0,0,0,40903.56
TEST,CAD_narrow,50-59,Female,0,0,0,16005.74
TEST,CAD_narrow,50-59,Male,0,0,0,21654.83
TEST,CAD_narrow,60+,Female,2,1108.3,134.22,4003.55
TEST,CAD_narrow,60+,Male,1,634.22,16.06,3533.67
TEST,CAD_narrow,60-69,Female,0,0,0,7669.42
TEST,CAD_narrow,60-69,Male,1,1836.17,46.49,10230.46
TEST,CAD_narrow,70-79,Female,1,1791.41,45.35,9981.08
TEST,CAD_narrow,70-79,Male,0,0,0,6693.31
TEST,CAD_narrow,80+,Female,1,1306.56,33.08,7279.71
TEST,CAD_narrow,80+,Male,0,0,0,7669.42
TEST,CHILBLAIN_narrow,0-59,Female,0,0,0,8978.83
TEST,CHILBLAIN_narrow,0-59,Male,0,0,0,11155.52
TEST,CHILBLAIN_narrow,12-17,Male,0,0,0,184066.01
TEST,CHILBLAIN_narrow,18-24,Male,0,0,0,122710.68
TEST,CHILBLAIN_narrow,25-29,Female,0,0,0,368132.03
TEST,CHILBLAIN_narrow,25-29,Male,0,0,0,368132.03
TEST,CHILBLAIN_narrow,30-39,Female,0,0,0,61355.34
TEST,CHILBLAIN_narrow,30-39,Male,0,0,0,368132.03
TEST,CHILBLAIN_narrow,40-49,Female,0,0,0,33466.55
TEST,CHILBLAIN_narrow,40-49,Male,0,0,0,40903.56
TEST,CHILBLAIN_narrow,50-59,Female,0,0,0,16005.74
TEST,CHILBLAIN_narrow,50-59,Male,0,0,0,21654.83
TEST,CHILBLAIN_narrow,60+,Female,0,0,0,2033.88
TEST,CHILBLAIN_narrow,60+,Male,0,0,0,2300.83
TEST,CHILBLAIN_narrow,60-69,Female,0,0,0,7669.42
TEST,CHILBLAIN_narrow,60-69,Male,0,0,0,6573.79
TEST,CHILBLAIN_narrow,70-79,Female,0,0,0,6573.79
TEST,CHILBLAIN_narrow,70-79,Male,0,0,0,6573.79
TEST,CHILBLAIN_narrow,80+,Female,0,0,0,4780.94
TEST,CHILBLAIN_narrow,80+,Male,0,0,0,7669.42
TEST,DM1_narrow,0-59,Female,0,0,0,8978.83
TEST,DM1_narrow,0-59,Male,0,0,0,11155.52
TEST,DM1_narrow,12-17,Male,0,0,0,184066.01
TEST,DM1_narrow,18-24,Male,0,0,0,122710.68
TEST,DM1_narrow,25-29,Female,0,0,0,368132.03
TEST,DM1_narrow,25-29,Male,0,0,0,368132.03
TEST,DM1_narrow,30-39,Female,0,0,0,61355.34
TEST,DM1_narrow,30-39,Male,0,0,0,368132.03
TEST,DM1_narrow,40-49,Female,0,0,0,33466.55
TEST,DM1_narrow,40-49,Male,0,0,0,40903.56
TEST,DM1_narrow,50-59,Female,0,0,0,16005.74
TEST,DM1_narrow,50-59,Male,0,0,0,21654.83
TEST,DM1_narrow,60+,Female,0,0,0,2033.88
TEST,DM1_narrow,60+,Male,0,0,0,2300.83
TEST,DM1_narrow,60-69,Female,0,0,0,7669.42
TEST,DM1_narrow,60-69,Male,0,0,0,6573.79
TEST,DM1_narrow,70-79,Female,0,0,0,6573.79
TEST,DM1_narrow,70-79,Male,0,0,0,6573.79
TEST,DM1_narrow,80+,Female,0,0,0,4780.94
TEST,DM1_narrow,80+,Male,0,0,0,7669.42
TEST,GENCONV_narrow,0-59,Female,0,0,0,8978.83
TEST,GENCONV_narrow,0-59,Male,0,0,0,11155.52
TEST,GENCONV_narrow,12-17,Male,0,0,0,184066.01
TEST,GENCONV_narrow,18-24,Male,0,0,0,122710.68
TEST,GENCONV_narrow,25-29,Female,0,0,0,368132.03
TEST,GENCONV_narrow,25-29,Male,0,0,0,368132.03
TEST,GENCONV_narrow,30-39,Female,0,0,0,61355.34
TEST,GENCONV_narrow,30-39,Male,0,0,0,368132.03
TEST,GENCONV_narrow,40-49,Female,0,0,0,33466.55
TEST,GENCONV_narrow,40-49,Male,0,0,0,40903.56
TEST,GENCONV_narrow,50-59,Female,0,0,0,16005.74
TEST,GENCONV_narrow,50-59,Male,0,0,0,21654.83
TEST,GENCONV_narrow,60+,Female,1,551.6,13.97,3073.34
TEST,GENCONV_narrow,60+,Male,0,0,0,2300.83
TEST,GENCONV_narrow,60-69,Female,0,0,0,7669.42
TEST,GENCONV_narrow,60-69,Male,0,0,0,6573.79
TEST,GENCONV_narrow,70-79,Female,0,0,0,6573.79
TEST,GENCONV_narrow,70-79,Male,0,0,0,6573.79
TEST,GENCONV_narrow,80+,Female,1,1297.42,32.85,7228.77
TEST,GENCONV_narrow,80+,Male,0,0,0,7669.42
