DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,AKI_narrow,12-17,Male,732,0,0,184066.01
TEST,AKI_narrow,18-24,Male,1098,0,0,122710.68
TEST,AKI_narrow,25-29,Female,366,0,0,368132.03
TEST,AKI_narrow,25-29,Male,366,0,0,368132.03
TEST,AKI_narrow,30-39,Female,2196,0,0,61355.34
TEST,AKI_narrow,30-39,Male,366,0,0,368132.03
TEST,AKI_narrow,40-49,Female,4026,0,0,33466.55
TEST,AKI_narrow,40-49,Male,3294,0,0,40903.56
TEST,AKI_narrow,50-59,Female,8418,0,0,16005.74
TEST,AKI_narrow,50-59,Male,6222,0,0,21654.83
TEST,AKI_narrow,60-69,Female,17568,0,0,7669.42
TEST,AKI_narrow,60-69,Male,20190,1809.06,45.8,10079.46
TEST,AKI_narrow,70-79,Female,20496,0,0,6573.79
TEST,AKI_narrow,70-79,Male,20486,1782.92,45.14,9933.82
TEST,AKI_narrow,80+,Female,28054,1301.95,32.96,7254.02
TEST,AKI_narrow,80+,Male,17568,0,0,7669.42
TEST,AKI_narrow,0-59,Female,15006,0,0,8978.83
TEST,AKI_narrow,0-59,Male,12078,0,0,11155.52
TEST,AKI_narrow,60+,Female,66118,552.42,13.99,3077.9
TEST,AKI_narrow,60+,Male,58244,1254.21,151.89,4530.62
TEST,ARD_narrow,12-17,Male,732,0,0,184066.01
TEST,ARD_narrow,18-24,Male,1098,0,0,122710.68
TEST,ARD_narrow,25-29,Female,366,0,0,368132.03
TEST,ARD_narrow,25-29,Male,366,0,0,368132.03
TEST,ARD_narrow,30-39,Female,2196,0,0,61355.34
TEST,ARD_narrow,30-39,Male,366,0,0,368132.03
TEST,ARD_narrow,40-49,Female,4026,0,0,33466.55
TEST,ARD_narrow,40-49,Male,3294,0,0,40903.56
TEST,ARD_narrow,50-59,Female,8418,0,0,16005.74
TEST,ARD_narrow,50-59,Male,6222,0,0,21654.83
TEST,ARD_narrow,60-69,Female,17568,0,0,7669.42
TEST,ARD_narrow,60-69,Male,20496,0,0,6573.79
TEST,ARD_narrow,70-79,Female,20496,0,0,6573.79
TEST,ARD_narrow,70-79,Male,20496,0,0,6573.79
TEST,ARD_narrow,80+,Female,28182,0,0,4780.94
TEST,ARD_narrow,80+,Male,17568,0,0,7669.42
TEST,ARD_narrow,0-59,Female,15006,0,0,8978.83
TEST,ARD_narrow,0-59,Male,12078,0,0,11155.52
TEST,ARD_narrow,60+,Female,66246,0,0,2033.88
TEST,ARD_narrow,60+,Male,58560,0,0,2300.83
TEST,ARR_narrow,12-17,Male,732,0,0,184066.01
TEST,ARR_narrow,18-24,Male,1098,0,0,122710.68
TEST,ARR_narrow,25-29,Female,366,0,0,368132.03
TEST,ARR_narrow,25-29,Male,366,0,0,368132.03
TEST,ARR_narrow,30-39,Female,2196,0,0,61355.34
TEST,ARR_narrow,30-39,Male,366,0,0,368132.03
TEST,ARR_narrow,40-49,Female,4026,0,0,33466.55
TEST,ARR_narrow,40-49,Male,2928,0,0,46016.5
TEST,ARR_narrow,50-59,Female,8052,0,0,16733.27
TEST,ARR_narrow,50-59,Male,6222,0,0,21654.83
TEST,ARR_narrow,60-69,Female,17568,0,0,7669.42
TEST,ARR_narrow,60-69,Male,19715,1852.65,46.91,10322.31
TEST,ARR_narrow,70-79,Female,18957,3853.46,466.67,13920.01
TEST,ARR_narrow,70-79,Male,18937,5786.29,1193.27,16910
TEST,ARR_narrow,80+,Female,26551,2751.31,333.2,9938.67
TEST,ARR_narrow,80+,Male,16506,6638.5,1369.02,19400.5
