DAP,AESI,Age in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,12-17,0,0,0,28317.85,total
TEST,DM1_narrow,18-24,0,0,0,14725.28,total
TEST,DM1_narrow,25-29,0,0,0,14158.92,total
TEST,DM1_narrow,30-39,0,0,0,4659.9,total
TEST,DM1_narrow,40-49,0,0,0,2538.84,total
TEST,DM1_narrow,50-59,0,0,0,1484.4,total
TEST,DM1_narrow,60-69,0,0,0,1383.95,total
TEST,DM1_narrow,70-79,0,0,0,1831.5,total
TEST,DM1_narrow,80+,0,0,0,2011.65,total
TEST,DM1_narrow,0-59,0,0,0,686.81,total
TEST,DM1_narrow,60+,0,0,0,566.36,total
TEST,HF_narrow,12-17,0,0,0,28317.85,total
TEST,HF_narrow,18-24,0,0,0,14725.28,total
TEST,HF_narrow,25-29,0,0,0,14158.92,total
TEST,HF_narrow,30-39,0,0,0,4659.9,total
TEST,HF_narrow,40-49,0,0,0,2538.84,total
TEST,HF_narrow,50-59,0,0,0,1484.4,total
TEST,HF_narrow,60-69,0,0,0,1383.95,total
TEST,HF_narrow,70-79,1,497.27,12.59,2770.61,total
TEST,HF_narrow,80+,3,1706.91,352.01,4988.31,total
TEST,HF_narrow,0-59,0,0,0,686.81,total
TEST,HF_narrow,60+,4,621.7,169.39,1591.79,total
TEST,CAD_narrow,12-17,0,0,0,28317.85,total
TEST,CAD_narrow,18-24,0,0,0,14725.28,total
TEST,CAD_narrow,25-29,0,0,0,14158.92,total
TEST,CAD_narrow,30-39,0,0,0,4659.9,total
TEST,CAD_narrow,40-49,0,0,0,2538.84,total
TEST,CAD_narrow,50-59,0,0,0,1484.4,total
TEST,CAD_narrow,60-69,2,755.8,91.53,2730.23,total
TEST,CAD_narrow,70-79,2,1002.03,121.35,3619.68,total
TEST,CAD_narrow,80+,1,547.18,13.85,3048.71,total
TEST,CAD_narrow,0-59,0,0,0,686.81,total
TEST,CAD_narrow,60+,5,772.84,250.94,1803.54,total
TEST,ARR_narrow,12-17,0,0,0,28317.85,total
TEST,ARR_narrow,18-24,0,0,0,14725.28,total
TEST,ARR_narrow,25-29,0,0,0,14158.92,total
TEST,ARR_narrow,30-39,0,0,0,4659.9,total
TEST,ARR_narrow,40-49,0,0,0,2556.47,total
TEST,ARR_narrow,50-59,0,0,0,1496.47,total
TEST,ARR_narrow,60-69,2,757.14,91.69,2735.06,total
TEST,ARR_narrow,70-79,6,3139.01,1151.96,6832.3,total
TEST,ARR_narrow,80+,6,3418.82,1254.65,7441.34,total
TEST,ARR_narrow,0-59,0,0,0,690.68,total
TEST,ARR_narrow,60+,14,2219.43,1213.38,3723.83,total
TEST,MYOCARD_narrow,12-17,0,0,0,28317.85,total
TEST,MYOCARD_narrow,18-24,0,0,0,14725.28,total
TEST,MYOCARD_narrow,25-29,0,0,0,14158.92,total
TEST,MYOCARD_narrow,30-39,1,1271.94,32.2,7086.79,total
TEST,MYOCARD_narrow,40-49,0,0,0,2538.84,total
TEST,MYOCARD_narrow,50-59,0,0,0,1490.41,total
TEST,MYOCARD_narrow,60-69,0,0,0,1383.95,total
TEST,MYOCARD_narrow,70-79,0,0,0,1831.5,total
TEST,MYOCARD_narrow,80+,0,0,0,2011.65,total
TEST,MYOCARD_narrow,0-59,1,186.72,4.73,1040.35,total
TEST,MYOCARD_narrow,60+,0,0,0,566.36,total
TEST,PERICARD_narrow,12-17,0,0,0,28317.85,total
TEST,PERICARD_narrow,18-24,0,0,0,14725.28,total
TEST,PERICARD_narrow,25-29,0,0,0,14158.92,total
TEST,PERICARD_narrow,30-39,1,1271.94,32.2,7086.79,total
TEST,PERICARD_narrow,40-49,0,0,0,2538.84,total
TEST,PERICARD_narrow,50-59,0,0,0,1490.41,total
TEST,PERICARD_narrow,60-69,0,0,0,1383.95,total
TEST,PERICARD_narrow,70-79,0,0,0,1831.5,total
TEST,PERICARD_narrow,80+,0,0,0,2011.65,total
TEST,PERICARD_narrow,0-59,1,186.72,4.73,1040.35,total
TEST,PERICARD_narrow,60+,0,0,0,566.36,total
TEST,AKI_narrow,12-17,0,0,0,28317.85,total
TEST,AKI_narrow,18-24,0,0,0,14725.28,total
TEST,AKI_narrow,25-29,0,0,0,14158.92,total
TEST,AKI_narrow,30-39,0,0,0,4659.9,total
TEST,AKI_narrow,40-49,0,0,0,2538.84,total
TEST,AKI_narrow,50-59,0,0,0,1484.4,total
TEST,AKI_narrow,60-69,1,376.35,9.53,2096.9,total
TEST,AKI_narrow,70-79,1,496.56,12.57,2766.66,total
TEST,AKI_narrow,80+,1,546.37,13.83,3044.19,total
TEST,AKI_narrow,0-59,0,0,0,686.81,total
TEST,AKI_narrow,60+,3,461.45,95.16,1348.56,total
TEST,GENCONV_narrow,12-17,0,0,0,28317.85,total
TEST,GENCONV_narrow,18-24,0,0,0,14725.28,total
TEST,GENCONV_narrow,25-29,0,0,0,14158.92,total
TEST,GENCONV_narrow,30-39,0,0,0,4659.9,total
TEST,GENCONV_narrow,40-49,0,0,0,2538.84,total
TEST,GENCONV_narrow,50-59,0,0,0,1484.4,total
TEST,GENCONV_narrow,60-69,0,0,0,1383.95,total
TEST,GENCONV_narrow,70-79,0,0,0,1831.5,total
TEST,GENCONV_narrow,80+,2,1091.63,132.2,3943.36,total
TEST,GENCONV_narrow,0-59,0,0,0,686.81,total
TEST,GENCONV_narrow,60+,2,307.14,37.2,1109.49,total
TEST,MENINGOENC_narrow,12-17,0,0,0,28317.85,total
TEST,MENINGOENC_narrow,18-24,0,0,0,14725.28,total
TEST,MENINGOENC_narrow,25-29,0,0,0,14158.92,total
TEST,MENINGOENC_narrow,30-39,0,0,0,4659.9,total
TEST,MENINGOENC_narrow,40-49,0,0,0,2538.84,total
TEST,MENINGOENC_narrow,50-59,0,0,0,1484.4,total
TEST,MENINGOENC_narrow,60-69,0,0,0,1383.95,total
TEST,MENINGOENC_narrow,70-79,0,0,0,1831.5,total
TEST,MENINGOENC_narrow,80+,0,0,0,2011.65,total
TEST,MENINGOENC_narrow,0-59,0,0,0,686.81,total
TEST,MENINGOENC_narrow,60+,0,0,0,566.36,total
TEST,ARD_narrow,12-17,0,0,0,28317.85,total
TEST,ARD_narrow,18-24,0,0,0,14725.28,total
TEST,ARD_narrow,25-29,0,0,0,14158.92,total
TEST,ARD_narrow,30-39,0,0,0,4659.9,total
TEST,ARD_narrow,40-49,0,0,0,2538.84,total
TEST,ARD_narrow,50-59,0,0,0,1484.4,total
TEST,ARD_narrow,60-69,0,0,0,1383.95,total
TEST,ARD_narrow,70-79,0,0,0,1831.5,total
TEST,ARD_narrow,80+,0,0,0,2011.65,total
TEST,ARD_narrow,0-59,0,0,0,686.81,total
TEST,ARD_narrow,60+,0,0,0,566.36,total
TEST,CHILBLAIN_narrow,12-17,0,0,0,28317.85,total
TEST,CHILBLAIN_narrow,18-24,0,0,0,14725.28,total
TEST,CHILBLAIN_narrow,25-29,0,0,0,14158.92,total
TEST,CHILBLAIN_narrow,30-39,0,0,0,4659.9,total
TEST,CHILBLAIN_narrow,40-49,0,0,0,2538.84,total
TEST,CHILBLAIN_narrow,50-59,0,0,0,1484.4,total
TEST,CHILBLAIN_narrow,60-69,0,0,0,1383.95,total
TEST,CHILBLAIN_narrow,70-79,0,0,0,1831.5,total
TEST,CHILBLAIN_narrow,80+,0,0,0,2011.65,total
TEST,CHILBLAIN_narrow,0-59,0,0,0,686.81,total
TEST,CHILBLAIN_narrow,60+,0,0,0,566.36,total
TEST,Hemostroke_narrow,12-17,0,0,0,28317.85,total
TEST,Hemostroke_narrow,18-24,0,0,0,14725.28,total
TEST,Hemostroke_narrow,25-29,0,0,0,14158.92,total
TEST,Hemostroke_narrow,30-39,0,0,0,4659.9,total
TEST,Hemostroke_narrow,40-49,0,0,0,2538.84,total
TEST,Hemostroke_narrow,50-59,0,0,0,1484.4,total
TEST,Hemostroke_narrow,60-69,0,0,0,1383.95,total
TEST,Hemostroke_narrow,70-79,0,0,0,1831.5,total
TEST,Hemostroke_narrow,80+,0,0,0,2011.65,total
TEST,Hemostroke_narrow,0-59,0,0,0,686.81,total
TEST,Hemostroke_narrow,60+,0,0,0,566.36,total
TEST,Ischstroke_narrow,12-17,0,0,0,28317.85,total
TEST,Ischstroke_narrow,18-24,0,0,0,14725.28,total
TEST,Ischstroke_narrow,25-29,0,0,0,14158.92,total
TEST,Ischstroke_narrow,30-39,0,0,0,4659.9,total
TEST,Ischstroke_narrow,40-49,0,0,0,2538.84,total
TEST,Ischstroke_narrow,50-59,2,810.16,98.11,2926.59,total
TEST,Ischstroke_narrow,60-69,0,0,0,1383.95,total
TEST,Ischstroke_narrow,70-79,1,499,12.63,2780.23,total
TEST,Ischstroke_narrow,80+,0,0,0,2022.7,total
TEST,Ischstroke_narrow,0-59,2,373.51,45.23,1349.26,total
TEST,Ischstroke_narrow,60+,1,154.01,3.9,858.07,total
TEST,VTE_narrow,12-17,0,0,0,28317.85,total
TEST,VTE_narrow,18-24,0,0,0,14725.28,total
TEST,VTE_narrow,25-29,0,0,0,14158.92,total
TEST,VTE_narrow,30-39,0,0,0,4659.9,total
TEST,VTE_narrow,40-49,0,0,0,2538.84,total
TEST,VTE_narrow,50-59,0,0,0,1484.4,total
TEST,VTE_narrow,60-69,1,376.94,9.54,2100.17,total
TEST,VTE_narrow,70-79,2,996.52,120.68,3599.78,total
TEST,VTE_narrow,80+,0,0,0,2033.88,total
TEST,VTE_narrow,0-59,0,0,0,686.81,total
TEST,VTE_narrow,60+,3,463.42,95.57,1354.3,total
TEST,MIS_KD_narrow,12-17,0,0,0,28317.85,total
TEST,MIS_KD_narrow,18-24,0,0,0,14725.28,total
TEST,MIS_KD_narrow,25-29,0,0,0,14158.92,total
TEST,MIS_KD_narrow,30-39,0,0,0,4659.9,total
TEST,MIS_KD_narrow,40-49,0,0,0,2538.84,total
TEST,MIS_KD_narrow,50-59,0,0,0,1484.4,total
TEST,MIS_KD_narrow,60-69,0,0,0,1383.95,total
TEST,MIS_KD_narrow,70-79,0,0,0,1831.5,total
TEST,MIS_KD_narrow,80+,0,0,0,2011.65,total
TEST,MIS_KD_narrow,0-59,0,0,0,686.81,total
TEST,MIS_KD_narrow,60+,0,0,0,566.36,total
TEST,ArterialNoTP,12-17,0,0,0,28317.85,total
TEST,ArterialNoTP,18-24,0,0,0,14725.28,total
TEST,ArterialNoTP,25-29,0,0,0,14158.92,total
TEST,ArterialNoTP,30-39,0,0,0,4659.9,total
TEST,ArterialNoTP,40-49,0,0,0,2538.84,total
TEST,ArterialNoTP,50-59,2,810.16,98.11,2926.59,total
TEST,ArterialNoTP,60-69,2,755.8,91.53,2730.23,total
TEST,ArterialNoTP,70-79,3,1510.69,311.54,4414.88,total
TEST,ArterialNoTP,80+,1,550.2,13.93,3065.52,total
TEST,ArterialNoTP,0-59,2,373.51,45.23,1349.26,total
TEST,ArterialNoTP,60+,6,930.3,341.4,2024.86,total
TEST,VTENoTP,12-17,0,0,0,28317.85,total
TEST,VTENoTP,18-24,0,0,0,14725.28,total
TEST,VTENoTP,25-29,0,0,0,14158.92,total
TEST,VTENoTP,30-39,0,0,0,4659.9,total
TEST,VTENoTP,40-49,0,0,0,2538.84,total
TEST,VTENoTP,50-59,0,0,0,1484.4,total
TEST,VTENoTP,60-69,1,376.94,9.54,2100.17,total
TEST,VTENoTP,70-79,2,996.52,120.68,3599.78,total
TEST,VTENoTP,80+,0,0,0,2033.88,total
TEST,VTENoTP,0-59,0,0,0,686.81,total
TEST,VTENoTP,60+,3,463.42,95.57,1354.3,total
TEST,ArterialVTENoTP,12-17,0,0,0,28317.85,total
TEST,ArterialVTENoTP,18-24,0,0,0,14725.28,total
TEST,ArterialVTENoTP,25-29,0,0,0,14158.92,total
TEST,ArterialVTENoTP,30-39,0,0,0,4659.9,total
TEST,ArterialVTENoTP,40-49,0,0,0,2538.84,total
TEST,ArterialVTENoTP,50-59,2,810.16,98.11,2926.59,total
TEST,ArterialVTENoTP,60-69,3,1139.09,234.91,3328.91,total
TEST,ArterialVTENoTP,70-79,5,2526.91,820.48,5896.97,total
TEST,ArterialVTENoTP,80+,1,556.33,14.09,3099.69,total
TEST,ArterialVTENoTP,0-59,2,373.51,45.23,1349.26,total
TEST,ArterialVTENoTP,60+,9,1404.09,642.04,2665.4,total
