DAP,AESI,Age in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,12-17,4758,0,0,28317.85,total
TEST,DM1_narrow,18-24,9150,0,0,14725.28,total
TEST,DM1_narrow,25-29,9516,0,0,14158.92,total
TEST,DM1_narrow,30-39,28914,0,0,4659.9,total
TEST,DM1_narrow,40-49,53070,0,0,2538.84,total
TEST,DM1_narrow,50-59,90402,0,0,1490.41,total
TEST,DM1_narrow,60-69,97356,0,0,1383.95,total
TEST,DM1_narrow,70-79,73566,0,0,1831.5,total
TEST,DM1_narrow,80+,66978,0,0,2011.65,total
TEST,DM1_narrow,0-59,195810,0,0,688.1,total
TEST,DM1_narrow,60+,237900,0,0,566.36,total
TEST,HF_narrow,12-17,4758,0,0,28317.85,total
TEST,HF_narrow,18-24,9150,0,0,14725.28,total
TEST,HF_narrow,25-29,9516,0,0,14158.92,total
TEST,HF_narrow,30-39,28914,0,0,4659.9,total
TEST,HF_narrow,40-49,53070,0,0,2538.84,total
TEST,HF_narrow,50-59,90402,0,0,1490.41,total
TEST,HF_narrow,60-69,97356,0,0,1383.95,total
TEST,HF_narrow,70-79,73451,497.27,12.59,2770.61,total
TEST,HF_narrow,80+,64195,1706.91,352.01,4988.31,total
TEST,HF_narrow,0-59,195810,0,0,688.1,total
TEST,HF_narrow,60+,235002,621.7,169.39,1591.79,total
TEST,CAD_narrow,12-17,4758,0,0,28317.85,total
TEST,CAD_narrow,18-24,9150,0,0,14725.28,total
TEST,CAD_narrow,25-29,9516,0,0,14158.92,total
TEST,CAD_narrow,30-39,28914,0,0,4659.9,total
TEST,CAD_narrow,40-49,53070,0,0,2538.84,total
TEST,CAD_narrow,50-59,90402,0,0,1490.41,total
TEST,CAD_narrow,60-69,96652,755.8,91.53,2730.23,total
TEST,CAD_narrow,70-79,72902,1002.03,121.35,3619.68,total
TEST,CAD_narrow,80+,66751,547.18,13.85,3048.71,total
TEST,CAD_narrow,0-59,195810,0,0,688.1,total
TEST,CAD_narrow,60+,236305,772.84,250.94,1803.54,total
TEST,ARR_narrow,12-17,4758,0,0,28317.85,total
TEST,ARR_narrow,18-24,9150,0,0,14725.28,total
TEST,ARR_narrow,25-29,9516,0,0,14158.92,total
TEST,ARR_narrow,30-39,28914,0,0,4659.9,total
TEST,ARR_narrow,40-49,52704,0,0,2556.47,total
TEST,ARR_narrow,50-59,89670,0,0,1502.58,total
TEST,ARR_narrow,60-69,96481,757.14,91.69,2735.06,total
TEST,ARR_narrow,70-79,69815,3139.01,1151.96,6832.3,total
TEST,ARR_narrow,80+,64101,3418.82,1254.65,7441.34,total
TEST,ARR_narrow,0-59,194712,0,0,691.98,total
TEST,ARR_narrow,60+,230397,2219.43,1213.38,3723.83,total
TEST,MYOCARD_narrow,12-17,4758,0,0,28317.85,total
TEST,MYOCARD_narrow,18-24,9150,0,0,14725.28,total
TEST,MYOCARD_narrow,25-29,9516,0,0,14158.92,total
TEST,MYOCARD_narrow,30-39,28716,1271.94,32.2,7086.79,total
TEST,MYOCARD_narrow,40-49,53070,0,0,2538.84,total
TEST,MYOCARD_narrow,50-59,90036,0,0,1496.47,total
TEST,MYOCARD_narrow,60-69,97356,0,0,1383.95,total
TEST,MYOCARD_narrow,70-79,73566,0,0,1831.5,total
TEST,MYOCARD_narrow,80+,66978,0,0,2011.65,total
TEST,MYOCARD_narrow,0-59,195246,187.07,4.74,1042.3,total
TEST,MYOCARD_narrow,60+,237900,0,0,566.36,total
TEST,PERICARD_narrow,12-17,4758,0,0,28317.85,total
TEST,PERICARD_narrow,18-24,9150,0,0,14725.28,total
TEST,PERICARD_narrow,25-29,9516,0,0,14158.92,total
TEST,PERICARD_narrow,30-39,28716,1271.94,32.2,7086.79,total
TEST,PERICARD_narrow,40-49,53070,0,0,2538.84,total
TEST,PERICARD_narrow,50-59,90036,0,0,1496.47,total
TEST,PERICARD_narrow,60-69,97356,0,0,1383.95,total
