DAP,AESI,Vaccine & dose,Days since vaccination,Ageband,Sex,Cases,Person days,IR narrow,LL narrow,UL narrow,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Female,0,276,0,0,488175.08,276,255,276,0,0,0,0,0,488175.08,0,0,528377.73,0,0,488175.08
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Female,0,525,0,0,256640.61,525,259,525,0,0,0,0,0,256640.61,0,0,520217.46,0,0,256640.61
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Male,0,210,0,0,641601.53,210,189,210,0,0,0,0,0,641601.53,0,0,712890.59,0,0,641601.53
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Male,0,434,0,0,310452.35,434,217,434,0,1,0,0,0,310452.35,168317.97,4261.44,937807.72,0,0,310452.35
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Female,0,273,0,0,493539.64,273,252,273,0,0,0,0,0,493539.64,0,0,534667.94,0,0,493539.64
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Female,0,525,0,0,256640.61,525,259,525,0,0,0,0,0,256640.61,0,0,520217.46,0,0,256640.61
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Male,0,210,0,0,641601.53,210,185,210,0,1,0,0,0,641601.53,197432.43,4998.56,1100023.11,0,0,641601.53
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Male,0,434,0,0,310452.35,434,210,434,0,0,0,0,0,310452.35,0,0,641601.53,0,0,310452.35
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Female,0,273,0,0,493539.64,273,252,273,0,0,0,0,0,493539.64,0,0,534667.94,0,0,493539.64
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Female,0,525,0,0,256640.61,525,255,525,0,1,0,0,0,256640.61,143235.29,3626.4,798055.98,0,0,256640.61
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Male,0,210,0,0,641601.53,210,182,210,0,0,0,0,0,641601.53,0,0,740309.46,0,0,641601.53
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Male,0,434,0,0,310452.35,434,210,434,0,0,0,0,0,310452.35,0,0,641601.53,0,0,310452.35
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Female,0,272,0,0,495354.13,272,251,272,0,0,0,0,0,495354.13,0,0,536798.1,0,0,495354.13
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Female,0,526,0,0,256152.7,526,251,526,0,1,0,0,0,256152.7,145517.93,3684.19,810774,0,0,256152.7
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Male,0,208,0,0,647770.78,208,180,208,0,0,0,0,0,647770.78,0,0,748535.12,0,0,647770.78
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Male,0,434,0,0,310452.35,434,205,434,0,1,0,0,0,310452.35,178170.73,4510.89,992703.78,0,0,310452.35
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Female,0,255,0,0,528377.73,255,234,255,0,0,0,0,0,528377.73,0,0,575796.25,0,0,528377.73
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Female,0,512,0,0,263156.88,512,242,512,0,0,0,0,0,263156.88,0,0,556761.66,0,0,263156.88
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Male,0,180,0,0,748535.12,180,153,180,0,0,0,0,0,748535.12,0,0,880629.56,0,0,748535.12
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Male,0,422,0,0,319280.38,422,191,422,0,0,0,0,0,319280.38,0,0,705425.77,0,0,319280.38
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Female,0,216,0,0,623779.27,216,195,216,0,0,0,0,0,623779.27,0,0,690955.5,0,0,623779.27
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Female,0,503,0,0,267865.45,503,239,503,0,0,0,0,0,267865.45,0,0,563750.3,0,0,267865.45
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Male,0,150,0,0,898242.15,150,128,150,0,0,0,0,0,898242.15,0,0,1052627.52,0,0,898242.15
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Male,0,399,0,0,337685.02,399,172,399,0,1,0,0,0,337685.02,212354.65,5376.35,1183164.39,0,0,337685.02
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Female,0,204,0,0,660472.17,204,185,204,0,0,0,0,0,660472.17,0,0,728304.44,0,0,660472.17
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Female,0,470,0,0,286673.03,470,214,470,0,0,0,0,0,286673.03,0,0,629608.98,0,0,286673.03
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Male,0,126,0,0,1069335.89,126,114,126,0,0,0,0,0,1069335.89,0,0,1181897.56,0,0,1069335.89
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Male,0,373,0,0,361223.38,373,158,373,0,2,0,0,0,361223.38,462341.77,55991.73,1670137.45,0,0,361223.38
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Female,0,183,0,0,736264.05,183,169,183,0,0,0,0,0,736264.05,0,0,797256.34,0,0,736264.05
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Female,0,414,0,0,325450.05,414,175,414,0,0,0,0,0,325450.05,0,0,769921.84,0,0,325450.05
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Male,0,112,0,0,1203002.88,112,105,112,0,0,0,0,0,1203002.88,0,0,1283203.07,0,0,1203002.88
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Male,0,303,0,0,444674.33,303,126,303,0,0,0,0,0,444674.33,0,0,1069335.89,0,0,444674.33
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Female,0,175,0,0,769921.84,175,161,175,0,0,0,0,0,769921.84,0,0,836871.57,0,0,769921.84
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Female,0,364,0,0,370154.73,364,160,364,0,0,0,0,0,370154.73,0,0,842102.01,0,0,370154.73
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Male,0,112,0,0,1203002.88,112,105,112,0,0,0,0,0,1203002.88,0,0,1283203.07,0,0,1203002.88
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Male,0,276,0,0,488175.08,276,114,276,0,0,0,0,0,488175.08,0,0,1181897.56,0,0,488175.08
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Female,0,175,0,0,769921.84,175,161,175,0,0,0,0,0,769921.84,0,0,836871.57,0,0,769921.84
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Female,0,323,0,0,417140.32,323,140,323,0,0,0,0,0,417140.32,0,0,962402.3,0,0,417140.32
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Male,0,112,0,0,1203002.88,112,102,112,0,1,0,0,0,1203002.88,358088.24,9066.01,1995139.95,0,0,1203002.88
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Male,0,245,0,0,549944.17,245,98,245,0,0,0,0,0,549944.17,0,0,1374860.43,0,0,549944.17
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Female,0,175,0,0,769921.84,175,161,175,0,0,0,0,0,769921.84,0,0,836871.57,0,0,769921.84
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Female,0,297,0,0,453657.65,297,133,297,0,0,0,0,0,453657.65,0,0,1013055.05,0,0,453657.65
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Male,0,112,0,0,1203002.88,112,98,112,0,0,0,0,0,1203002.88,0,0,1374860.43,0,0,1203002.88
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Male,0,236,0,0,570916.62,236,97,236,0,0,0,0,0,570916.62,0,0,1389034.25,0,0,570916.62
TEST,ADEM_broad,AstraZeneca dose 1,77-83,0-59,Female,0,166,0,0,811664.59,166,151,166,0,0,0,0,0,811664.59,0,0,892293.52,0,0,811664.59
TEST,ADEM_broad,AstraZeneca dose 1,77-83,60+,Female,0,255,0,0,528377.73,255,113,255,0,0,0,0,0,528377.73,0,0,1192356.83,0,0,528377.73
TEST,ADEM_broad,AstraZeneca dose 1,77-83,0-59,Male,0,104,0,0,1295541.56,104,90,104,0,0,0,0,0,1295541.56,0,0,1497070.25,0,0,1295541.56
TEST,ADEM_broad,AstraZeneca dose 1,77-83,60+,Male,0,201,0,0,670329.96,201,82,201,0,0,0,0,0,670329.96,0,0,1643125.88,0,0,670329.96
TEST,ADEM_broad,AstraZeneca dose 1,84-90,0-59,Female,0,41,0,0,3286251.76,41,39,41,0,0,0,0,0,3286251.76,0,0,3454777.49,0,0,3286251.76
TEST,ADEM_broad,AstraZeneca dose 1,84-90,60+,Female,0,20,0,0,6736816.1,20,13,20,0,0,0,0,0,6736816.1,0,0,10364332.47,0,0,6736816.1
TEST,ADEM_broad,AstraZeneca dose 1,84-90,0-59,Male,0,36,0,0,3742675.61,36,26,36,0,0,0,0,0,3742675.61,0,0,5182166.23,0,0,3742675.61
TEST,ADEM_broad,AstraZeneca dose 1,84-90,60+,Male,0,30,0,0,4491210.74,30,12,30,0,0,0,0,0,4491210.74,0,0,11228026.84,0,0,4491210.74
TEST,ADEM_broad,AstraZeneca dose 1,91-97,0-59,Female,0,7,0,0,19248046.01,7,7,7,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
TEST,ADEM_broad,AstraZeneca dose 1,91-97,60+,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
