DAP,AESI,Vaccine & dose,Days since vaccination,Ageband,Sex,Cases,Person days,IR narrow,LL narrow,UL narrow,Persontime_CONTRDIVERTIC,Persontime_CONTRHYPERT,Persontime_DEATH,CONTRDIVERTIC_b,CONTRHYPERT_b,DEATH_b,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_DEATH,lb_DEATH,ub_DEATH
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Female,0,276,0,0,488175.08,276,255,276,0,0,0,0,0,488175.08,0,0,528377.73,0,0,488175.08
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Female,0,525,0,0,256640.61,525,259,525,0,0,0,0,0,256640.61,0,0,520217.46,0,0,256640.61
TEST,ADEM_broad,AstraZeneca dose 1,0-6,0-59,Male,0,210,0,0,641601.53,210,189,210,0,0,0,0,0,641601.53,0,0,712890.59,0,0,641601.53
TEST,ADEM_broad,AstraZeneca dose 1,0-6,60+,Male,0,434,0,0,310452.35,434,217,434,0,1,0,0,0,310452.35,168317.97,4261.44,937807.72,0,0,310452.35
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Female,0,549,0,0,245421.35,549,507,549,0,0,0,0,0,245421.35,0,0,265752.11,0,0,245421.35
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Female,0,1050,0,0,128320.31,1050,518,1050,0,0,0,0,0,128320.31,0,0,260108.73,0,0,128320.31
TEST,ADEM_broad,AstraZeneca dose 1,7-13,0-59,Male,0,420,0,0,320800.77,420,374,420,0,1,0,0,0,320800.77,97660.43,2472.55,544129.08,0,0,320800.77
TEST,ADEM_broad,AstraZeneca dose 1,7-13,60+,Male,0,868,0,0,155226.18,868,427,868,0,1,0,0,0,155226.18,85538.64,2165.65,476590.81,0,0,155226.18
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Female,0,822,0,0,163912.8,822,759,822,0,0,0,0,0,163912.8,0,0,177518.21,0,0,163912.8
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Female,0,1575,0,0,85546.87,1575,773,1575,0,1,0,0,0,85546.87,47250.97,1196.29,263265.56,0,0,85546.87
TEST,ADEM_broad,AstraZeneca dose 1,14-20,0-59,Male,0,630,0,0,213867.18,630,556,630,0,1,0,0,0,213867.18,65692.45,1663.19,366014.88,0,0,213867.18
TEST,ADEM_broad,AstraZeneca dose 1,14-20,60+,Male,0,1302,0,0,103484.12,1302,637,1302,0,1,0,0,0,103484.12,57339.09,1451.7,319472.96,0,0,103484.12
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Female,0,1094,0,0,123159.34,1094,1010,1094,0,0,0,0,0,123159.34,0,0,133402.3,0,0,123159.34
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Female,0,2101,0,0,64129.62,2101,1024,2101,0,2,0,0,0,64129.62,71337.89,8639.35,257696.99,0,0,64129.62
TEST,ADEM_broad,AstraZeneca dose 1,21-27,0-59,Male,0,838,0,0,160783.2,838,736,838,0,1,0,0,0,160783.2,49626.36,1256.43,276500.37,0,0,160783.2
TEST,ADEM_broad,AstraZeneca dose 1,21-27,60+,Male,0,1736,0,0,77613.09,1736,842,1736,0,2,0,0,0,77613.09,86757.72,10506.76,313398.71,0,0,77613.09
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Female,0,1349,0,0,99878.67,1349,1244,1349,0,0,0,0,0,99878.67,0,0,108308.94,0,0,99878.67
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Female,0,2613,0,0,51563.84,2613,1266,2613,0,2,0,0,0,51563.84,57701.42,6987.91,208437.38,0,0,51563.84
TEST,ADEM_broad,AstraZeneca dose 1,28-34,0-59,Male,0,1018,0,0,132353.95,1018,889,1018,0,1,0,0,0,132353.95,41085.49,1040.19,228913.69,0,0,132353.95
TEST,ADEM_broad,AstraZeneca dose 1,28-34,60+,Male,0,2158,0,0,62435.74,2158,1033,2158,0,2,0,0,0,62435.74,70716.36,8564.08,255451.81,0,0,62435.74
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Female,0,1565,0,0,86093.5,1565,1439,1565,0,0,0,0,0,86093.5,0,0,93631.91,0,0,86093.5
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Female,0,3116,0,0,43240.15,3116,1505,3116,0,2,0,0,0,43240.15,48538.21,5878.2,175336.69,0,0,43240.15
TEST,ADEM_broad,AstraZeneca dose 1,35-41,0-59,Male,0,1168,0,0,115356.44,1168,1017,1168,0,1,0,0,0,115356.44,35914.45,909.28,200102.53,0,0,115356.44
TEST,ADEM_broad,AstraZeneca dose 1,35-41,60+,Male,0,2557,0,0,52693.13,2557,1205,2557,0,3,0,0,0,52693.13,90933.61,18752.7,265746.6,0,0,52693.13
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Female,0,1769,0,0,76165.25,1769,1624,1769,0,0,0,0,0,76165.25,0,0,82965.72,0,0,76165.25
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Female,0,3586,0,0,37572.87,3586,1719,3586,0,2,0,0,0,37572.87,42495.64,5146.42,153508.85,0,0,37572.87
TEST,ADEM_broad,AstraZeneca dose 1,42-48,0-59,Male,0,1294,0,0,104123.9,1294,1131,1294,0,1,0,0,0,104123.9,32294.43,817.62,179933.05,0,0,104123.9
TEST,ADEM_broad,AstraZeneca dose 1,42-48,60+,Male,0,2930,0,0,45985.09,2930,1363,2930,0,5,0,0,0,45985.09,133987.53,43505.39,312682.19,0,0,45985.09
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Female,0,1952,0,0,69024.76,1952,1793,1952,0,0,0,0,0,69024.76,0,0,75145.75,0,0,69024.76
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Female,0,4000,0,0,33684.08,4000,1894,4000,0,2,0,0,0,33684.08,38569.17,4670.9,139325.09,0,0,33684.08
TEST,ADEM_broad,AstraZeneca dose 1,49-55,0-59,Male,0,1406,0,0,95829.53,1406,1236,1406,0,1,0,0,0,95829.53,29550.97,748.17,164647.47,0,0,95829.53
TEST,ADEM_broad,AstraZeneca dose 1,49-55,60+,Male,0,3233,0,0,41675.32,3233,1489,3233,0,5,0,0,0,41675.32,122649.43,39823.94,286222.85,0,0,41675.32
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Female,0,2127,0,0,63345.71,2127,1954,2127,0,0,0,0,0,63345.71,0,0,68954.11,0,0,63345.71
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Female,0,4364,0,0,30874.5,4364,2054,4364,0,2,0,0,0,30874.5,35564.75,4307.06,128472.11,0,0,30874.5
TEST,ADEM_broad,AstraZeneca dose 1,56-62,0-59,Male,0,1518,0,0,88759.11,1518,1341,1518,0,1,0,0,0,88759.11,27237.14,689.58,151755.61,0,0,88759.11
TEST,ADEM_broad,AstraZeneca dose 1,56-62,60+,Male,0,3509,0,0,38397.36,3509,1603,3509,0,5,0,0,0,38397.36,113927.01,36991.79,265867.64,0,0,38397.36
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Female,0,2302,0,0,58530.11,2302,2115,2302,0,0,0,0,0,58530.11,0,0,63705.12,0,0,58530.11
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Female,0,4687,0,0,28746.82,4687,2194,4687,0,2,0,0,0,28746.82,33295.35,4032.22,120274.26,0,0,28746.82
TEST,ADEM_broad,AstraZeneca dose 1,63-69,0-59,Male,0,1630,0,0,82660.32,1630,1443,1630,0,2,0,0,0,82660.32,50623.7,6130.77,182870.21,0,0,82660.32
TEST,ADEM_broad,AstraZeneca dose 1,63-69,60+,Male,0,3754,0,0,35891.4,3754,1701,3754,0,5,0,0,0,35891.4,107363.32,34860.58,250550.16,0,0,35891.4
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Female,0,2477,0,0,54394.96,2477,2276,2477,0,0,0,0,0,54394.96,0,0,59198.74,0,0,54394.96
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Female,0,4984,0,0,27033.77,4984,2327,4984,0,2,0,0,0,27033.77,31392.35,3801.76,113399.96,0,0,27033.77
TEST,ADEM_broad,AstraZeneca dose 1,70-76,0-59,Male,0,1742,0,0,77345.76,1742,1541,1742,0,2,0,0,0,77345.76,47404.28,5740.88,171240.57,0,0,77345.76
TEST,ADEM_broad,AstraZeneca dose 1,70-76,60+,Male,0,3990,0,0,33768.5,3990,1798,3990,0,5,0,0,0,33768.5,101571.19,32979.89,237033.28,0,0,33768.5
TEST,ADEM_broad,AstraZeneca dose 1,77-83,0-59,Female,0,2643,0,0,50978.56,2643,2427,2643,0,0,0,0,0,50978.56,0,0,55515.58,0,0,50978.56
TEST,ADEM_broad,AstraZeneca dose 1,77-83,60+,Female,0,5239,0,0,25717.95,5239,2440,5239,0,2,0,0,0,25717.95,29938.52,3625.69,108148.24,0,0,25717.95
TEST,ADEM_broad,AstraZeneca dose 1,77-83,0-59,Male,0,1846,0,0,72988.26,1846,1631,1846,0,2,0,0,0,72988.26,44788.47,5424.09,161791.37,0,0,72988.26
TEST,ADEM_broad,AstraZeneca dose 1,77-83,60+,Male,0,4191,0,0,32148.97,4191,1880,4191,0,5,0,0,0,32148.97,97140.96,31541.4,226694.59,0,0,32148.97
TEST,ADEM_broad,AstraZeneca dose 1,84-90,0-59,Female,0,2684,0,0,50199.82,2684,2466,2684,0,0,0,0,0,50199.82,0,0,54637.6,0,0,50199.82
TEST,ADEM_broad,AstraZeneca dose 1,84-90,60+,Female,0,5259,0,0,25620.14,5259,2453,5259,0,2,0,0,0,25620.14,29779.86,3606.48,107575.1,0,0,25620.14
TEST,ADEM_broad,AstraZeneca dose 1,84-90,0-59,Male,0,1882,0,0,71592.09,1882,1657,1882,0,2,0,0,0,71592.09,44085.7,5338.98,159252.7,0,0,71592.09
