 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,726,68.7%,124,11.7%,178,16.8%,29,2.7%
Person-years of follow-up,PY,52,52.5%,10,10.1%,34,34.3%,3,3%
Month of first vaccination,"",1,"",1,"",2,"",4,""
January 2021,N,36,5%,3,2.4%,0,0%,0,0%
February 2021,N,22,3%,3,2.4%,20,11.2%,0,0%
March 2021,N,76,10.5%,19,15.3%,37,20.8%,0,0%
April 2021,N,151,20.8%,19,15.3%,55,30.9%,5,17.2%
May 2021,N,181,24.9%,44,35.5%,60,33.7%,9,31%
June 2021,N,260,35.8%,36,29%,6,3.4%,15,51.7%
Age in years,Min,15,"",20,"",27,"",59,""
Age in years,P25,51,"",41,"",55,"",60,""
Age in years,P50,64,"",57,"",66,"",64,""
Age in years,Mean,63,"",54,"",63,"",64,""
Age in years,P75,80,"",65,"",73,"",66,""
Age in years,Max,96,"",83,"",79,"",79,""
Age in categories,12-17,7,1%,0,0%,0,0%,0,0%
Age in categories,18-24,19,2.6%,5,4%,0,0%,0,0%
Age in categories,25-29,18,2.5%,5,4%,3,1.7%,0,0%
Age in categories,30-39,42,5.8%,21,16.9%,4,2.2%,0,0%
Age in categories,40-49,71,9.8%,14,11.3%,21,11.8%,0,0%
Age in categories,50-59,159,21.9%,34,27.4%,27,15.2%,7,24.1%
Age in categories,60-69,133,18.3%,26,21%,46,25.8%,17,58.6%
Age in categories,70-79,86,11.8%,16,12.9%,77,43.3%,5,17.2%
Age in categories,80+,191,26.3%,3,2.4%,0,0%,0,0%
Age in categories,60+,410,56.4%,45,36.3%,123,69.1%,22,75.8%
Person years across age categories,12-17,0,0%,0,0%,0,0%,0,0%
Person years across age categories,18-24,1,2%,0,0%,0,0%,0,0%
Person years across age categories,25-29,1,2%,1,10%,0,0%,0,0%
Person years across age categories,30-39,3,5.9%,1,10%,1,2.9%,0,0%
Person years across age categories,40-49,4,7.8%,1,10%,4,11.8%,0,0%
Person years across age categories,50-59,10,19.6%,3,30%,6,17.6%,1,33.3%
Person years across age categories,60-69,11,21.6%,3,30%,6,17.6%,1,33.3%
Person years across age categories,70-79,6,11.8%,1,10%,17,50%,1,33.3%
Person years across age categories,80+,15,29.4%,0,0%,0,0%,0,0%
Person years across age categories,60+,32,62.8%,4,40%,23,67.6%,2,66.6%
Person years across sex,Female,391,53.9%,65,52.4%,94,52.8%,18,62.1%
Person years across sex,Male,335,46.1%,59,47.6%,84,47.2%,11,37.9%
At risk population at date of vaccination,CV,221,30.4%,28,22.6%,25,14%,3,10.3%
At risk population at date of vaccination,Cancer,32,25.8%,12,6.7%,4,13.8%,1,0.1%
At risk population at date of vaccination,CLD,35,19.7%,10,34.5%,8,1.1%,2,1.6%
At risk population at date of vaccination,HIV,1,3.4%,1,0.1%,0,0%,0,0%
At risk population at date of vaccination,CKD,1,0.1%,2,1.6%,0,0%,0,0%
At risk population at date of vaccination,Diabetes,79,63.7%,13,7.3%,6,20.7%,1,0.1%
At risk population at date of vaccination,Obesity,2,1.1%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sicklecell,1,3.4%,0,0%,0,0%,0,0%
At risk population at date of vaccination,immunosuppressants,50,6.9%,8,6.5%,8,4.5%,0,0%
