monday_week,A_duplicated_records,B_missing_date,C_date_before_start_vax,D_distance_btw_1_2_doses,E_distance_btw_2_3_doses,F_dose_after_3,G_dose_after_2,H_dose_not_in_persons,I_birth_date_absurd,J_no_observation_period,K_death_before_study_entry,L_no_observation_period_including_study_start,M_insufficient_run_in,N_death_before_vax,O_exit_spell_before_vax,P_study_end_before_vax,N
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,6
2020-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
<<<<<<< HEAD
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,43
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21
2021-01-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,34
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,17
=======
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,44
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
2021-01-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,35
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2021-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,20
>>>>>>> a2bd58d4164d12b33695c48ea45fe56349d60f07
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,45
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
2021-01-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
2021-02-01,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
<<<<<<< HEAD
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,43
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,43
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
=======
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,46
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3
2021-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,42
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2
2021-02-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
>>>>>>> a2bd58d4164d12b33695c48ea45fe56349d60f07
2021-02-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,70
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4
<<<<<<< HEAD
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4
2021-02-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22
2021-02-22,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,63
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5
2021-02-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,98
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5
2021-03-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31
2021-03-08,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,110
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5
2021-03-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45
2021-03-15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,82
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,6
2021-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35
