sex,Dose,type_vax,week_fup,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,0,CV,1,1,1,1,1,588.84,14.91,3280.79,588.84,14.91,3280.79,588.84,14.91,3280.79,588.84,14.91,3280.79,588.84,14.91,3280.79
1,1,Pfizer,1,CV,0,0,0,0,0,0,0,205078.12,0,0,202916.15,0,0,202916.15,0,0,202916.15,0,0,202916.15
1,1,Pfizer,2,CV,0,0,0,0,0,0,0,207286.65,0,0,205078.12,0,0,205078.12,0,0,205078.12,0,0,205078.12
1,1,Pfizer,3,CV,0,0,0,0,0,0,0,240171.7,0,0,237211.83,0,0,237211.83,0,0,237211.83,0,0,237211.83
0,0,,0,CV,1,1,1,1,1,525.79,13.31,2929.51,525.79,13.31,2929.51,525.79,13.31,2929.51,525.79,13.31,2929.51,525.79,13.31,2929.51
0,1,Pfizer,1,CV,0,0,0,0,0,0,0,169054.36,0,0,167582.49,0,0,166136.03,0,0,166136.03,0,0,166136.03
0,1,Pfizer,2,CV,0,0,0,0,0,0,0,172077.04,0,0,170552.31,0,0,169054.36,0,0,169054.36,0,0,169054.36
0,1,Pfizer,3,CV,0,0,0,0,0,0,0,189502.56,0,0,187655.04,0,0,185843.2,0,0,185843.2,0,0,185843.2
0,2,Pfizer,1,CV,0,0,0,0,0,0,0,239744.35,0,0,236794.94,0,0,236794.94,0,0,236794.94,0,0,236794.94
0,2,Pfizer,2,CV,0,0,0,0,0,0,0,254700.04,0,0,251373.74,0,0,251373.74,0,0,251373.74,0,0,251373.74
0,2,Pfizer,3,CV,0,0,0,0,0,0,0,256640.61,0,0,253263.76,0,0,253263.76,0,0,253263.76,0,0,253263.76
0,2,Pfizer,4,CV,0,0,0,0,0,0,0,256152.7,0,0,252788.6,0,0,252788.6,0,0,252788.6,0,0,252788.6
0,2,Pfizer,5,CV,0,0,0,0,0,0,0,270554.86,0,0,266804.6,0,0,266804.6,0,0,266804.6,0,0,266804.6
0,2,Pfizer,6,CV,0,0,0,0,0,0,0,297431.17,0,0,292905.05,0,0,292905.05,0,0,292905.05,0,0,292905.05
0,2,Pfizer,7,CV,0,0,0,0,0,0,0,309028.26,0,0,306218.91,0,0,306218.91,0,0,306218.91,0,0,306218.91
0,2,Pfizer,8,CV,0,0,0,0,0,0,0,350875.84,0,0,350875.84,0,0,350875.84,0,0,350875.84,0,0,350875.84
0,2,Pfizer,9,CV,0,0,0,0,0,0,0,446146.76,0,0,446146.76,0,0,446146.76,0,0,446146.76,0,0,446146.76
0,2,Pfizer,10,CV,0,0,0,0,0,0,0,606920.37,0,0,606920.37,0,0,606920.37,0,0,606920.37,0,0,606920.37
0,2,Pfizer,11,CV,0,0,0,0,0,0,0,802001.92,0,0,802001.92,0,0,802001.92,0,0,802001.92,0,0,802001.92
0,2,Pfizer,12,CV,0,0,0,0,0,0,0,1181897.56,0,0,1181897.56,0,0,1181897.56,0,0,1181897.56,0,0,1181897.56
1,2,Pfizer,1,CV,0,0,0,0,0,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25
1,2,Pfizer,2,CV,0,0,0,0,0,0,0,314070.68,0,0,314070.68,0,0,314070.68,0,0,314070.68,0,0,314070.68
1,2,Pfizer,3,CV,0,0,0,0,0,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74
1,2,Pfizer,4,CV,0,0,0,0,0,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74,0,0,315541.74
1,2,Pfizer,5,CV,0,0,0,0,0,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91,0,0,327029.91
0,1,Pfizer,4,CV,0,0,0,0,0,0,0,524265.84,0,0,518216.62,0,0,504630.42,0,0,504630.42,0,0,504630.42
0,1,Pfizer,5,CV,0,0,0,0,0,0,0,774346.68,0,0,774346.68,0,0,744399.57,0,0,744399.57,0,0,744399.57
0,1,Pfizer,6,CV,0,0,0,0,0,0,0,1005494.94,0,0,1005494.94,0,0,955576.75,0,0,955576.75,0,0,955576.75
0,1,Pfizer,7,CV,0,0,0,0,0,0,0,1643125.88,0,0,1643125.88,0,0,1513891.26,0,0,1513891.26,0,0,1513891.26
