sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-01-06,CV,0,0,0,0,0,0,0,104043.49,0,0,104043.49,0,0,104043.49,0,0,104043.49,0,0,104043.49
0,0,,2020-01-06,CV,0,0,0,0,0,0,0,96793.33,0,0,96793.33,0,0,96793.33,0,0,96793.33,0,0,96793.33
1,0,,2020-01-13,CV,0,0,0,0,0,0,0,104934.83,0,0,104934.83,0,0,104934.83,0,0,104934.83,0,0,104934.83
0,0,,2020-01-13,CV,0,0,0,0,0,0,0,97352.83,0,0,97352.83,0,0,97352.83,0,0,97352.83,0,0,97352.83
1,0,,2020-01-20,CV,0,0,0,0,0,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58,0,0,105180.58
0,0,,2020-01-20,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-01-27,CV,0,0,0,0,0,0,0,105345.05,0,0,105345.05,0,0,105345.05,0,0,105345.05,0,0,105345.05
0,0,,2020-01-27,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-02-03,CV,0,0,0,0,0,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49,0,0,105758.49
0,0,,2020-02-03,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-02-10,CV,0,0,0,0,0,0,0,106258.93,0,0,106258.93,0,0,106258.93,0,0,106258.93,0,0,106258.93
0,0,,2020-02-10,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-02-17,CV,0,0,0,0,0,0,0,106679.59,0,0,106679.59,0,0,106679.59,0,0,106679.59,0,0,106679.59
0,0,,2020-02-17,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-02-24,CV,0,0,0,0,0,0,0,107616.87,0,0,107616.87,0,0,107616.87,0,0,107616.87,0,0,107616.87
0,0,,2020-02-24,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-03-02,CV,0,0,0,0,0,0,0,108746.02,0,0,108746.02,0,0,108746.02,0,0,108746.02,0,0,108746.02
0,0,,2020-03-02,CV,0,0,0,0,0,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82,0,0,97705.82
1,0,,2020-03-09,CV,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
0,0,,2020-03-09,CV,0,0,0,0,0,0,0,97847.73,0,0,97847.73,0,0,97847.73,0,0,97847.73,0,0,97847.73
1,0,,2020-03-16,CV,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
0,0,,2020-03-16,CV,0,0,0,0,0,0,0,98204.32,0,0,98204.32,0,0,98204.32,0,0,98204.32,0,0,98204.32
1,0,,2020-03-23,CV,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
0,0,,2020-03-23,CV,0,0,0,0,0,0,0,98275.95,0,0,98275.95,0,0,98275.95,0,0,98275.95,0,0,98275.95
1,0,,2020-03-30,CV,0,0,0,0,0,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73
0,0,,2020-03-30,CV,0,0,0,0,0,0,0,98707.93,0,0,98707.93,0,0,98707.93,0,0,98707.93,0,0,98707.93
1,0,,2020-04-06,CV,0,0,0,0,0,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95
0,0,,2020-04-06,CV,0,0,0,0,0,0,0,98780.29,0,0,98780.29,0,0,98780.29,0,0,98780.29,0,0,98780.29
1,0,,2020-04-13,CV,0,0,0,0,0,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95,0,0,110620.95
0,0,,2020-04-13,CV,0,0,0,0,0,0,0,99363.07,0,0,99363.07,0,0,99363.07,0,0,99363.07,0,0,99363.07
1,0,,2020-04-20,CV,0,0,0,0,0,0,0,111352.33,0,0,111352.33,0,0,111352.33,0,0,111352.33,0,0,111352.33
0,0,,2020-04-20,CV,1,1,1,1,1,27095.7,686,150967.56,27095.7,686,150967.56,27095.7,686,150967.56,27095.7,686,150967.56,27095.7,686,150967.56
1,0,,2020-04-27,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
0,0,,2020-04-27,CV,0,0,0,0,0,0,0,100250.24,0,0,100250.24,0,0,100250.24,0,0,100250.24,0,0,100250.24
1,0,,2020-05-04,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
0,0,,2020-05-04,CV,0,0,0,0,0,0,0,100250.24,0,0,100250.24,0,0,100250.24,0,0,100250.24,0,0,100250.24
1,0,,2020-05-11,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
0,0,,2020-05-11,CV,0,0,0,0,0,0,0,100549.49,0,0,100549.49,0,0,100549.49,0,0,100549.49,0,0,100549.49
1,0,,2020-05-18,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
0,0,,2020-05-18,CV,0,0,0,0,0,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11
1,0,,2020-05-25,CV,0,0,0,0,0,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24,0,0,111907.24
0,0,,2020-05-25,CV,0,0,0,0,0,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11
1,0,,2020-06-01,CV,0,0,0,0,0,0,0,112186.78,0,0,112186.78,0,0,112186.78,0,0,112186.78,0,0,112186.78
0,0,,2020-06-01,CV,0,0,0,0,0,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11
1,0,,2020-06-08,CV,0,0,0,0,0,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67
0,0,,2020-06-08,CV,0,0,0,0,0,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11,0,0,100775.11
1,0,,2020-06-15,CV,0,0,0,0,0,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67
0,0,,2020-06-15,CV,0,0,0,0,0,0,0,101077.51,0,0,101077.51,0,0,101077.51,0,0,101077.51,0,0,101077.51
1,0,,2020-06-22,CV,0,0,0,0,0,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67
0,0,,2020-06-22,CV,0,0,0,0,0,0,0,101687.79,0,0,101687.79,0,0,101687.79,0,0,101687.79,0,0,101687.79
1,0,,2020-06-29,CV,0,0,0,0,0,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67,0,0,112561.67
0,0,,2020-06-29,CV,0,0,0,0,0,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51
1,0,,2020-07-06,CV,0,0,0,0,0,0,0,112939.08,0,0,112939.08,0,0,112939.08,0,0,112939.08,0,0,112939.08
0,0,,2020-07-06,CV,0,0,0,0,0,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51
1,0,,2020-07-13,CV,0,0,0,0,0,0,0,113893.76,0,0,113893.76,0,0,113893.76,0,0,113893.76,0,0,113893.76
0,0,,2020-07-13,CV,0,0,0,0,0,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51,0,0,101841.51
1,0,,2020-07-20,CV,0,0,0,0,0,0,0,115159.25,0,0,115159.25,0,0,115159.25,0,0,115159.25,0,0,115159.25
0,0,,2020-07-20,CV,0,0,0,0,0,0,0,102227.86,0,0,102227.86,0,0,102227.86,0,0,102227.86,0,0,102227.86
1,0,,2020-07-27,CV,0,0,0,0,0,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76
0,0,,2020-07-27,CV,0,0,0,0,0,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22
1,0,,2020-08-03,CV,0,0,0,0,0,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76
0,0,,2020-08-03,CV,0,0,0,0,0,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22
1,0,,2020-08-10,CV,0,0,0,0,0,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76,0,0,115257.76
0,0,,2020-08-10,CV,0,0,0,0,0,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22
1,0,,2020-08-17,CV,0,0,0,0,0,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82
0,0,,2020-08-17,CV,0,0,0,0,0,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22,0,0,102383.22
1,0,,2020-08-24,CV,0,0,0,0,0,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82
0,0,,2020-08-24,CV,0,0,0,0,0,0,0,102617.15,0,0,102617.15,0,0,102617.15,0,0,102617.15,0,0,102617.15
1,0,,2020-08-31,CV,0,0,0,0,0,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82
0,0,,2020-08-31,CV,0,0,0,0,0,0,0,102930.73,0,0,102930.73,0,0,102930.73,0,0,102930.73,0,0,102930.73
1,0,,2020-09-07,CV,0,0,0,0,0,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82,0,0,116654.82
0,0,,2020-09-07,CV,0,0,0,0,0,0,0,102930.73,0,0,102930.73,0,0,102930.73,0,0,102930.73,0,0,102930.73
