sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,January,2020,50-59,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93,0,0,20510.93
0,February,2020,50-59,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54,0,0,22091.54
0,March,2020,50-59,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,6488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767,0,0,20767
0,April,2020,50-59,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,6260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37,0,0,21523.37
0,May,2020,50-59,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63,0,0,20970.63
0,June,2020,50-59,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35,0,0,21908.35
0,July,2020,50-59,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,6268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9,0,0,21495.9
0,August,2020,50-59,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68,0,0,21689.68
0,September,2020,50-59,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,5963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39,0,0,22595.39
0,October,2020,50-59,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75,0,0,22200.75
0,November,2020,50-59,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4,0,0,23198.4
0,December,2020,50-59,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,5893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79,0,0,22863.79
0,January,2021,50-59,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,5540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64,0,0,24320.64
0,February,2021,50-59,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11,0,0,28839.11
0,March,2021,50-59,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,4774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94,0,0,28222.94
0,April,2021,50-59,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77,0,0,30014.77
