sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,June,2021,50-59,Pfizer,1,113,113,113,113,113,113,113,113,113,113,113,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83
0,May,2021,50-59,Pfizer,0,743,743,743,743,743,743,743,743,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94,0,0,181340.94
0,June,2021,50-59,Pfizer,0,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026,0,0,71026
0,April,2021,80+,Pfizer,0,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27,0,0,48641.27
0,May,2021,80+,Pfizer,0,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46,0,0,38728.46
0,June,2021,80+,Pfizer,0,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41,0,0,40052.41
0,March,2021,80+,Pfizer,0,840,840,840,840,840,840,840,840,840,840,840,840,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38,0,0,160400.38
0,January,2021,50-59,Pfizer,0,190,190,190,190,190,190,190,190,190,190,190,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54,0,0,709138.54
0,February,2021,50-59,Pfizer,0,352,352,352,352,352,352,352,352,352,352,352,352,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64,0,0,382773.64
0,March,2021,50-59,Pfizer,0,445,445,445,445,445,445,445,445,445,445,445,445,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25,0,0,302778.25
