datasource,week_since_vaccination,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,50-59,L1,5,1247.31,405,2910.81
TEST,1,Pfizer,1,50-59,L1,0,0,0,123498
TEST,2,Pfizer,1,50-59,L1,0,0,0,145976.51
TEST,3,Pfizer,1,50-59,L1,0,0,0,193865.21
TEST,4,Pfizer,1,50-59,L1,0,0,0,338533.47
TEST,5,Pfizer,1,50-59,L1,0,0,0,433235.76
TEST,6,Pfizer,1,50-59,L1,0,0,0,1005494.94
TEST,0,none,no_dose,40-49,L1,7,1931.65,776.62,3979.94
TEST,1,Pfizer,1,40-49,L1,0,0,0,203837.1
TEST,2,Pfizer,1,40-49,L1,0,0,0,240600.58
TEST,3,Pfizer,1,40-49,L1,0,0,0,306916.45
TEST,4,Pfizer,1,40-49,L1,0,0,0,635548.69
TEST,5,Pfizer,1,40-49,L1,0,0,0,1403503.35
TEST,6,Pfizer,1,40-49,L1,0,0,0,2173166.48
TEST,0,none,no_dose,70-79,L1,3,1176.88,242.7,3439.36
TEST,1,Pfizer,1,70-79,L1,0,0,0,187133.78
TEST,2,Pfizer,1,70-79,L1,0,0,0,189236.41
TEST,3,Pfizer,1,70-79,L1,0,0,0,205390.73
TEST,0,none,no_dose,30-39,L1,5,2097.57,681.08,4895.03
TEST,1,Moderna,1,30-39,L1,0,0,0,942212.04
TEST,0,none,no_dose,25-29,L1,2,1843.11,223.21,6657.96
TEST,0,none,no_dose,80+,L1,2,854.09,103.43,3085.25
TEST,1,Pfizer,1,80+,L1,0,0,0,107702.9
TEST,2,Pfizer,1,80+,L1,0,0,0,108221.95
TEST,3,Pfizer,1,80+,L1,0,0,0,121713.03
TEST,1,Pfizer,2,80+,L1,0,0,0,125452.81
TEST,2,Pfizer,2,80+,L1,0,0,0,126631.88
TEST,3,Pfizer,2,80+,L1,0,0,0,126631.88
TEST,4,Pfizer,2,80+,L1,0,0,0,126631.88
TEST,5,Pfizer,2,80+,L1,0,0,0,126631.88
TEST,6,Pfizer,2,80+,L1,0,0,0,126631.88
TEST,7,Pfizer,2,80+,L1,0,0,0,129181.52
TEST,8,Pfizer,2,80+,L1,0,0,0,136097.3
TEST,9,Pfizer,2,80+,L1,0,0,0,162137.57
TEST,10,Pfizer,2,80+,L1,0,0,0,217316.65
TEST,11,Pfizer,2,80+,L1,0,0,0,291007.18
