datasource,week,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,L1,0,0,0,56469.54
TEST,20200113,none,no_dose,CV,L1,0,0,0,56922.82
TEST,20200120,none,no_dose,CV,L1,0,0,0,57115.86
TEST,20200127,none,no_dose,CV,L1,0,0,0,57164.33
TEST,20200203,none,no_dose,CV,L1,0,0,0,57285.85
TEST,20200210,none,no_dose,CV,L1,0,0,0,57432.36
TEST,20200217,none,no_dose,CV,L1,0,0,0,57555.03
TEST,20200224,none,no_dose,CV,L1,0,0,0,57826.75
TEST,20200302,none,no_dose,CV,L1,0,0,0,57976.04
TEST,20200309,none,no_dose,CV,L1,0,0,0,58025.98
TEST,20200316,none,no_dose,CV,L1,0,0,0,58151.2
TEST,20200323,none,no_dose,CV,L1,0,0,0,58176.3
TEST,20200330,none,no_dose,CV,L1,0,0,0,58377.96
TEST,20200406,none,no_dose,CV,L1,0,0,0,58708.64
TEST,20200413,none,no_dose,CV,L1,0,0,0,58862.53
TEST,20200420,none,no_dose,CV,L1,1,16033.8,405.94,89334.62
TEST,20200427,none,no_dose,CV,L1,0,0,0,59407.55
TEST,20200504,none,no_dose,CV,L1,0,0,0,59407.55
TEST,20200511,none,no_dose,CV,L1,0,0,0,59512.51
TEST,20200518,none,no_dose,CV,L1,0,0,0,59591.47
TEST,20200525,none,no_dose,CV,L1,0,0,0,59591.47
TEST,20200601,none,no_dose,CV,L1,0,0,0,59670.65
TEST,20200608,none,no_dose,CV,L1,0,0,0,59776.54
TEST,20200615,none,no_dose,CV,L1,0,0,0,59882.81
TEST,20200622,none,no_dose,CV,L1,0,0,0,60096.49
TEST,20200629,none,no_dose,CV,L1,0,0,0,60150.14
TEST,20200706,none,no_dose,CV,L1,0,0,0,60257.75
TEST,20200713,none,no_dose,CV,L1,0,0,0,60528.45
TEST,20200720,none,no_dose,CV,L1,0,0,0,61021.88
TEST,20200727,none,no_dose,CV,L1,0,0,0,61104.91
TEST,20200803,none,no_dose,CV,L1,0,0,0,61104.91
TEST,20200810,none,no_dose,CV,L1,0,0,0,61104.91
TEST,20200817,none,no_dose,CV,L1,0,0,0,61495.35
TEST,20200824,none,no_dose,CV,L1,0,0,0,61579.67
TEST,20200831,none,no_dose,CV,L1,0,0,0,61692.46
TEST,20200907,none,no_dose,CV,L1,0,0,0,61692.46
TEST,20200914,none,no_dose,CV,L1,0,0,0,61692.46
TEST,20200921,none,no_dose,CV,L1,0,0,0,61862.41
TEST,20200928,none,no_dose,CV,L1,0,0,0,62090.47
TEST,20201005,none,no_dose,CV,L1,0,0,0,62205.13
TEST,20201012,none,no_dose,CV,L1,0,0,0,62291.41
TEST,20201019,none,no_dose,CV,L1,0,0,0,62406.82
TEST,20201026,none,no_dose,CV,L1,0,0,0,62726.41
TEST,20201102,none,no_dose,CV,L1,0,0,0,62902.11
TEST,20201109,none,no_dose,CV,L1,0,0,0,63019.8
TEST,20201116,none,no_dose,CV,L1,0,0,0,63167.52
TEST,20201123,none,no_dose,CV,L1,0,0,0,63375.5
TEST,20201130,none,no_dose,CV,L1,0,0,0,63735.25
TEST,20201207,none,no_dose,CV,L1,1,17426.05,441.19,97091.73
TEST,20201214,none,no_dose,CV,L1,0,0,0,64528.89
TEST,20201221,none,no_dose,CV,L1,0,0,0,64590.76
TEST,20201228,none,no_dose,CV,L1,0,0,0,64590.76
TEST,20210104,none,no_dose,CV,L1,0,0,0,65058.58
TEST,20210104,Pfizer,1,CV,L1,0,0,0,8982421.47
TEST,20210111,none,no_dose,CV,L1,2,35773.75,4332.37,129227.09
TEST,20210111,Pfizer,1,CV,L1,0,0,0,3849609.2
TEST,20210118,none,no_dose,CV,L1,1,17930.78,453.97,99903.91
TEST,20210118,Pfizer,1,CV,L1,0,0,0,4210510.06
TEST,20210125,none,no_dose,CV,L1,0,0,0,66372.57
TEST,20210125,Pfizer,2,CV,L1,0,0,0,13473632.21
TEST,20210125,Pfizer,1,CV,L1,0,0,0,7485351.23
TEST,20210201,none,no_dose,CV,L1,0,0,0,66536.46
TEST,20210201,Pfizer,2,CV,L1,0,0,0,7925666
TEST,20210201,Pfizer,1,CV,L1,0,0,0,12248756.55
TEST,20210208,none,no_dose,CV,L1,0,0,0,67099.76
TEST,20210208,Pfizer,1,CV,L1,0,0,0,14970702.45
TEST,20210208,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210215,none,no_dose,CV,L1,0,0,0,67469.37
TEST,20210215,Pfizer,1,CV,L1,0,0,0,9624023
TEST,20210215,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210222,none,no_dose,CV,L1,0,0,0,67774.81
TEST,20210222,Pfizer,1,CV,L1,0,0,0,9624023
TEST,20210222,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210301,none,no_dose,CV,L1,0,0,0,68533.23
TEST,20210301,Pfizer,1,CV,L1,0,0,0,5614013.42
TEST,20210301,Pfizer,2,CV,L1,0,0,0,5182166.23
TEST,20210308,none,no_dose,CV,L1,0,0,0,71630.16
TEST,20210308,Pfizer,1,CV,L1,0,0,0,1448777.66
TEST,20210308,Pfizer,2,CV,L1,0,0,0,4812011.5
TEST,20210308,Moderna,1,CV,L1,0,0,0,44912107.35
TEST,20210315,none,no_dose,CV,L1,0,0,0,75907.79
TEST,20210315,Pfizer,1,CV,L1,0,0,0,736264.05
TEST,20210315,Moderna,1,CV,L1,0,0,0,9624023
TEST,20210315,Pfizer,2,CV,L1,0,0,0,4812011.5
TEST,20210315,AstraZeneca,1,CV,L1,0,0,0,67368161.03
TEST,20210322,none,no_dose,CV,L1,0,0,0,80535.76
TEST,20210322,Pfizer,1,CV,L1,0,0,0,609666.62
TEST,20210322,AstraZeneca,1,CV,L1,0,0,0,6736816.1
TEST,20210322,Moderna,1,CV,L1,0,0,0,4812011.5
TEST,20210322,Pfizer,2,CV,L1,0,0,0,3062189.14
TEST,20210329,none,no_dose,CV,L1,0,0,0,87833.33
TEST,20210329,Pfizer,1,CV,L1,0,0,0,561401.34
TEST,20210329,Pfizer,2,CV,L1,0,0,0,1213840.74
TEST,20210329,Moderna,1,CV,L1,0,0,0,2363795.12
TEST,20210329,AstraZeneca,1,CV,L1,0,0,0,5858100.96
TEST,20210405,none,no_dose,CV,L1,0,0,0,100775.11
TEST,20210405,Pfizer,1,CV,L1,0,0,0,471106.02
TEST,20210405,Pfizer,2,CV,L1,0,0,0,736264.05
TEST,20210405,AstraZeneca,1,CV,L1,0,0,0,1981416.5
TEST,20210405,Moderna,1,CV,L1,0,0,0,2010989.88
TEST,20210405,Moderna,2,CV,L1,0,0,0,67368161.03
TEST,20210412,none,no_dose,CV,L1,0,0,0,120515.49
TEST,20210412,Pfizer,1,CV,L1,0,0,0,320800.77
TEST,20210412,Pfizer,2,CV,L1,0,0,0,588368.22
TEST,20210412,AstraZeneca,1,CV,L1,0,0,0,1480618.92
TEST,20210412,Moderna,1,CV,L1,0,0,0,2323040.04
TEST,20210412,Moderna,2,CV,L1,0,0,0,8421020.13
TEST,20200106,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200113,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200120,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200127,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200203,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200210,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200217,none,no_dose,COVCANCER,L1,0,0,0,392817.27
TEST,20200224,none,no_dose,COVCANCER,L1,0,0,0,392817.27
