datasource,week_since_vaccination,vx_manufacturer,dose,ageband,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,0-4,ADEM_broad,0,0,0,8411.56
TEST,0,none,no_dose,0-59,ADEM_broad,1,68.9,1.74,383.87
TEST,0,none,no_dose,12-17,ADEM_broad,0,0,0,3703.28
TEST,0,none,no_dose,18-24,ADEM_broad,0,0,0,3855.12
TEST,0,none,no_dose,25-29,ADEM_broad,0,0,0,3376.43
TEST,0,none,no_dose,30-39,ADEM_broad,0,0,0,1542.33
TEST,0,none,no_dose,40-49,ADEM_broad,0,0,0,1015.03
TEST,0,none,no_dose,5-11,ADEM_broad,1,1031.78,26.12,5748.71
TEST,0,none,no_dose,50-59,ADEM_broad,0,0,0,914.2
TEST,0,none,no_dose,60+,ADEM_broad,0,0,0,437.89
TEST,0,none,no_dose,60-69,ADEM_broad,0,0,0,1045.71
TEST,0,none,no_dose,70-79,ADEM_broad,0,0,0,1445.11
TEST,0,none,no_dose,80+,ADEM_broad,0,0,0,1573.82
TEST,0,none,no_dose,all_birth_cohorts,ADEM_broad,1,43.59,1.1,242.89
TEST,1,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,0-59,ADEM_broad,0,0,0,277235.23
TEST,1,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,25-29,ADEM_broad,0,0,0,3849609.2
TEST,1,AstraZeneca,1,30-39,ADEM_broad,0,0,0,4346332.97
TEST,1,AstraZeneca,1,40-49,ADEM_broad,0,0,0,836871.57
TEST,1,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,50-59,ADEM_broad,0,0,0,520217.46
TEST,1,AstraZeneca,1,60+,ADEM_broad,0,0,0,140496.69
TEST,1,AstraZeneca,1,60-69,ADEM_broad,0,0,0,305524.54
TEST,1,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,1,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,93243.13
TEST,2,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,0-59,ADEM_broad,0,0,0,278957.19
TEST,2,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,25-29,ADEM_broad,0,0,0,3849609.2
TEST,2,AstraZeneca,1,30-39,ADEM_broad,0,0,0,4812011.5
TEST,2,AstraZeneca,1,40-49,ADEM_broad,0,0,0,836871.57
TEST,2,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,50-59,ADEM_broad,0,0,0,520217.46
TEST,2,AstraZeneca,1,60+,ADEM_broad,0,0,0,140496.69
TEST,2,AstraZeneca,1,60-69,ADEM_broad,0,0,0,305524.54
TEST,2,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,2,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,93437.12
TEST,3,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,0-59,ADEM_broad,0,0,0,278957.19
TEST,3,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,25-29,ADEM_broad,0,0,0,3849609.2
TEST,3,AstraZeneca,1,30-39,ADEM_broad,0,0,0,4812011.5
TEST,3,AstraZeneca,1,40-49,ADEM_broad,0,0,0,836871.57
TEST,3,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,50-59,ADEM_broad,0,0,0,520217.46
TEST,3,AstraZeneca,1,60+,ADEM_broad,0,0,0,140496.69
TEST,3,AstraZeneca,1,60-69,ADEM_broad,0,0,0,305524.54
TEST,3,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,3,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,93437.12
TEST,4,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,0-59,ADEM_broad,0,0,0,280700.67
TEST,4,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,25-29,ADEM_broad,0,0,0,3962833
TEST,4,AstraZeneca,1,30-39,ADEM_broad,0,0,0,4812011.5
TEST,4,AstraZeneca,1,40-49,ADEM_broad,0,0,0,836871.57
TEST,4,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,50-59,ADEM_broad,0,0,0,524265.84
TEST,4,AstraZeneca,1,60+,ADEM_broad,0,0,0,140350.34
TEST,4,AstraZeneca,1,60-69,ADEM_broad,0,0,0,304833.31
TEST,4,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,4,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,93566.89
TEST,5,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,0-59,ADEM_broad,0,0,0,309738.67
TEST,5,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,25-29,ADEM_broad,0,0,0,4812011.5
TEST,5,AstraZeneca,1,30-39,ADEM_broad,0,0,0,5614013.42
TEST,5,AstraZeneca,1,40-49,ADEM_broad,0,0,0,892293.52
TEST,5,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,50-59,ADEM_broad,0,0,0,580760.01
TEST,5,AstraZeneca,1,60+,ADEM_broad,0,0,0,144257.3
TEST,5,AstraZeneca,1,60-69,ADEM_broad,0,0,0,323885.39
TEST,5,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,5,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,98419.52
TEST,6,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,0-59,ADEM_broad,0,0,0,368132.03
TEST,6,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,25-29,ADEM_broad,0,0,0,5858100.96
TEST,6,AstraZeneca,1,30-39,ADEM_broad,0,0,0,6416015.34
TEST,6,AstraZeneca,1,40-49,ADEM_broad,0,0,0,1013055.05
TEST,6,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,50-59,ADEM_broad,0,0,0,712890.59
TEST,6,AstraZeneca,1,60+,ADEM_broad,0,0,0,149375.08
TEST,6,AstraZeneca,1,60-69,ADEM_broad,0,0,0,346365.87
TEST,6,AstraZeneca,1,70-79,ADEM_broad,0,0,0,262643.9
TEST,6,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,106258.93
TEST,7,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,0-59,ADEM_broad,0,0,0,408291.89
TEST,7,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,25-29,ADEM_broad,0,0,0,6416015.34
TEST,7,AstraZeneca,1,30-39,ADEM_broad,0,0,0,6416015.34
TEST,7,AstraZeneca,1,40-49,ADEM_broad,0,0,0,1095417.25
TEST,7,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,50-59,ADEM_broad,0,0,0,816583.77
TEST,7,AstraZeneca,1,60+,ADEM_broad,0,0,0,159829.56
TEST,7,AstraZeneca,1,60-69,ADEM_broad,0,0,0,405832.3
TEST,7,AstraZeneca,1,70-79,ADEM_broad,0,0,0,263671.86
TEST,7,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,114864.72
TEST,8,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,0-59,ADEM_broad,0,0,0,456733.3
TEST,8,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,25-29,ADEM_broad,0,0,0,8982421.47
TEST,8,AstraZeneca,1,30-39,ADEM_broad,0,0,0,6416015.34
TEST,8,AstraZeneca,1,40-49,ADEM_broad,0,0,0,1203002.88
TEST,8,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,50-59,ADEM_broad,0,0,0,916573.62
TEST,8,AstraZeneca,1,60+,ADEM_broad,0,0,0,187916.77
TEST,8,AstraZeneca,1,60-69,ADEM_broad,0,0,0,654059.82
TEST,8,AstraZeneca,1,70-79,ADEM_broad,0,0,0,263671.86
TEST,8,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,133138.66
TEST,9,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,0-59,ADEM_broad,0,0,0,469464.54
TEST,9,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,25-29,ADEM_broad,0,0,0,19248046.01
TEST,9,AstraZeneca,1,30-39,ADEM_broad,0,0,0,6416015.34
TEST,9,AstraZeneca,1,40-49,ADEM_broad,0,0,0,1203002.88
TEST,9,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,50-59,ADEM_broad,0,0,0,916573.62
TEST,9,AstraZeneca,1,60+,ADEM_broad,0,0,0,210525.5
TEST,9,AstraZeneca,1,60-69,ADEM_broad,0,0,0,774346.68
TEST,9,AstraZeneca,1,70-79,ADEM_broad,0,0,0,289133.74
TEST,9,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,145346.63
TEST,10,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,10,AstraZeneca,1,0-59,ADEM_broad,0,0,0,469464.54
TEST,10,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,10,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,10,AstraZeneca,1,25-29,ADEM_broad,0,0,0,19248046.01
TEST,10,AstraZeneca,1,30-39,ADEM_broad,0,0,0,6416015.34
TEST,10,AstraZeneca,1,40-49,ADEM_broad,0,0,0,1203002.88
TEST,10,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
