datasource,week_since_vaccination,vx_manufacturer,dose,ageband,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,0-4,ADEM_broad,0,0,0,8411.56
TEST,0,none,no_dose,5-11,ADEM_broad,1,1031.78,26.12,5748.71
TEST,0,none,no_dose,12-17,ADEM_broad,0,0,0,3703.28
TEST,0,none,no_dose,18-24,ADEM_broad,0,0,0,3855.12
TEST,0,none,no_dose,25-29,ADEM_broad,0,0,0,3376.43
TEST,0,none,no_dose,30-39,ADEM_broad,0,0,0,1542.33
TEST,0,none,no_dose,40-49,ADEM_broad,0,0,0,1015.03
TEST,0,none,no_dose,50-59,ADEM_broad,0,0,0,916.47
TEST,0,none,no_dose,60-69,ADEM_broad,0,0,0,1045.71
TEST,0,none,no_dose,70-79,ADEM_broad,0,0,0,1445.11
TEST,0,none,no_dose,80+,ADEM_broad,0,0,0,1573.82
TEST,0,none,no_dose,all_birth_cohorts,ADEM_broad,1,43.61,1.1,243
TEST,0,none,no_dose,0-59,ADEM_broad,1,68.94,1.75,384.14
TEST,0,none,no_dose,60+,ADEM_broad,0,0,0,437.89
TEST,1,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,25-29,ADEM_broad,0,0,0,3849609.2
TEST,1,AstraZeneca,1,30-39,ADEM_broad,0,0,0,4346332.97
TEST,1,AstraZeneca,1,40-49,ADEM_broad,0,0,0,836871.57
TEST,1,AstraZeneca,1,50-59,ADEM_broad,0,0,0,520217.46
TEST,1,AstraZeneca,1,60-69,ADEM_broad,0,0,0,305524.54
TEST,1,AstraZeneca,1,70-79,ADEM_broad,0,0,0,260108.73
TEST,1,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,93243.13
TEST,1,AstraZeneca,1,0-59,ADEM_broad,0,0,0,277235.23
TEST,1,AstraZeneca,1,60+,ADEM_broad,0,0,0,140496.69
TEST,2,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,18-24,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,25-29,ADEM_broad,0,0,0,1924804.6
TEST,2,AstraZeneca,1,30-39,ADEM_broad,0,0,0,2283666.48
TEST,2,AstraZeneca,1,40-49,ADEM_broad,0,0,0,418435.78
TEST,2,AstraZeneca,1,50-59,ADEM_broad,0,0,0,260108.73
TEST,2,AstraZeneca,1,60-69,ADEM_broad,0,0,0,152762.27
TEST,2,AstraZeneca,1,70-79,ADEM_broad,0,0,0,130054.36
TEST,2,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,46670.01
